date,AS_MSCI_DM_STAY,meta
2022-04-07 00:00:00,28.55338639675736,
2022-04-07 01:00:00,18.357018069988072,
2022-04-07 02:30:00,9.405972902090866,
2022-04-07 03:00:00,8.894859135750238,
2022-04-07 18:30:00,11.056358962338976,
2022-04-07 20:00:00,11.038430818036971,
2022-04-07 23:00:00,14.185250062203181,
2022-04-07 23:59:59,16.92515524982619,c
2022-04-08 00:00:00,23.62478920654044,
2022-04-08 01:00:00,19.23981753818228,
2022-04-08 02:30:00,14.725928089504066,
2022-04-08 03:00:00,14.666660376103039,
2022-04-08 18:30:00,14.666660376103039,
2022-04-08 20:00:00,14.666660376103039,
2022-04-08 23:00:00,14.666660376103039,
2022-04-08 23:59:59,14.822440058304409,w
2022-04-11 00:00:00,-22.167877408306992,
2022-04-11 01:00:00,-23.37466120880896,
2022-04-11 02:30:00,-25.58655195874607,
2022-04-11 03:00:00,-25.08698324883585,
2022-04-11 18:30:00,-23.290638009394456,
2022-04-11 20:00:00,-23.60858562664592,
2022-04-11 23:00:00,-27.4353550776718,
2022-04-11 23:59:59,-28.132677213078722,c
2022-04-12 00:00:00,-28.782346414960017,
2022-04-12 01:00:00,-31.597694554716327,
2022-04-12 02:30:00,-26.163582118091,
2022-04-12 03:00:00,-27.25320912654027,
2022-04-12 18:30:00,-25.11208035174772,
2022-04-12 20:00:00,-25.26407063063843,
2022-04-12 23:00:00,-29.379498711032255,
2022-04-12 23:59:59,-28.280828574804957,c
2022-04-13 00:00:00,-30.481788339360918,
2022-04-13 01:00:00,-31.976246926263514,
2022-04-13 02:30:00,-30.864121374901487,
2022-04-13 03:00:00,-30.969313470347174,
2022-04-13 18:30:00,-32.410925259816025,
2022-04-13 20:00:00,-32.18806164593548,
2022-04-13 23:00:00,-20.440095914343004,
2022-04-13 23:59:59,-19.79742726721392,c
2022-04-14 00:00:00,-16.575093902566294,
2022-04-14 01:00:00,-19.122615199041036,
2022-04-14 02:30:00,-13.902030244108971,
2022-04-14 03:00:00,-14.140194508049035,
2022-04-14 18:30:00,-14.140194508049035,
2022-04-14 20:00:00,-14.140194508049035,
2022-04-14 23:00:00,-14.140194508049035,
2022-04-14 23:59:59,-5.101146637190908,c
2022-04-15 00:00:00,-8.007829857589087,
2022-04-15 01:00:00,-7.3788934338367085,
2022-04-15 02:30:00,-7.3788934338367085,
2022-04-15 03:00:00,-7.3788934338367085,
2022-04-15 18:30:00,-7.3788934338367085,
2022-04-15 20:00:00,-7.3788934338367085,
2022-04-15 23:00:00,-7.3788934338367085,
2022-04-15 23:59:59,-4.957795404963093,w
2022-04-18 00:00:00,-1.5439863918333856,
2022-04-18 01:00:00,-2.153455758863373,
2022-04-18 02:30:00,-0.25260343372534066,
2022-04-18 03:00:00,0.1920085680254715,
2022-04-18 18:30:00,0.1920085680254715,
2022-04-18 20:00:00,0.1920085680254715,
2022-04-18 23:00:00,0.1920085680254715,
2022-04-18 23:59:59,0.0,c
2022-04-19 00:00:00,0.0,
2022-04-19 01:00:00,0.0,
2022-04-19 02:30:00,0.0,
2022-04-19 03:00:00,0.0,
2022-04-19 18:30:00,0.0,
2022-04-19 20:00:00,0.0,
2022-04-19 23:00:00,0.0,
2022-04-19 23:59:59,0.0,c
2022-04-20 00:00:00,0.0,
2022-04-20 01:00:00,0.0,
2022-04-20 02:30:00,0.0,
2022-04-20 03:00:00,0.0,
2022-04-20 18:30:00,0.0,
2022-04-20 20:00:00,0.0,
2022-04-20 23:00:00,0.0,
2022-04-20 23:59:59,0.0,c
2022-04-21 00:00:00,0.0,
2022-04-21 01:00:00,0.0,
2022-04-21 02:30:00,0.0,
2022-04-21 03:00:00,0.0,
2022-04-21 18:30:00,0.0,
2022-04-21 20:00:00,0.0,
2022-04-21 23:00:00,0.0,
2022-04-21 23:59:59,0.0,c
2022-04-22 00:00:00,0.0,
2022-04-22 01:00:00,0.0,
2022-04-22 02:30:00,0.0,
2022-04-22 03:00:00,0.0,
2022-04-22 18:30:00,0.0,
2022-04-22 20:00:00,0.0,
2022-04-22 23:00:00,0.0,
2022-04-22 23:59:59,0.0,w
2022-04-25 00:00:00,0.0,
2022-04-25 01:00:00,0.0,
2022-04-25 02:30:00,0.0,
