date,EU_SPYW_2021_Q4,meta
2021-11-19 00:00:00,253.4300376343017,
2021-11-19 03:30:00,255.9262895967795,
2021-11-19 04:00:00,260.04630768141124,
2021-11-19 06:00:00,290.58743308363546,
2021-11-19 08:00:00,330.43438172525975,
2021-11-19 10:30:00,307.29381754758015,
2021-11-19 11:00:00,300.29785093735336,
2021-11-19 23:59:59,306.3684900885705,w
2021-11-22 00:00:00,298.8227947651394,
2021-11-22 03:30:00,279.8524803384121,
2021-11-22 04:00:00,275.7570199374386,
2021-11-22 06:00:00,265.188563532789,
2021-11-22 08:00:00,252.27554595301945,
2021-11-22 10:30:00,242.40734025735264,
2021-11-22 11:00:00,249.33093382396964,
2021-11-22 23:59:59,255.79899248779338,c
2021-11-23 00:00:00,257.83809636660544,
2021-11-23 03:30:00,256.3949498418001,
2021-11-23 04:00:00,242.74159850470096,
2021-11-23 06:00:00,242.14113699465997,
2021-11-23 08:00:00,238.96052858153053,
2021-11-23 10:30:00,246.37185047932098,
2021-11-23 11:00:00,249.32792016936128,
2021-11-23 23:59:59,239.10334047939523,c
2021-11-24 00:00:00,243.70123811923304,
2021-11-24 03:30:00,229.6098346236986,
2021-11-24 04:00:00,212.22997402502642,
2021-11-24 06:00:00,246.97567300653373,
2021-11-24 08:00:00,251.39534834703818,
2021-11-24 10:30:00,244.5778196828992,
2021-11-24 11:00:00,237.18340350476683,
2021-11-24 23:59:59,230.17910993681062,c
2021-11-25 00:00:00,233.80163761300082,
2021-11-25 03:30:00,198.61417449869032,
2021-11-25 04:00:00,203.1050701479012,
2021-11-25 06:00:00,193.90695155237108,
2021-11-25 08:00:00,204.6898362741672,
2021-11-25 10:30:00,224.30522258832843,
2021-11-25 11:00:00,223.0857451884258,
2021-11-25 23:59:59,229.2374463177839,c
2021-11-26 00:00:00,248.93773481137396,
2021-11-26 03:30:00,263.2876985522721,
2021-11-26 04:00:00,269.83315360902316,
2021-11-26 06:00:00,280.26878784397013,
2021-11-26 08:00:00,300.72497089173976,
2021-11-26 10:30:00,310.0151271366167,
2021-11-26 11:00:00,297.17273223325947,
2021-11-26 23:59:59,339.2000186358882,w
2021-11-29 00:00:00,324.73085193509723,
2021-11-29 03:30:00,317.399645202529,
2021-11-29 04:00:00,325.3035653756142,
2021-11-29 06:00:00,307.9330228452559,
2021-11-29 08:00:00,294.75765059448213,
