date,EU_SPI_2022_Q2,meta
2022-05-13 00:00:00,56.59743161737538,
2022-05-13 03:30:00,51.99404006002169,
2022-05-13 04:00:00,45.50588136810438,
2022-05-13 06:00:00,18.77326323650368,
2022-05-13 08:00:00,9.092226839830573,
2022-05-13 10:30:00,11.778315310183643,
2022-05-13 11:00:00,14.27949257647606,
2022-05-13 23:59:59,25.968317722060874,w
2022-05-16 00:00:00,49.91949025781446,
2022-05-16 03:30:00,9.584236452032883,
2022-05-16 04:00:00,0.576093172572655,
2022-05-16 06:00:00,-8.30633816597151,
2022-05-16 08:00:00,-10.336375332979742,
2022-05-16 10:30:00,4.351367157424647,
2022-05-16 11:00:00,-1.0120952211389067,
2022-05-16 23:59:59,-16.66832225796429,c
2022-05-17 00:00:00,-31.073641944016117,
2022-05-17 03:30:00,-18.13902651616786,
2022-05-17 04:00:00,-17.745993420448258,
2022-05-17 06:00:00,-38.03344604419476,
2022-05-17 08:00:00,-28.40455398655945,
2022-05-17 10:30:00,-38.69056885418195,
2022-05-17 11:00:00,-42.86449009854141,
2022-05-17 23:59:59,-31.39724312680096,c
2022-05-18 00:00:00,-24.647683561645863,
2022-05-18 03:30:00,-28.52227356411663,
2022-05-18 04:00:00,-40.34594488517814,
2022-05-18 06:00:00,-37.144975902121814,
2022-05-18 08:00:00,-35.78912837412963,
2022-05-18 10:30:00,-70.49727935470173,
2022-05-18 11:00:00,-77.94634276389343,
2022-05-18 23:59:59,-64.02949700780437,c
2022-05-19 00:00:00,-75.30722896033853,
2022-05-19 03:30:00,-99.1919745461555,
2022-05-19 04:00:00,-89.36530201660821,
2022-05-19 06:00:00,-111.30717987476237,
2022-05-19 08:00:00,-126.05559571131539,
2022-05-19 10:30:00,-140.18863050726827,
2022-05-19 11:00:00,-120.6557255943053,
2022-05-19 23:59:59,-95.30367603589752,c
2022-05-20 00:00:00,-120.80789891928293,
2022-05-20 03:30:00,-126.1635311411253,
2022-05-20 04:00:00,-130.4750345669911,
2022-05-20 06:00:00,-118.09481996432146,
2022-05-20 08:00:00,-119.34054114018272,
2022-05-20 10:30:00,-137.3359757515725,
2022-05-20 11:00:00,-138.27201950174572,
2022-05-20 23:59:59,-137.82070860367116,w
2022-05-23 00:00:00,-134.03381647568608,
2022-05-23 03:30:00,-167.96941504213873,
2022-05-23 04:00:00,-171.37042332860437,
2022-05-23 06:00:00,-172.11321002420755,
2022-05-23 08:00:00,-167.1276415296311,
2022-05-23 10:30:00,-199.79087873617664,
2022-05-23 11:00:00,-193.37565710023773,
2022-05-23 23:59:59,-176.7587819481148,c
2022-05-24 00:00:00,-183.84598526991454,
2022-05-24 03:30:00,-181.80199944565538,
2022-05-24 04:00:00,-206.02452159984023,
2022-05-24 06:00:00,-191.89387080540382,
2022-05-24 08:00:00,-186.23557603259746,
2022-05-24 10:30:00,-189.03888232842473,
2022-05-24 11:00:00,-201.9396607710064,
2022-05-24 23:59:59,-192.65918327785312,c
2022-05-25 00:00:00,-205.15793546469035,
2022-05-25 03:30:00,-223.6708111127325,
2022-05-25 04:00:00,-227.19452616528156,
2022-05-25 06:00:00,-225.48135338674865,
2022-05-25 08:00:00,-203.442010360631,
2022-05-25 10:30:00,-205.30050161452368,
2022-05-25 11:00:00,-195.75618351433786,
2022-05-25 23:59:59,-197.66681939348837,c
2022-05-26 00:00:00,-197.66681939348837,
2022-05-26 03:30:00,-197.66681939348837,
2022-05-26 04:00:00,-197.66681939348837,
2022-05-26 06:00:00,-197.66681939348837,
2022-05-26 08:00:00,-197.66681939348837,
2022-05-26 10:30:00,-197.66681939348837,
2022-05-26 11:00:00,-197.66681939348837,
2022-05-26 23:59:59,-197.66681939348837,c
2022-05-27 00:00:00,-205.65233186039836,
2022-05-27 03:30:00,-170.8498915275561,
2022-05-27 04:00:00,-147.87371998785216,
2022-05-27 06:00:00,-116.7008624907362,
2022-05-27 08:00:00,-138.9740403082635,
2022-05-27 10:30:00,-124.92926319857884,
2022-05-27 11:00:00,-128.60846811328997,
2022-05-27 23:59:59,-113.45047568100586,w
2022-05-30 00:00:00,-121.00984528012054,
2022-05-30 03:30:00,-101.38183348779535,
2022-05-30 04:00:00,-99.7085986502916,
2022-05-30 06:00:00,-75.47547080037907,
2022-05-30 08:00:00,-77.06269829379039,
2022-05-30 10:30:00,-99.7085201929483,
2022-05-30 11:00:00,-101.98890272478661,
2022-05-30 23:59:59,-105.04826866899498,c
2022-05-31 00:00:00,-108.03475035271026,
2022-05-31 03:30:00,-128.41280032518807,
2022-05-31 04:00:00,-115.65071171555746,
2022-05-31 06:00:00,-107.14354839405837,
2022-05-31 08:00:00,-88.82528731118805,
2022-05-31 10:30:00,-90.13194352953883,
2022-05-31 11:00:00,-95.29856902830466,
2022-05-31 23:59:59,-99.95423816791254,c
2022-06-01 00:00:00,-125.6060873064605,
2022-06-01 03:30:00,-137.4903062734793,
2022-06-01 04:00:00,-132.3053350883456,
2022-06-01 06:00:00,-128.68709968784196,
2022-06-01 08:00:00,-109.190148452617,
2022-06-01 10:30:00,-99.57523940227384,
2022-06-01 11:00:00,-101.39164267208366,
2022-06-01 23:59:59,-122.97216650447444,c
2022-06-02 00:00:00,-125.84873993214728,
2022-06-02 03:30:00,-103.45520999414839,
2022-06-02 04:00:00,-114.00345221381986,
2022-06-02 06:00:00,-115.58986178192458,
2022-06-02 08:00:00,-113.25894894272346,
2022-06-02 10:30:00,-65.67397422712179,
2022-06-02 11:00:00,-63.1535607863384,
2022-06-02 23:59:59,-66.71368315759264,c
2022-06-03 00:00:00,-32.541667024838034,
2022-06-03 03:30:00,-36.721532526950114,
2022-06-03 04:00:00,-22.512463561548202,
