date,MSCI_US_SC_AD_2022_Q2,meta
2022-04-07 00:00:00,-41.31378656175559,
2022-04-07 10:00:00,-84.96496594133635,
2022-04-07 10:30:00,-90.89944423418757,
2022-04-07 12:00:00,-95.17805170137751,
2022-04-07 13:30:00,-81.5552011354701,
2022-04-07 15:00:00,-59.51097742693014,
2022-04-07 15:30:30,-59.51097742693014,
2022-04-07 23:59:59,-68.1301480529894,c
2022-04-08 00:00:00,-54.927297689049965,
2022-04-08 10:00:00,-82.76721985518407,
2022-04-08 10:30:00,-84.20324335291536,
2022-04-08 12:00:00,-67.14158668339212,
2022-04-08 13:30:00,-68.53902601334335,
2022-04-08 15:00:00,-61.845202794522834,
2022-04-08 15:30:30,-61.845202794522834,
2022-04-08 23:59:59,-63.535461264438936,w
2022-04-11 00:00:00,-66.72288975088509,
2022-04-11 10:00:00,-90.92513099365931,
2022-04-11 10:30:00,-71.283323099364,
2022-04-11 12:00:00,-74.36467321899067,
2022-04-11 13:30:00,-66.2479371764532,
2022-04-11 15:00:00,-68.73236396976904,
2022-04-11 15:30:30,-68.73236396976904,
2022-04-11 23:59:59,-60.00748437174798,c
2022-04-12 00:00:00,-60.02393977192003,
2022-04-12 10:00:00,-41.49139257093839,
2022-04-12 10:30:00,-41.1174534370557,
2022-04-12 12:00:00,-24.307263042637942,
2022-04-12 13:30:00,-29.752654215291386,
2022-04-12 15:00:00,-56.75708449810543,
2022-04-12 15:30:30,-56.75708449810543,
2022-04-12 23:59:59,-53.984231589871,c
2022-04-13 00:00:00,-41.77614088231792,
2022-04-13 10:00:00,-49.725185269101075,
2022-04-13 10:30:00,-49.40807102278404,
2022-04-13 12:00:00,-20.97161824398904,
2022-04-13 13:30:00,-12.644404876721865,
2022-04-13 15:00:00,-11.504183411613099,
2022-04-13 15:30:30,-11.504183411613099,
2022-04-13 23:59:59,-9.813652103688696,c
2022-04-14 00:00:00,-0.5075454496384282,
2022-04-14 10:00:00,3.8854269906743184,
2022-04-14 10:30:00,10.601992452636864,
2022-04-14 12:00:00,-1.540172008745344,
2022-04-14 13:30:00,-5.074812081862433,
