date,DTCC_BBEU_2021_Q4,meta
2021-12-02 00:00:00,361.9302985064651,
2021-12-02 10:00:00,349.4181422309857,
2021-12-02 10:30:00,301.7062602149135,
2021-12-02 12:00:00,301.7062602149135,
2021-12-02 13:30:00,301.7062602149135,
2021-12-02 15:00:00,301.7062602149135,
2021-12-02 15:30:30,301.7062602149135,
2021-12-02 23:59:59,296.437274832052,c
2021-12-03 00:00:00,393.7356170858111,
2021-12-03 10:00:00,262.49803961256566,
2021-12-03 10:30:00,234.76357164579713,
2021-12-03 12:00:00,234.76357164579713,
2021-12-03 13:30:00,234.76357164579713,
2021-12-03 15:00:00,234.76357164579713,
2021-12-03 15:30:30,234.76357164579713,
2021-12-03 23:59:59,227.7309176308063,w
2021-12-06 00:00:00,231.92369962846533,
2021-12-06 10:00:00,152.23761301698596,
2021-12-06 10:30:00,176.40539387602166,
2021-12-06 12:00:00,176.40539387602166,
2021-12-06 13:30:00,176.40539387602166,
2021-12-06 15:00:00,176.40539387602166,
2021-12-06 15:30:30,176.40539387602166,
2021-12-06 23:59:59,124.79039186620594,c
2021-12-07 00:00:00,124.79039186620594,
2021-12-07 10:00:00,274.64865766571074,
2021-12-07 10:30:00,264.7993825686117,
2021-12-07 12:00:00,264.7993825686117,
2021-12-07 13:30:00,264.7993825686117,
2021-12-07 15:00:00,264.7993825686117,
2021-12-07 15:30:30,264.7993825686117,
2021-12-07 23:59:59,286.8050050112488,c
2021-12-08 00:00:00,296.15366240261574,
2021-12-08 10:00:00,223.78593986091892,
2021-12-08 10:30:00,208.78652721721755,
2021-12-08 12:00:00,208.78652721721755,
2021-12-08 13:30:00,208.78652721721755,
2021-12-08 15:00:00,208.78652721721755,
2021-12-08 15:30:30,208.78652721721755,
2021-12-08 23:59:59,170.42268424586746,c
2021-12-09 00:00:00,210.84652901935988,
2021-12-09 10:00:00,143.7627878613839,
2021-12-09 10:30:00,140.09057107726312,
2021-12-09 12:00:00,140.09057107726312,
2021-12-09 13:30:00,140.09057107726312,
2021-12-09 15:00:00,140.09057107726312,
2021-12-09 15:30:30,140.09057107726312,
2021-12-09 23:59:59,159.99823716058472,c
2021-12-10 00:00:00,122.64412846963296,
2021-12-10 10:00:00,89.68534060303409,
2021-12-10 10:30:00,109.92798436746943,
2021-12-10 12:00:00,109.92798436746943,
2021-12-10 13:30:00,109.92798436746943,
2021-12-10 15:00:00,109.92798436746943,
2021-12-10 15:30:30,109.92798436746943,
2021-12-10 23:59:59,81.44807103753828,w
2021-12-13 00:00:00,96.6467963610412,
2021-12-13 10:00:00,156.8770695115545,
2021-12-13 10:30:00,141.05530612606526,
