date,BUG_2022_Q2,meta
2022-05-13 10:30:00,-272.7983399740674,
2022-05-13 12:00:00,-314.29461568451916,
2022-05-13 13:30:00,-265.173978133902,
2022-05-13 15:00:00,-279.22577649816867,
2022-05-13 15:30:30,-279.22577649816867,
2022-05-13 23:59:59,-333.0519953160274,e
2022-05-16 00:00:00,-464.6981595341831,
2022-05-16 10:00:00,-531.2926871413038,
2022-05-16 10:30:00,-466.02226486164955,
2022-05-16 12:00:00,-566.6755172571002,
2022-05-16 13:30:00,-561.247719059726,
2022-05-16 15:00:00,-589.0143789419453,
2022-05-16 15:30:30,-589.0143789419453,
2022-05-16 23:59:59,-643.1975288328126,c
2022-05-17 00:00:00,-541.4229655680674,
2022-05-17 10:00:00,-636.8908675328294,
2022-05-17 10:30:00,-745.9088333752538,
2022-05-17 12:00:00,-666.0854897924837,
2022-05-17 13:30:00,-663.2427977195453,
2022-05-17 15:00:00,-695.2912226867711,
2022-05-17 15:30:30,-695.2912226867711,
2022-05-17 23:59:59,-651.7103248217882,c
2022-05-18 00:00:00,-730.1108385675902,
2022-05-18 10:00:00,-845.2994400565981,
2022-05-18 10:30:00,-732.9228845365415,
2022-05-18 12:00:00,-803.124324624564,
2022-05-18 13:30:00,-868.0372429101103,
2022-05-18 15:00:00,-903.3939931671821,
2022-05-18 15:30:30,-903.3939931671821,
2022-05-18 23:59:59,-862.2105097376141,c
2022-05-19 00:00:00,-828.1213784826107,
2022-05-19 10:00:00,-709.0513402692613,
2022-05-19 10:30:00,-687.005526670423,
2022-05-19 12:00:00,-501.7494055918364,
2022-05-19 13:30:00,-546.1790218365736,
2022-05-19 15:00:00,-553.2593154125079,
2022-05-19 15:30:30,-553.2593154125079,
2022-05-19 23:59:59,-604.6633192395661,c
2022-05-20 00:00:00,-511.45193798083164,
2022-05-20 10:00:00,-431.8942834665945,
2022-05-20 10:30:00,-464.0815892611272,
2022-05-20 12:00:00,-558.8087048791544,
2022-05-20 13:30:00,-720.7590256724498,
2022-05-20 15:00:00,-650.7059068100693,
2022-05-20 15:30:30,-650.7059068100693,
2022-05-20 23:59:59,-561.3362824528917,w
2022-05-23 00:00:00,-614.4411136069511,
2022-05-23 10:00:00,-705.7348555558415,
2022-05-23 10:30:00,-741.9845925648701,
2022-05-23 12:00:00,-692.9887345552688,
2022-05-23 13:30:00,-685.4005067898306,
2022-05-23 15:00:00,-673.6184251803861,
2022-05-23 15:30:30,-673.6184251803861,
2022-05-23 23:59:59,-642.7510607334702,c
2022-05-24 00:00:00,-724.189371472869,
2022-05-24 10:00:00,-921.446355967913,
2022-05-24 10:30:00,-876.4391294453856,
2022-05-24 12:00:00,-862.1496630573658,
2022-05-24 13:30:00,-936.2819643398554,
2022-05-24 15:00:00,-987.574733523561,
2022-05-24 15:30:30,-987.574733523561,
2022-05-24 23:59:59,-946.2808219202816,c
2022-05-25 00:00:00,-944.7598995500657,
2022-05-25 10:00:00,-894.6218274787568,
2022-05-25 10:30:00,-800.234570377313,
2022-05-25 12:00:00,-887.1147130762213,
2022-05-25 13:30:00,-842.7511753954841,
2022-05-25 15:00:00,-795.3542752976764,
2022-05-25 15:30:30,-795.3542752976764,
2022-05-25 23:59:59,-780.06436797687,c
2022-05-26 00:00:00,-845.3743805749943,
2022-05-26 10:00:00,-713.1135345176313,
2022-05-26 10:30:00,-693.8098072247981,
2022-05-26 12:00:00,-606.2592848612167,
2022-05-26 13:30:00,-591.835327020342,
2022-05-26 15:00:00,-603.7777818923946,
2022-05-26 15:30:30,-603.7777818923946,
2022-05-26 23:59:59,-629.4998082710663,c
2022-05-27 00:00:00,-515.2243203998723,
2022-05-27 10:00:00,-398.8377009978408,
2022-05-27 10:30:00,-346.24726707634636,
2022-05-27 12:00:00,-358.8553966190766,
2022-05-27 13:30:00,-316.5208728324842,
2022-05-27 15:00:00,-295.93722797655437,
2022-05-27 15:30:30,-295.93722797655437,
2022-05-27 23:59:59,-281.8748276866054,w
