date,EU_MSCI_DM_MIG_2023_Q1,meta
2023-01-19 03:30:00,174.44644094570103,
2023-01-19 04:00:00,125.75960812382166,
2023-01-19 06:00:00,151.0896065396884,
2023-01-19 08:00:00,167.07254569134975,
2023-01-19 10:30:00,173.79507370435087,
2023-01-19 11:00:00,167.09752248584104,
2023-01-19 23:59:59,187.8958529858643,c
2023-01-20 00:00:00,169.34757410780915,
2023-01-20 03:30:00,193.78516138280432,
2023-01-20 04:00:00,217.19331688061627,
2023-01-20 06:00:00,259.9334315854355,
2023-01-20 08:00:00,260.8242024135596,
2023-01-20 10:30:00,309.663589671126,
2023-01-20 11:00:00,294.09558957543015,
2023-01-20 23:59:59,269.56553712142136,w
2023-01-23 00:00:00,260.18824430505407,
2023-01-23 03:30:00,264.0181925345867,
2023-01-23 04:00:00,290.9919373142872,
2023-01-23 06:00:00,305.7355893431267,
2023-01-23 08:00:00,329.7200225303886,
2023-01-23 10:30:00,258.3386731583904,
2023-01-23 11:00:00,253.53012643049593,
2023-01-23 23:59:59,254.56505924669548,c
2023-01-24 00:00:00,271.4902221479588,
2023-01-24 03:30:00,262.16204808714474,
2023-01-24 04:00:00,277.7123267809245,
2023-01-24 06:00:00,263.31966643285705,
2023-01-24 08:00:00,259.3040170600006,
2023-01-24 10:30:00,254.92702160169944,
2023-01-24 11:00:00,256.0582225612531,
2023-01-24 23:59:59,244.8138368461152,c
2023-01-25 00:00:00,253.62840996511972,
2023-01-25 03:30:00,346.531656274516,
2023-01-25 04:00:00,367.22553749713825,
2023-01-25 06:00:00,340.38505555517014,
2023-01-25 08:00:00,318.78209182866357,
2023-01-25 10:30:00,281.6684655900525,
2023-01-25 11:00:00,288.35839955278203,
2023-01-25 23:59:59,274.8970660286991,c
2023-01-26 00:00:00,250.8717499519613,
2023-01-26 03:30:00,212.42583703779576,
2023-01-26 04:00:00,193.0288810064151,
2023-01-26 06:00:00,193.1760286474569,
2023-01-26 08:00:00,168.56721215807022,
2023-01-26 10:30:00,161.88594868845524,
2023-01-26 11:00:00,164.26657503387156,
2023-01-26 23:59:59,173.89396610077577,c
2023-01-27 00:00:00,207.58549720955588,
2023-01-27 03:30:00,252.98811566150326,
2023-01-27 04:00:00,257.31419263246556,
2023-01-27 06:00:00,258.52618100041644,
2023-01-27 08:00:00,273.84784823373417,
2023-01-27 10:30:00,274.37156124176124,
2023-01-27 11:00:00,276.6891595809833,
2023-01-27 23:59:59,288.1431297505066,w
2023-01-30 00:00:00,251.1834347645948,
2023-01-30 03:30:00,229.62160975750643,
2023-01-30 04:00:00,210.2200732582193,
2023-01-30 06:00:00,244.6864630620353,
2023-01-30 08:00:00,251.24936785551432,
2023-01-30 10:30:00,227.46907074796198,
2023-01-30 11:00:00,237.73070296548397,
2023-01-30 23:59:59,235.8013899536505,c
2023-01-31 00:00:00,258.50028904499766,
2023-01-31 03:30:00,253.418652115264,
2023-01-31 04:00:00,253.80498123576905,
2023-01-31 06:00:00,244.74739814477968,
2023-01-31 08:00:00,243.196658518067,
2023-01-31 10:30:00,233.9418711772862,
2023-01-31 11:00:00,243.08518853828235,
2023-01-31 23:59:59,251.0958755287565,c
2023-02-01 00:00:00,253.48523327163622,
2023-02-01 03:30:00,236.15918194556855,
2023-02-01 04:00:00,245.35535748467987,
2023-02-01 06:00:00,250.37939449194712,
2023-02-01 08:00:00,242.83855154481768,
2023-02-01 10:30:00,211.41143760205085,
2023-02-01 11:00:00,213.16038947060653,
2023-02-01 23:59:59,228.25263738770738,c
2023-02-02 00:00:00,229.0536372346776,
2023-02-02 03:30:00,249.7769170696508,
2023-02-02 04:00:00,220.9435519421555,
2023-02-02 06:00:00,186.61700605167158,
2023-02-02 08:00:00,207.81885611289886,
2023-02-02 10:30:00,150.37497998539743,
2023-02-02 11:00:00,145.77131987293498,
2023-02-02 23:59:59,166.41182710205743,c
2023-02-03 00:00:00,185.07910143520218,
2023-02-03 03:30:00,179.5715805587536,
2023-02-03 04:00:00,170.67148723595605,
2023-02-03 06:00:00,130.8474351964818,
2023-02-03 08:00:00,148.25557887207015,
2023-02-03 10:30:00,183.5974138126854,
2023-02-03 11:00:00,190.76954704617734,
2023-02-03 23:59:59,156.61086711697087,w
2023-02-06 00:00:00,173.34958240953708,
2023-02-06 03:30:00,125.4957050664361,
2023-02-06 04:00:00,138.00277972539376,
2023-02-06 06:00:00,111.83577901221233,
2023-02-06 08:00:00,111.58975301323883,
2023-02-06 10:30:00,132.799931187471,
2023-02-06 11:00:00,131.85106832239916,
2023-02-06 23:59:59,115.80693802978823,c
2023-02-07 00:00:00,143.7209955309236,
2023-02-07 03:30:00,107.48376085383663,
2023-02-07 04:00:00,88.30976899712087,
2023-02-07 06:00:00,112.12901812182756,
2023-02-07 08:00:00,98.69836365850648,
2023-02-07 10:30:00,88.64232088497421,
2023-02-07 11:00:00,64.3020986224092,
2023-02-07 23:59:59,60.0057849330939,c
2023-02-08 00:00:00,55.89336600306781,
