date,AS_HSI_2021_Q4,meta
2021-10-22 00:00:00,-315.0970281409991,
2021-10-22 01:00:00,-315.0970281409991,
2021-10-22 02:30:00,-300.11240904928,
2021-10-22 03:00:00,-310.50963084920295,
2021-10-22 18:30:00,-310.50963084920295,
2021-10-22 20:00:00,-310.50963084920295,
2021-10-22 23:00:00,-310.50963084920295,
2021-10-22 23:59:59,-315.198869281411,w
2021-10-25 00:00:00,-293.93687082534063,
2021-10-25 01:00:00,-293.93687082534063,
2021-10-25 02:30:00,-288.34455836137124,
2021-10-25 03:00:00,-290.9742089345506,
2021-10-25 18:30:00,-290.9742089345506,
2021-10-25 20:00:00,-290.9742089345506,
2021-10-25 23:00:00,-224.74260859957417,
2021-10-25 23:59:59,-237.06198550410352,c
2021-10-26 00:00:00,-238.24821789779014,
2021-10-26 01:00:00,-238.24821789779014,
2021-10-26 02:30:00,-233.45716732903145,
2021-10-26 03:00:00,-231.7754897414262,
2021-10-26 18:30:00,-231.7754897414262,
2021-10-26 20:00:00,-231.7754897414262,
2021-10-26 23:00:00,-231.43280745443917,
2021-10-26 23:59:59,-233.13458732092488,c
2021-10-27 00:00:00,-243.3422497238662,
2021-10-27 01:00:00,-243.3422497238662,
2021-10-27 02:30:00,-245.29006110169826,
2021-10-27 03:00:00,-242.71433000890784,
2021-10-27 18:30:00,-242.71433000890784,
2021-10-27 20:00:00,-242.71433000890784,
2021-10-27 23:00:00,-228.6701922071128,
2021-10-27 23:59:59,-251.44889591142623,c
2021-10-28 00:00:00,-232.3957343887355,
2021-10-28 01:00:00,-232.3957343887355,
2021-10-28 02:30:00,-225.37852203641478,
2021-10-28 03:00:00,-216.03022037766755,
2021-10-28 18:30:00,-216.03022037766755,
2021-10-28 20:00:00,-216.03022037766755,
2021-10-28 23:00:00,-146.4861219442173,
2021-10-28 23:59:59,-169.1532136781724,c
2021-10-29 00:00:00,-159.39855265208837,
2021-10-29 01:00:00,-159.39855265208837,
2021-10-29 02:30:00,-170.10733331023403,
2021-10-29 03:00:00,-167.04534843255954,
2021-10-29 18:30:00,-167.04534843255954,
2021-10-29 20:00:00,-167.04534843255954,
2021-10-29 23:00:00,-167.04534843255954,
2021-10-29 23:59:59,-181.27612246714136,w
2021-11-01 00:00:00,-186.98082687397084,
2021-11-01 01:00:00,-186.98082687397084,
2021-11-01 02:30:00,-183.8110561335086,
2021-11-01 03:00:00,-183.93645590794176,
2021-11-01 18:30:00,-183.93645590794176,
2021-11-01 20:00:00,-183.93645590794176,
2021-11-01 23:00:00,-228.60115287026986,
2021-11-01 23:59:59,-224.23444139663025,c
2021-11-02 00:00:00,-176.74898124539152,
2021-11-02 01:00:00,-176.74898124539152,
2021-11-02 02:30:00,-171.97110563343438,
2021-11-02 03:00:00,-175.62695933311556,
2021-11-02 18:30:00,-175.62695933311556,
2021-11-02 20:00:00,-175.62695933311556,
2021-11-02 23:00:00,-185.11142351589433,
2021-11-02 23:59:59,-182.10876335681746,c
2021-11-03 00:00:00,-184.95737848642432,
2021-11-03 01:00:00,-184.95737848642432,
2021-11-03 02:30:00,-171.65577905405098,
2021-11-03 03:00:00,-181.65787707247318,
2021-11-03 18:30:00,-181.65787707247318,
2021-11-03 20:00:00,-181.65787707247318,
2021-11-03 23:00:00,-154.23000409182112,
2021-11-03 23:59:59,-157.79035229397903,c
2021-11-04 00:00:00,-153.1629745458797,
2021-11-04 01:00:00,-153.1629745458797,
2021-11-04 02:30:00,-149.9160148805745,
2021-11-04 03:00:00,-149.24195729404676,
2021-11-04 18:30:00,-149.24195729404676,
2021-11-04 20:00:00,-149.24195729404676,
2021-11-04 23:00:00,-110.52329029842042,
2021-11-04 23:59:59,-133.45029405949663,c
2021-11-05 00:00:00,-156.93367272748787,
2021-11-05 01:00:00,-156.93367272748787,
2021-11-05 02:30:00,-157.1270983813397,
2021-11-05 03:00:00,-170.5796822783209,
2021-11-05 18:30:00,-170.5796822783209,
2021-11-05 20:00:00,-170.5796822783209,
2021-11-05 23:00:00,-170.5796822783209,
2021-11-05 23:59:59,-171.080751672284,w
2021-11-08 00:00:00,-182.8161379833083,
2021-11-08 01:00:00,-176.64882372290685,
2021-11-08 02:30:00,-170.9333767776294,
2021-11-08 03:00:00,-172.40712270760378,
2021-11-08 18:30:00,-172.40712270760378,
2021-11-08 20:00:00,-172.40712270760378,
2021-11-08 23:00:00,-197.81704973242142,
2021-11-08 23:59:59,-195.0545271005725,c
2021-11-09 00:00:00,-190.01762422488036,
2021-11-09 01:00:00,-195.81127097228807,
2021-11-09 02:30:00,-205.78756444866747,
