date,REMX_2022_Q3,meta
2022-08-19 00:00:00,-866.3296312433433,
2022-08-19 10:00:00,-957.4021324418806,
2022-08-19 10:30:00,-895.5939046108406,
2022-08-19 12:00:00,-960.2715201067601,
2022-08-19 13:30:00,-917.0241390079519,
2022-08-19 15:00:00,-893.8499870157635,
2022-08-19 15:30:30,-893.8499870157635,
2022-08-19 23:59:59,-921.5271829992521,w
2022-08-22 00:00:00,-923.4780648179403,
2022-08-22 10:00:00,-809.5332719758792,
2022-08-22 10:30:00,-688.8027614197551,
2022-08-22 12:00:00,-579.955692337446,
2022-08-22 13:30:00,-485.95667038217516,
2022-08-22 15:00:00,-410.89567278454683,
2022-08-22 15:30:30,-410.89567278454683,
2022-08-22 23:59:59,-449.98308552968865,c
2022-08-23 00:00:00,-472.35638063765873,
2022-08-23 10:00:00,-363.8192170242469,
2022-08-23 10:30:00,-288.51296686192404,
2022-08-23 12:00:00,-216.8924883116465,
2022-08-23 13:30:00,-244.9548612052929,
2022-08-23 15:00:00,-271.87587313934773,
2022-08-23 15:30:30,-271.87587313934773,
2022-08-23 23:59:59,-282.7242555903799,c
2022-08-24 00:00:00,-308.8660382059916,
2022-08-24 10:00:00,-418.59742808021906,
2022-08-24 10:30:00,-330.44507905945625,
2022-08-24 12:00:00,-85.6678832427665,
2022-08-24 13:30:00,-76.75556330074255,
2022-08-24 15:00:00,-17.84634029619974,
2022-08-24 15:30:30,-17.84634029619974,
2022-08-24 23:59:59,-19.56990538591026,c
2022-08-25 00:00:00,25.32640952820816,
2022-08-25 10:00:00,-129.7301131088284,
2022-08-25 10:30:00,-67.03920116354493,
2022-08-25 12:00:00,-182.34239806962546,
2022-08-25 13:30:00,-51.541082130344876,
2022-08-25 15:00:00,-95.60782088660153,
2022-08-25 15:30:30,-95.60782088660153,
2022-08-25 23:59:59,-76.42743474995518,c
2022-08-26 00:00:00,-54.432873924027945,
2022-08-26 10:00:00,-130.24936232049458,
2022-08-26 10:30:00,-158.30628691360175,
2022-08-26 12:00:00,-165.81647117496868,
2022-08-26 13:30:00,-97.55911135942301,
2022-08-26 15:00:00,-40.6117252733311,
2022-08-26 15:30:30,-40.6117252733311,
2022-08-26 23:59:59,-66.5535224328869,w
2022-08-29 00:00:00,-171.15823955463497,
2022-08-29 10:00:00,-107.5104075359352,
2022-08-29 10:30:00,-200.16603958778978,
2022-08-29 12:00:00,-302.63936845115495,
2022-08-29 13:30:00,-274.30805341098426,
2022-08-29 15:00:00,-191.6184554887716,
2022-08-29 15:30:30,-191.6184554887716,
2022-08-29 23:59:59,-188.9247795644651,c
2022-08-30 00:00:00,-137.72182203827356,
2022-08-30 10:00:00,-231.6345846304996,
2022-08-30 10:30:00,-178.43502766428173,
2022-08-30 12:00:00,-260.530336638584,
