date,AS_MSCI_EM_REST_STAY_2022_Q4,meta
2022-10-19 18:30:00,-1070.372185897646,
2022-10-19 20:00:00,-1070.372185897646,
2022-10-19 23:00:00,-1212.5807626771166,
2022-10-19 23:59:59,-1226.9156583453614,c
2022-10-20 00:00:00,-1215.587663223821,
2022-10-20 01:00:00,-1193.3333786596918,
2022-10-20 02:30:00,-1118.2795948563012,
2022-10-20 03:00:00,-1121.4706314797022,
2022-10-20 18:30:00,-1121.4706314797022,
2022-10-20 20:00:00,-1121.4706314797022,
2022-10-20 23:00:00,-1104.5681439905125,
2022-10-20 23:59:59,-1097.7649684245148,c
2022-10-21 00:00:00,-1124.7496209257715,
2022-10-21 01:00:00,-1120.4011273394367,
2022-10-21 02:30:00,-1099.7101726451606,
2022-10-21 03:00:00,-1096.5723448512358,
2022-10-21 18:30:00,-1096.5723448512358,
2022-10-21 20:00:00,-1096.5723448512358,
2022-10-21 23:00:00,-1096.5723448512358,
2022-10-21 23:59:59,-1069.2659845809776,w
2022-10-24 00:00:00,-1047.0486203856744,
2022-10-24 01:00:00,-1050.9675344169823,
2022-10-24 02:30:00,-1054.562042923335,
2022-10-24 03:00:00,-1053.809380504228,
2022-10-24 18:30:00,-1053.809380504228,
2022-10-24 20:00:00,-1053.809380504228,
2022-10-24 23:00:00,-927.1932407847416,
2022-10-24 23:59:59,-886.6240644352365,c
2022-10-25 00:00:00,-886.4619550448633,
2022-10-25 01:00:00,-986.2817555000652,
2022-10-25 02:30:00,-1017.23345536343,
2022-10-25 03:00:00,-1017.9107199446139,
2022-10-25 18:30:00,-1017.9107199446139,
2022-10-25 20:00:00,-1017.9107199446139,
2022-10-25 23:00:00,-991.4841468638979,
2022-10-25 23:59:59,-1046.3363786405089,c
2022-10-26 00:00:00,-991.1043397532658,
2022-10-26 01:00:00,-985.0647127253928,
2022-10-26 02:30:00,-936.1803490245775,
2022-10-26 03:00:00,-937.897712234449,
2022-10-26 18:30:00,-937.897712234449,
2022-10-26 20:00:00,-937.897712234449,
2022-10-26 23:00:00,-890.115951550501,
2022-10-26 23:59:59,-901.2778878100739,c
2022-10-27 00:00:00,-869.0483536681563,
2022-10-27 01:00:00,-871.1397561959934,
2022-10-27 02:30:00,-886.2816528767175,
2022-10-27 03:00:00,-888.325052463365,
2022-10-27 18:30:00,-888.325052463365,
2022-10-27 20:00:00,-888.325052463365,
2022-10-27 23:00:00,-757.479515096139,
2022-10-27 23:59:59,-757.4194391769884,c
2022-10-28 00:00:00,-759.1254074926928,
2022-10-28 01:00:00,-836.6717007089442,
2022-10-28 02:30:00,-937.7532330690042,
2022-10-28 03:00:00,-935.7356902275114,
2022-10-28 18:30:00,-935.7356902275114,
2022-10-28 20:00:00,-935.7356902275114,
2022-10-28 23:00:00,-935.7356902275114,
2022-10-28 23:59:59,-933.4853954674072,w
2022-10-31 00:00:00,-1005.8983164629958,
2022-10-31 01:00:00,-985.8002756184519,
2022-10-31 02:30:00,-985.8002756184519,
2022-10-31 03:00:00,-1024.8786284116477,
2022-10-31 18:30:00,-1024.8786284116477,
2022-10-31 20:00:00,-1024.8786284116477,
2022-10-31 23:00:00,-793.4827586509023,
2022-10-31 23:59:59,-799.6781873053592,c
2022-11-01 00:00:00,-775.1619983952373,
2022-11-01 01:00:00,-748.5620058153545,
2022-11-01 02:30:00,-748.5620058153545,
2022-11-01 03:00:00,-646.8906335551214,
2022-11-01 18:30:00,-646.8906335551214,
2022-11-01 20:00:00,-646.8906335551214,
2022-11-01 23:00:00,-541.2335941275132,
2022-11-01 23:59:59,-597.8499779361086,c
2022-11-02 00:00:00,-600.6140748225375,
2022-11-02 01:00:00,-568.4142048887115,
2022-11-02 02:30:00,-583.1585067818755,
2022-11-02 03:00:00,-585.7796504829848,
2022-11-02 18:30:00,-585.7796504829848,
2022-11-02 20:00:00,-585.7796504829848,
2022-11-02 23:00:00,-338.6121076793088,
2022-11-02 23:59:59,-318.7077394181397,c
2022-11-03 00:00:00,-367.3025835037761,
2022-11-03 01:00:00,-323.9057192155806,
2022-11-03 02:30:00,-339.70876918041813,
2022-11-03 03:00:00,-338.81139665638693,
2022-11-03 18:30:00,-338.81139665638693,
2022-11-03 20:00:00,-338.81139665638693,
2022-11-03 23:00:00,-289.32530138134734,
2022-11-03 23:59:59,-298.91194193059164,c
2022-11-04 00:00:00,-298.63736766482816,
2022-11-04 01:00:00,-242.78988291871156,
2022-11-04 02:30:00,-279.01362803929715,
2022-11-04 03:00:00,-284.7256594329774,
2022-11-04 18:30:00,-284.7256594329774,
2022-11-04 20:00:00,-284.7256594329774,
2022-11-04 23:00:00,-284.7256594329774,
2022-11-04 23:59:59,-306.41560226961883,w
2022-11-07 00:00:00,-290.91692259286447,
2022-11-07 01:00:00,-307.9640259291382,
2022-11-07 02:30:00,-285.38344106883414,
2022-11-07 03:00:00,-287.7464388782337,
2022-11-07 18:30:00,-287.7464388782337,
2022-11-07 20:00:00,-384.96330673000466,
2022-11-07 23:00:00,-298.20815278106056,
2022-11-07 23:59:59,-356.9026862454657,c
2022-11-08 00:00:00,-341.14654629455435,
