date,EU_MSCI_MOM_2022_Q2,meta
2022-05-05 00:00:00,-128.96306299902892,
2022-05-05 03:30:00,-116.5292955461299,
2022-05-05 04:00:00,-104.03743434147714,
2022-05-05 06:00:00,-123.30102509453468,
2022-05-05 08:00:00,-114.18553378247964,
2022-05-05 10:30:00,-48.18700518644482,
2022-05-05 11:00:00,-36.83533608777998,
2022-05-05 23:59:59,-1.0222515679788557,c
2022-05-06 00:00:00,12.76303974472944,
2022-05-06 03:30:00,50.99676502813918,
2022-05-06 04:00:00,48.58224075259591,
2022-05-06 06:00:00,27.37439460592782,
2022-05-06 08:00:00,46.85316603895012,
2022-05-06 10:30:00,72.6786509459846,
2022-05-06 11:00:00,57.26453840520389,
2022-05-06 23:59:59,58.721221565084306,w
2022-05-09 00:00:00,100.02865997946105,
2022-05-09 03:30:00,69.31543170258828,
2022-05-09 04:00:00,99.09704393657398,
2022-05-09 06:00:00,102.9182054816713,
2022-05-09 08:00:00,111.29572708779597,
2022-05-09 10:30:00,106.77935450999644,
2022-05-09 11:00:00,109.098727391809,
2022-05-09 23:59:59,118.48017384756326,c
2022-05-10 00:00:00,68.49795108962121,
2022-05-10 03:30:00,66.95508804169549,
2022-05-10 04:00:00,70.67321626924695,
2022-05-10 06:00:00,47.69044734515842,
2022-05-10 08:00:00,60.33510296125587,
2022-05-10 10:30:00,94.41022682498169,
2022-05-10 11:00:00,111.59798070173338,
2022-05-10 23:59:59,117.10266607992799,c
2022-05-11 00:00:00,58.97483801817248,
2022-05-11 03:30:00,64.26457070696824,
2022-05-11 04:00:00,59.312081129334274,
2022-05-11 06:00:00,43.781417939632775,
2022-05-11 08:00:00,10.18350568153005,
2022-05-11 10:30:00,-2.456538956445229,
2022-05-11 11:00:00,7.7728689438713445,
2022-05-11 23:59:59,5.948340607945283,c
2022-05-12 00:00:00,53.65708391664907,
2022-05-12 03:30:00,44.653869019100284,
2022-05-12 04:00:00,31.682933410745818,
2022-05-12 06:00:00,67.55650045920629,
2022-05-12 08:00:00,86.55002593244149,
2022-05-12 10:30:00,31.644878840439105,
2022-05-12 11:00:00,17.057163367512885,
2022-05-12 23:59:59,-4.287432155206261,c
2022-05-13 00:00:00,-14.814776219010128,
2022-05-13 03:30:00,-14.205266724409285,
2022-05-13 04:00:00,-17.272865345939636,
2022-05-13 06:00:00,-25.837096811077345,
2022-05-13 08:00:00,-36.52940420949494,
2022-05-13 10:30:00,-48.562043156510754,
2022-05-13 11:00:00,-32.394259442908606,
2022-05-13 23:59:59,-38.480780672004585,w
2022-05-16 00:00:00,-40.07970574965316,
2022-05-16 03:30:00,-4.357994517613861,
2022-05-16 04:00:00,3.2736195853537993,
2022-05-16 06:00:00,5.578157097569829,
2022-05-16 08:00:00,5.272084021542469,
2022-05-16 10:30:00,28.858979878162245,
2022-05-16 11:00:00,51.81173487720935,
2022-05-16 23:59:59,53.47717253906649,c
2022-05-17 00:00:00,36.88463717701461,
2022-05-17 03:30:00,23.210309582641912,
2022-05-17 04:00:00,19.70178088985699,
2022-05-17 06:00:00,-10.32248618678318,
2022-05-17 08:00:00,-20.58772174477963,
2022-05-17 10:30:00,1.5409355532053723,
2022-05-17 11:00:00,9.819980479024025,
2022-05-17 23:59:59,-3.9484318849974898,c
2022-05-18 00:00:00,-22.948690474727528,
2022-05-18 03:30:00,-10.748927022601265,
2022-05-18 04:00:00,8.22205267582467,
2022-05-18 06:00:00,-0.19795354227767348,
2022-05-18 08:00:00,16.302748075686168,
2022-05-18 10:30:00,38.03442310964715,
2022-05-18 11:00:00,29.372124807841146,
2022-05-18 23:59:59,43.02672416894666,c
2022-05-19 00:00:00,60.19608876185771,
2022-05-19 03:30:00,81.64968207532047,
2022-05-19 04:00:00,56.03268164828978,
2022-05-19 06:00:00,64.02329218716955,
2022-05-19 08:00:00,58.04176502009068,
2022-05-19 10:30:00,47.63333035907431,
2022-05-19 11:00:00,28.55890507702202,
2022-05-19 23:59:59,0.0,a
2022-05-20 00:00:00,35.47609202983108,
2022-05-20 03:30:00,24.409527257649415,
2022-05-20 04:00:00,4.122221206154563,
2022-05-20 06:00:00,-8.768975909974188,
2022-05-20 08:00:00,-8.22033636142146,
