date,AS_MSCI_EM_REST_MIG_2022_Q2,meta
2022-04-21 02:30:00,897.045701024535,
2022-04-21 03:00:00,897.045701024535,
2022-04-21 18:30:00,897.045701024535,
2022-04-21 20:00:00,897.045701024535,
2022-04-21 23:00:00,1162.8849768293076,
2022-04-21 23:59:59,1123.5875205070997,c
2022-04-22 00:00:00,1108.7161116311709,
2022-04-22 01:00:00,1059.5082508987812,
2022-04-22 02:30:00,1059.5082508987812,
2022-04-22 03:00:00,1059.5082508987812,
2022-04-22 18:30:00,1059.5082508987812,
2022-04-22 20:00:00,1059.5082508987812,
2022-04-22 23:00:00,1059.5082508987812,
2022-04-22 23:59:59,1109.565260946788,w
2022-04-25 00:00:00,952.1292159281411,
2022-04-25 01:00:00,1042.0673175611423,
2022-04-25 02:30:00,1042.0673175611423,
2022-04-25 03:00:00,1042.0673175611423,
2022-04-25 18:30:00,1042.0673175611423,
2022-04-25 20:00:00,1042.0673175611423,
2022-04-25 23:00:00,887.419126099956,
2022-04-25 23:59:59,933.8969873036594,c
2022-04-26 00:00:00,984.8700121492525,
2022-04-26 01:00:00,1030.7445531379417,
2022-04-26 02:30:00,1030.7445531379417,
2022-04-26 03:00:00,1030.7445531379417,
2022-04-26 18:30:00,1030.7445531379417,
2022-04-26 20:00:00,1030.7445531379417,
2022-04-26 23:00:00,1070.568753450586,
2022-04-26 23:59:59,1082.449337276692,c
2022-04-27 00:00:00,962.2786055521306,
2022-04-27 01:00:00,923.2140669691316,
2022-04-27 02:30:00,923.2140669691316,
2022-04-27 03:00:00,923.2140669691316,
2022-04-27 18:30:00,923.2140669691316,
2022-04-27 20:00:00,923.2140669691316,
2022-04-27 23:00:00,982.3194956560205,
2022-04-27 23:59:59,985.0986695375395,c
2022-04-28 00:00:00,1014.6600790204006,
2022-04-28 01:00:00,1123.8347111341673,
2022-04-28 02:30:00,1123.8347111341673,
2022-04-28 03:00:00,1123.8347111341673,
2022-04-28 18:30:00,1123.8347111341673,
2022-04-28 20:00:00,1123.8347111341673,
2022-04-28 23:00:00,1131.5546525631653,
2022-04-28 23:59:59,1155.963582541316,c
2022-04-29 00:00:00,1177.8232515486097,
2022-04-29 01:00:00,1200.9932824413318,
2022-04-29 02:30:00,1200.9932824413318,
2022-04-29 03:00:00,1200.9932824413318,
2022-04-29 18:30:00,1200.9932824413318,
2022-04-29 20:00:00,1200.9932824413318,
2022-04-29 23:00:00,1200.9932824413318,
2022-04-29 23:59:59,1065.4015714050038,w
2022-05-02 00:00:00,1065.4015714050038,
2022-05-02 01:00:00,1065.4015714050038,
2022-05-02 02:30:00,1065.4015714050038,
2022-05-02 03:00:00,1065.4015714050038,
2022-05-02 18:30:00,1065.4015714050038,
2022-05-02 20:00:00,1065.4015714050038,
2022-05-02 23:00:00,1058.2427895519122,
2022-05-02 23:59:59,1058.2427895519122,c
2022-05-03 00:00:00,1037.3128872507964,
2022-05-03 01:00:00,979.0408350456792,
2022-05-03 02:30:00,979.0408350456792,
2022-05-03 03:00:00,979.0408350456792,
2022-05-03 18:30:00,979.0408350456792,
2022-05-03 20:00:00,979.0408350456792,
2022-05-03 23:00:00,838.9181823651784,
2022-05-03 23:59:59,824.8659307800153,c
2022-05-04 00:00:00,871.207596554551,
2022-05-04 01:00:00,837.479647166635,
2022-05-04 02:30:00,837.479647166635,
2022-05-04 03:00:00,837.479647166635,
2022-05-04 18:30:00,837.479647166635,
2022-05-04 20:00:00,837.479647166635,
2022-05-04 23:00:00,766.4009915081137,
2022-05-04 23:59:59,726.4758630452147,c
2022-05-05 00:00:00,768.9612766506038,
2022-05-05 01:00:00,752.7659585392244,
2022-05-05 02:30:00,752.7659585392244,
2022-05-05 03:00:00,752.7659585392244,
2022-05-05 18:30:00,752.7659585392244,
2022-05-05 20:00:00,752.7659585392244,
2022-05-05 23:00:00,803.4216295533483,
2022-05-05 23:59:59,793.0330880178176,c
2022-05-06 00:00:00,740.7048125421884,
2022-05-06 01:00:00,738.8406421370642,
2022-05-06 02:30:00,738.8406421370642,
2022-05-06 03:00:00,738.8406421370642,
2022-05-06 18:30:00,738.8406421370642,
2022-05-06 20:00:00,738.8406421370642,
2022-05-06 23:00:00,738.8406421370642,
2022-05-06 23:59:59,809.7086243801259,w
2022-05-09 00:00:00,617.7260418295305,
2022-05-09 01:00:00,589.0703099633115,
2022-05-09 02:30:00,589.0703099633115,
2022-05-09 03:00:00,589.0703099633115,
2022-05-09 18:30:00,589.0703099633115,
2022-05-09 20:00:00,589.0703099633115,
2022-05-09 23:00:00,662.5275262773753,
2022-05-09 23:59:59,639.4957636346107,c
2022-05-10 00:00:00,566.0845715802666,
2022-05-10 01:00:00,573.2598128975383,
2022-05-10 02:30:00,573.2598128975383,
2022-05-10 03:00:00,573.2598128975383,
2022-05-10 18:30:00,573.2598128975383,
2022-05-10 20:00:00,573.2598128975383,
2022-05-10 23:00:00,450.0347552228336,
2022-05-10 23:59:59,423.6637969907688,c
2022-05-11 00:00:00,404.2260785289459,
2022-05-11 01:00:00,364.3139413611475,
2022-05-11 02:30:00,364.3139413611475,
2022-05-11 03:00:00,364.3139413611475,
2022-05-11 18:30:00,364.3139413611475,
2022-05-11 20:00:00,364.3139413611475,
2022-05-11 23:00:00,325.32542351032,
2022-05-11 23:59:59,164.9775766481198,c
2022-05-12 00:00:00,196.09248213122737,
2022-05-12 01:00:00,133.07100713896625,
2022-05-12 02:30:00,133.07100713896625,
2022-05-12 03:00:00,133.07100713896625,
2022-05-12 18:30:00,133.07100713896625,
2022-05-12 20:00:00,133.07100713896625,
2022-05-12 23:00:00,20.206081647316296,
2022-05-12 23:59:59,0.0,a
2022-05-13 00:00:00,67.44095588246091,
2022-05-13 01:00:00,103.3406228900908,
2022-05-13 02:30:00,103.3406228900908,
2022-05-13 03:00:00,103.3406228900908,
2022-05-13 18:30:00,103.3406228900908,
2022-05-13 20:00:00,103.3406228900908,
2022-05-13 23:00:00,103.3406228900908,
2022-05-13 23:59:59,152.18937441160278,w
2022-05-16 00:00:00,118.67872770566237,
2022-05-16 01:00:00,221.56892029429264,
2022-05-16 02:30:00,221.56892029429264,
2022-05-16 03:00:00,221.56892029429264,
2022-05-16 18:30:00,221.56892029429264,
2022-05-16 20:00:00,221.56892029429264,
2022-05-16 23:00:00,179.84561556053404,
2022-05-16 23:59:59,195.21976602516588,c
2022-05-17 00:00:00,188.7467360275714,
2022-05-17 01:00:00,181.49289223219512,
2022-05-17 02:30:00,181.49289223219512,
2022-05-17 03:00:00,181.49289223219512,
2022-05-17 18:30:00,181.49289223219512,
2022-05-17 20:00:00,181.49289223219512,
2022-05-17 23:00:00,254.89853867159627,
2022-05-17 23:59:59,261.5245963168272,c
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
0,261.5245963168272,
2022-05-18 00:00:00,297.9706809721956,
2022-05-18 01:00:00,278.89216883784366,
2022-05-18 02:30:00,278.89216883784366,
2022-05-18 03:00:00,278.89216883784366,
2022-05-18 18:30:00,278.89216883784366,
2022-05-18 20:00:00,278.89216883784366,
2022-05-18 23:00:00,154.99681082372763,
2022-05-18 23:59:59,166.73334078641756,c
2022-05-19 00:00:00,88.55204274968946,
2022-05-19 01:00:00,179.6843590062499,
2022-05-19 02:30:00,179.6843590062499,
2022-05-19 03:00:00,179.6843590062499,
2022-05-19 18:30:00,179.6843590062499,
2022-05-19 20:00:00,179.6843590062499,
2022-05-19 23:00:00,313.74762750866466,
2022-05-19 23:59:59,333.1592672667225,c
2022-05-20 00:00:00,348.3234348861142,
2022-05-20 01:00:00,356.27947431295433,
2022-05-20 02:30:00,356.27947431295433,
2022-05-20 03:00:00,356.27947431295433,
2022-05-20 18:30:00,356.27947431295433,
2022-05-20 20:00:00,356.27947431295433,
2022-05-20 23:00:00,356.27947431295433,
2022-05-20 23:59:59,310.60755697060995,w
2022-05-23 00:00:00,450.5479667303771,
2022-05-23 01:00:00,458.9989347476071,
2022-05-23 02:30:00,458.9989347476071,
2022-05-23 03:00:00,458.9989347476071,
2022-05-23 18:30:00,458.9989347476071,
2022-05-23 20:00:00,458.9989347476071,
2022-05-23 23:00:00,508.20689073430503,
2022-05-23 23:59:59,502.218936813686,c
2022-05-24 00:00:00,511.3089611222849,
2022-05-24 01:00:00,508.48542731608904,
2022-05-24 02:30:00,508.48542731608904,
2022-05-24 03:00:00,508.48542731608904,
2022-05-24 18:30:00,508.48542731608904,
2022-05-24 20:00:00,508.48542731608904,
2022-05-24 23:00:00,514.0423775813665,
2022-05-24 23:59:59,611.1990137020703,c
2022-05-25 00:00:00,663.7327918709698,
2022-05-25 01:00:00,824.1594659520647,
