date,EU_MSCI_FACT_INTL_2022_Q2,meta
2022-04-14 00:00:00,-202.6294432565644,
2022-04-14 03:30:00,-203.2775509469144,
2022-04-14 04:00:00,-201.67687681842597,
2022-04-14 06:00:00,-215.97113157343904,
2022-04-14 08:00:00,-215.98721538107782,
2022-04-14 10:30:00,-202.01254858635536,
2022-04-14 11:00:00,-203.9455899856399,
2022-04-14 23:59:59,-205.99349166021784,c
2022-04-15 00:00:00,-205.99349166021784,
2022-04-15 03:30:00,-205.99349166021784,
2022-04-15 04:00:00,-205.99349166021784,
2022-04-15 06:00:00,-205.99349166021784,
2022-04-15 08:00:00,-205.99349166021784,
2022-04-15 10:30:00,-205.99349166021784,
2022-04-15 11:00:00,-205.99349166021784,
2022-04-15 23:59:59,-205.99349166021784,w
2022-04-18 00:00:00,-205.99349166021784,
2022-04-18 03:30:00,-205.99349166021784,
2022-04-18 04:00:00,-205.99349166021784,
2022-04-18 06:00:00,-205.99349166021784,
2022-04-18 08:00:00,-205.99349166021784,
2022-04-18 10:30:00,-205.99349166021784,
2022-04-18 11:00:00,-205.99349166021784,
2022-04-18 23:59:59,-205.99349166021784,c
2022-04-19 00:00:00,-183.2999647178525,
2022-04-19 03:30:00,-187.697757005403,
2022-04-19 04:00:00,-163.7836535983364,
2022-04-19 06:00:00,-162.1968966955519,
2022-04-19 08:00:00,-163.57004475941835,
2022-04-19 10:30:00,-165.47768478908847,
2022-04-19 11:00:00,-152.00543317612346,
2022-04-19 23:59:59,-166.0958138026026,c
2022-04-20 00:00:00,-169.01376958560138,
2022-04-20 03:30:00,-163.5270165403606,
2022-04-20 04:00:00,-146.6347064001542,
2022-04-20 06:00:00,-142.3711433282325,
2022-04-20 08:00:00,-144.23026179604472,
2022-04-20 10:30:00,-154.58146823264622,
2022-04-20 11:00:00,-143.53860988210107,
2022-04-20 23:59:59,-146.67291652334882,c
2022-04-21 00:00:00,-151.33713591028948,
2022-04-21 03:30:00,-145.51893133379605,
2022-04-21 04:00:00,-159.317248693765,
2022-04-21 06:00:00,-140.13120318076773,
2022-04-21 08:00:00,-143.6303726040939,
2022-04-21 10:30:00,-135.15882694135297,
2022-04-21 11:00:00,-131.81861086973743,
2022-04-21 23:59:59,-133.24242173963563,c
2022-04-22 00:00:00,-128.87691818236215,
2022-04-22 03:30:00,-133.48483083605186,
2022-04-22 04:00:00,-147.34651996707777,
2022-04-22 06:00:00,-161.06271147955988,
2022-04-22 08:00:00,-159.34982172942796,
2022-04-22 10:30:00,-156.57295247805723,
2022-04-22 11:00:00,-155.16493663713015,
2022-04-22 23:59:59,-159.32308953720212,w
2022-04-25 00:00:00,-156.80068932110112,
2022-04-25 03:30:00,-177.4769699964305,
2022-04-25 04:00:00,-175.19879539573492,
2022-04-25 06:00:00,-166.40483648141924,
2022-04-25 08:00:00,-164.681799353354,
2022-04-25 10:30:00,-178.37850383051114,
2022-04-25 11:00:00,-181.98643208488227,
2022-04-25 23:59:59,-175.4817998340567,c
2022-04-26 00:00:00,-167.40063827028598,
2022-04-26 03:30:00,-157.11079769329262,
2022-04-26 04:00:00,-158.1469505470319,
2022-04-26 06:00:00,-152.85143049275632,
2022-04-26 08:00:00,-150.85522699085936,
2022-04-26 10:30:00,-149.16365477480701,
2022-04-26 11:00:00,-137.0334898110944,
2022-04-26 23:59:59,-137.38703690511852,c
2022-04-27 00:00:00,-142.22706623951382,
2022-04-27 03:30:00,-153.06558012025465,
2022-04-27 04:00:00,-153.1184770518197,
2022-04-27 06:00:00,-167.52497648780468,
2022-04-27 08:00:00,-176.9163612146673,
2022-04-27 10:30:00,-176.57384638342285,
2022-04-27 11:00:00,-179.6292702490024,
2022-04-27 23:59:59,-181.38687289512916,c
2022-04-28 00:00:00,-175.3014762528651,
2022-04-28 03:30:00,-192.20963450917702,
2022-04-28 04:00:00,-183.7030142259615,
2022-04-28 06:00:00,-182.04289130861912,
2022-04-28 08:00:00,-181.6517051366037,
2022-04-28 10:30:00,-181.8711038013181,
2022-04-28 11:00:00,-179.0656559862382,
2022-04-28 23:59:59,-181.4998707551298,c
2022-04-29 00:00:00,-219.10198982271265,
2022-04-29 03:30:00,-215.8624132493468,
2022-04-29 04:00:00,-208.51295641959348,
2022-04-29 06:00:00,-209.8873635949601,
2022-04-29 08:00:00,-211.86394937342936,
2022-04-29 10:30:00,-197.00364168595058,
2022-04-29 11:00:00,-213.8875845095465,
2022-04-29 23:59:59,-206.77263229611447,w
2022-05-02 00:00:00,-222.76826523219336,
2022-05-02 03:30:00,-247.74658392038998,
2022-05-02 04:00:00,-211.20187213983831,
2022-05-02 06:00:00,-236.56492495353405,
2022-05-02 08:00:00,-218.3747227093446,
2022-05-02 10:30:00,-234.52638659643162,
2022-05-02 11:00:00,-230.28290846862603,
2022-05-02 23:59:59,-228.0788634943773,c
2022-05-03 00:00:00,-244.76970419909958,
2022-05-03 03:30:00,-237.98347866025756,
2022-05-03 04:00:00,-223.6295091210768,
2022-05-03 06:00:00,-208.17089197916346,
2022-05-03 08:00:00,-198.1857705273369,
2022-05-03 10:30:00,-187.00342271659065,
2022-05-03 11:00:00,-189.55071575390832,
2022-05-03 23:59:59,-193.17955305763076,c
2022-05-04 00:00:00,-195.72574315032261,
2022-05-04 03:30:00,-200.9340894633109,
2022-05-04 04:00:00,-193.6829598387119,
2022-05-04 06:00:00,-179.19634309230582,
2022-05-04 08:00:00,-174.80585464646697,
2022-05-04 10:30:00,-182.02619027994695,
2022-05-04 11:00:00,-179.2473930735655,
2022-05-04 23:59:59,-186.9368248388878,c
2022-05-05 00:00:00,-182.30620279030666,
2022-05-05 03:30:00,-172.9424738379863,
2022-05-05 04:00:00,-175.16998779581218,
2022-05-05 06:00:00,-187.63180377901494,
2022-05-05 08:00:00,-171.39089255368822,
2022-05-05 10:30:00,-161.0471512419481,
2022-05-05 11:00:00,-161.98400816636104,
2022-05-05 23:59:59,-166.05694925059515,c
2022-05-06 00:00:00,-168.9179510404997,
2022-05-06 03:30:00,-165.46496963856066,
2022-05-06 04:00:00,-157.70240965969015,
2022-05-06 06:00:00,-148.48215365117096,
2022-05-06 08:00:00,-134.33020643688036,
2022-05-06 10:30:00,-130.76025583076228,
2022-05-06 11:00:00,-137.09043839024628,
2022-05-06 23:59:59,-139.61144481889244,w
