date,CGW_2022_Q2,meta
2022-04-22 12:00:00,63.24094527966918,
2022-04-22 13:30:00,37.14048188677043,
2022-04-22 15:00:00,92.84516442793392,
2022-04-22 15:30:30,92.84516442793392,
2022-04-22 23:59:59,124.64511160613347,e
2022-04-25 00:00:00,160.57290602770627,
2022-04-25 10:00:00,226.5667492790144,
2022-04-25 10:30:00,284.9617071152634,
2022-04-25 12:00:00,334.61568636639004,
2022-04-25 13:30:00,275.55072970112906,
2022-04-25 15:00:00,244.41295463434562,
2022-04-25 15:30:30,244.41295463434562,
2022-04-25 23:59:59,194.8748524198936,c
2022-04-26 00:00:00,212.96392431439017,
2022-04-26 10:00:00,235.824851604355,
2022-04-26 10:30:00,263.1650519271252,
2022-04-26 12:00:00,322.48613841314636,
2022-04-26 13:30:00,377.3188128906777,
2022-04-26 15:00:00,355.7453881963502,
2022-04-26 15:30:30,355.7453881963502,
2022-04-26 23:59:59,432.49614366202604,c
2022-04-27 00:00:00,477.61960773044575,
2022-04-27 10:00:00,494.67937683053697,
2022-04-27 10:30:00,563.8101979704879,
2022-04-27 12:00:00,499.8036153079029,
2022-04-27 13:30:00,412.1258871262298,
2022-04-27 15:00:00,469.93637382291945,
2022-04-27 15:30:30,469.93637382291945,
2022-04-27 23:59:59,531.2171543596023,c
2022-04-28 00:00:00,462.23070420209024,
2022-04-28 10:00:00,518.904121016064,
2022-04-28 10:30:00,558.7317675988052,
2022-04-28 12:00:00,543.6305251756257,
2022-04-28 13:30:00,442.459293764181,
2022-04-28 15:00:00,462.6415636885131,
2022-04-28 15:30:30,462.6415636885131,
2022-04-28 23:59:59,480.07119709041854,c
2022-04-29 00:00:00,561.5223846485324,
2022-04-29 10:00:00,534.0600119955652,
2022-04-29 10:30:00,528.8226207859243,
2022-04-29 12:00:00,595.6528010072507,
2022-04-29 13:30:00,622.4346119289739,
2022-04-29 15:00:00,639.2824560327399,
2022-04-29 15:30:30,639.2824560327399,
2022-04-29 23:59:59,708.2409885279103,w
2022-05-02 00:00:00,706.4859179237374,
2022-05-02 10:00:00,710.8313418073049,
2022-05-02 10:30:00,691.9386624697845,
2022-05-02 12:00:00,747.6466160842738,
2022-05-02 13:30:00,816.5025362171282,
2022-05-02 15:00:00,872.3752756544427,
2022-05-02 15:30:30,872.3752756544427,
2022-05-02 23:59:59,800.4500542168353,c
2022-05-03 00:00:00,780.1991384829589,
2022-05-03 10:00:00,786.3213156064166,
2022-05-03 10:30:00,732.4057340141644,
2022-05-03 12:00:00,713.2411591787122,
2022-05-03 13:30:00,758.9746563486633,
2022-05-03 15:00:00,786.2939715257562,
2022-05-03 15:30:30,786.2939715257562,
2022-05-03 23:59:59,816.8315748260693,c
2022-05-04 00:00:00,741.0609350572013,
2022-05-04 10:00:00,743.0629313018335,
2022-05-04 10:30:00,725.9970503208187,
2022-05-04 12:00:00,770.5641269588086,
2022-05-04 13:30:00,754.9790241704432,
2022-05-04 15:00:00,686.356912440644,
2022-05-04 15:30:30,686.356912440644,
2022-05-04 23:59:59,584.1350612191072,c
2022-05-05 00:00:00,634.3134687887941,
2022-05-05 10:00:00,689.3776012209491,
2022-05-05 10:30:00,725.8808627571125,
2022-05-05 12:00:00,791.2874408823573,
