date,EU_MSCI_DM_MIG,meta
2022-04-07 00:00:00,-66.49908872139372,
2022-04-07 03:30:00,-82.2971500873117,
2022-04-07 04:00:00,-55.62940288811183,
2022-04-07 06:00:00,-72.06634794318688,
2022-04-07 08:00:00,-75.27473005660238,
2022-04-07 10:30:00,-83.31938493093242,
2022-04-07 11:00:00,-74.99563618163131,
2022-04-07 23:59:59,-53.68391255421193,c
2022-04-08 00:00:00,-76.73003116758184,
2022-04-08 03:30:00,-80.6683880241253,
2022-04-08 04:00:00,-109.53266606212662,
2022-04-08 06:00:00,-132.68397369769878,
2022-04-08 08:00:00,-116.3670393519044,
2022-04-08 10:30:00,-132.00595452360824,
2022-04-08 11:00:00,-134.66853534614825,
2022-04-08 23:59:59,-112.86685253577264,w
2022-04-11 00:00:00,-99.58574953913694,
2022-04-11 03:30:00,-114.2382900949134,
2022-04-11 04:00:00,-76.34345617518852,
2022-04-11 06:00:00,-31.819455246507005,
2022-04-11 08:00:00,-55.5136434768051,
2022-04-11 10:30:00,-65.69688051170192,
2022-04-11 11:00:00,-60.42010926106343,
2022-04-11 23:59:59,-58.05639802068049,c
2022-04-12 00:00:00,-18.310585789029687,
2022-04-12 03:30:00,-12.202322135555619,
2022-04-12 04:00:00,3.275475314390178,
2022-04-12 06:00:00,30.064005887145186,
2022-04-12 08:00:00,-1.884103623572969,
2022-04-12 10:30:00,-38.1333741582979,
2022-04-12 11:00:00,-26.65669076558015,
2022-04-12 23:59:59,-35.68730001647339,c
2022-04-13 00:00:00,-19.92640629861205,
2022-04-13 03:30:00,-20.676129758350044,
2022-04-13 04:00:00,-8.807558355458013,
2022-04-13 06:00:00,20.9122813837447,
2022-04-13 08:00:00,31.17385665912161,
2022-04-13 10:30:00,7.929991251040519,
2022-04-13 11:00:00,7.64391567587802,
2022-04-13 23:59:59,-2.0524163165247273,c
2022-04-14 00:00:00,-13.636213430279895,
2022-04-14 03:30:00,-40.878982631071835,
2022-04-14 04:00:00,-40.483507974723125,
2022-04-14 06:00:00,-17.303277232098253,
2022-04-14 08:00:00,-5.282727720400203,
2022-04-14 10:30:00,6.424589751406529,
2022-04-14 11:00:00,13.657597064717265,
2022-04-14 23:59:59,0.0,c
2022-04-15 00:00:00,0.0,
2022-04-15 03:30:00,0.0,
2022-04-15 04:00:00,0.0,
2022-04-15 06:00:00,0.0,
2022-04-15 08:00:00,0.0,
2022-04-15 10:30:00,0.0,
2022-04-15 11:00:00,0.0,
2022-04-15 23:59:59,0.0,w
2022-04-18 00:00:00,0.0,
2022-04-18 03:30:00,0.0,
2022-04-18 04:00:00,0.0,
2022-04-18 06:00:00,0.0,
2022-04-18 08:00:00,0.0,
2022-04-18 10:30:00,0.0,
2022-04-18 11:00:00,0.0,
2022-04-18 23:59:59,0.0,c
2022-04-19 00:00:00,0.0,
2022-04-19 03:30:00,0.0,
2022-04-19 04:00:00,0.0,
2022-04-19 06:00:00,0.0,
2022-04-19 08:00:00,0.0,
2022-04-19 10:30:00,0.0,
2022-04-19 11:00:00,0.0,
2022-04-19 23:59:59,0.0,c
2022-04-20 00:00:00,0.0,
2022-04-20 03:30:00,0.0,
2022-04-20 04:00:00,0.0,
2022-04-20 06:00:00,0.0,
2022-04-20 08:00:00,0.0,
2022-04-20 10:30:00,0.0,
2022-04-20 11:00:00,0.0,
2022-04-20 23:59:59,0.0,c
2022-04-21 00:00:00,0.0,
2022-04-21 03:30:00,0.0,
2022-04-21 04:00:00,0.0,
