date,JPDIV_2018,meta
2018-04-06 12:00:00,-63.10115354877829,
2018-04-06 13:30:00,-56.22928740597784,
2018-04-06 15:00:00,-8.950939012679457,
2018-04-06 15:30:30,-8.950939012679457,
2018-04-06 23:59:59,-22.17148584332466,w
2018-04-09 00:00:00,-1.1028033543711901,
2018-04-09 10:00:00,-11.995190112789869,
2018-04-09 10:30:00,-12.408437480546237,
2018-04-09 12:00:00,-30.848955989449028,
2018-04-09 13:30:00,-34.082632564673425,
2018-04-09 15:00:00,-28.32230978794992,
2018-04-09 15:30:30,-28.32230978794992,
2018-04-09 23:59:59,-2.8204949642241,c
2018-04-10 00:00:00,-36.112543494959475,
2018-04-10 10:00:00,-26.616078640566467,
2018-04-10 10:30:00,-40.16281497014523,
2018-04-10 12:00:00,-55.32491757547677,
2018-04-10 13:30:00,-52.77289333841384,
2018-04-10 15:00:00,-55.17326528365255,
2018-04-10 15:30:30,-55.17326528365255,
2018-04-10 23:59:59,-54.481034562874434,c
2018-04-11 00:00:00,-37.39198200995386,
2018-04-11 10:00:00,-42.57464737785161,
2018-04-11 10:30:00,-42.96829234474659,
2018-04-11 12:00:00,-38.66998013895333,
2018-04-11 13:30:00,-39.72074172112644,
2018-04-11 15:00:00,-43.208636404112575,
2018-04-11 15:30:30,-43.208636404112575,
2018-04-11 23:59:59,-40.430163135609625,c
2018-04-12 00:00:00,-83.76292323706745,
2018-04-12 10:00:00,-96.83369027768074,
2018-04-12 10:30:00,-94.10963854953647,
2018-04-12 12:00:00,-97.37936172363042,
2018-04-12 13:30:00,-83.3189399109757,
2018-04-12 15:00:00,-93.15769997160554,
2018-04-12 15:30:30,-93.15769997160554,
2018-04-12 23:59:59,-89.9013473370576,c
2018-04-13 00:00:00,-113.07822260376395,
2018-04-13 10:00:00,-101.88564656609952,
2018-04-13 10:30:00,-86.61300873963594,
2018-04-13 12:00:00,-89.26926838787496,
2018-04-13 13:30:00,-90.8572563702923,
2018-04-13 15:00:00,-81.81218468854428,
2018-04-13 15:30:30,-81.81218468854428,
2018-04-13 23:59:59,-75.08090272371948,e
