date,REMX_2022_Q4,meta
2022-12-09 13:30:00,-15.142469580218972,
2022-12-09 15:00:00,4.119834791187486,
2022-12-09 15:30:30,4.119834791187486,
2022-12-09 23:59:59,0.0,a
2022-12-12 00:00:00,80.52326190515248,
2022-12-12 10:00:00,84.65234345303463,
2022-12-12 10:30:00,16.97957674800125,
2022-12-12 12:00:00,-9.064750804706364,
2022-12-12 13:30:00,12.760786817824851,
2022-12-12 15:00:00,35.99060797184268,
2022-12-12 15:30:30,35.99060797184268,
2022-12-12 23:59:59,65.71742355262825,c
2022-12-13 00:00:00,39.83060264279254,
2022-12-13 10:00:00,84.49889450321814,
2022-12-13 10:30:00,120.1185428054929,
2022-12-13 12:00:00,137.12653842482803,
2022-12-13 13:30:00,136.64196572302455,
2022-12-13 15:00:00,126.57602577960222,
2022-12-13 15:30:30,126.57602577960222,
2022-12-13 23:59:59,134.1426504235866,c
2022-12-14 00:00:00,107.26709698486013,
2022-12-14 10:00:00,130.98893075625472,
2022-12-14 10:30:00,152.40946364942477,
2022-12-14 12:00:00,192.26461271727737,
2022-12-14 13:30:00,175.01825835822376,
2022-12-14 15:00:00,198.8400997547343,
2022-12-14 15:30:30,198.8400997547343,
2022-12-14 23:59:59,172.9044206787836,c
2022-12-15 00:00:00,135.035469172445,
2022-12-15 10:00:00,91.63485957333944,
2022-12-15 10:30:00,88.31315269189474,
2022-12-15 12:00:00,50.58934817510237,
2022-12-15 13:30:00,63.878056688832544,
2022-12-15 15:00:00,69.20795601464476,
2022-12-15 15:30:30,69.20795601464476,
2022-12-15 23:59:59,64.37209799417076,c
2022-12-16 00:00:00,58.8279168873288,
2022-12-16 10:00:00,87.92140989085203,
2022-12-16 10:30:00,83.76196958759976,
2022-12-16 12:00:00,83.30116772204212,
2022-12-16 13:30:00,127.23838057163618,
2022-12-16 15:00:00,127.51719120956989,
2022-12-16 15:30:30,127.51719120956989,
2022-12-16 23:59:59,93.18928355595119,e
2022-12-19 00:00:00,68.65746297318799,
2022-12-19 10:00:00,29.604721377952387,
2022-12-19 10:30:00,45.446200963213755,
2022-12-19 12:00:00,53.11036796119572,
2022-12-19 13:30:00,88.00883253198424,
2022-12-19 15:00:00,66.66476029874082,
2022-12-19 15:30:30,66.66476029874082,
2022-12-19 23:59:59,38.804845311412805,c
2022-12-20 00:00:00,-18.412862979186116,
2022-12-20 10:00:00,72.87530154648346,
2022-12-20 10:30:00,36.3495635466312,
2022-12-20 12:00:00,41.582224080946276,
2022-12-20 13:30:00,55.71490565767829,
2022-12-20 15:00:00,53.528716487813995,
2022-12-20 15:30:30,53.528716487813995,
2022-12-20 23:59:59,51.901489035867485,c
2022-12-21 00:00:00,83.9773013617122,
2022-12-21 10:00:00,108.23960350245727,
2022-12-21 10:30:00,144.33700947722298,
2022-12-21 12:00:00,110.88330338077446,
2022-12-21 13:30:00,58.12610185594929,
2022-12-21 15:00:00,68.90000613963127,
2022-12-21 15:30:30,68.90000613963127,
2022-12-21 23:59:59,83.64065082940408,c
2022-12-22 00:00:00,70.3654617195765,
2022-12-22 10:00:00,-64.69248088988343,
2022-12-22 10:30:00,-130.00553628307705,
2022-12-22 12:00:00,-207.61586783366545,
2022-12-22 13:30:00,-228.10326181448636,
2022-12-22 15:00:00,-186.5821611063069,
2022-12-22 15:30:30,-186.5821611063069,
2022-12-22 23:59:59,-179.0262515155557,c
2022-12-23 00:00:00,-171.19330000536593,
2022-12-23 10:00:00,-194.1605618141191,
2022-12-23 10:30:00,-169.09265573038067,
2022-12-23 12:00:00,-204.51026813980957,
