date,AS_MSCI_FACT_INTL_2021_Q4,meta
2021-11-03 23:59:59,-21.828311412313894,c
2021-11-04 00:00:00,-28.484673634193484,
2021-11-04 01:00:00,-31.08452371930258,
2021-11-04 02:30:00,-26.737860826286465,
2021-11-04 03:00:00,-26.76785234448414,
2021-11-04 18:30:00,-26.76785234448414,
2021-11-04 20:00:00,-29.607360013252105,
2021-11-04 23:00:00,-33.62292167627851,
2021-11-04 23:59:59,-38.70380845658548,c
2021-11-05 00:00:00,-45.66836711587814,
2021-11-05 01:00:00,-44.2339014173977,
2021-11-05 02:30:00,-45.11115740365943,
2021-11-05 03:00:00,-44.8622909314318,
2021-11-05 18:30:00,-44.8622909314318,
2021-11-05 20:00:00,-44.8622909314318,
2021-11-05 23:00:00,-44.8622909314318,
2021-11-05 23:59:59,-45.47076870155462,w
2021-11-08 00:00:00,-67.60576421646755,
2021-11-08 01:00:00,-68.31471684914771,
2021-11-08 02:30:00,-67.3856487231676,
2021-11-08 03:00:00,-68.07220950009412,
2021-11-08 18:30:00,-65.7323399707214,
2021-11-08 20:00:00,-55.155380062074585,
2021-11-08 23:00:00,-46.76443540265831,
2021-11-08 23:59:59,-44.030532424800015,c
2021-11-09 00:00:00,-38.49366586651303,
2021-11-09 01:00:00,-37.82144989478496,
2021-11-09 02:30:00,-37.22381298129841,
2021-11-09 03:00:00,-38.29650659921083,
2021-11-09 18:30:00,-42.32889971413806,
2021-11-09 20:00:00,-45.54207607592542,
2021-11-09 23:00:00,-45.92584128484083,
2021-11-09 23:59:59,-45.91164012765421,c
2021-11-10 00:00:00,-52.791129146073786,
2021-11-10 01:00:00,-51.12058538493562,
2021-11-10 02:30:00,-51.8325223823403,
2021-11-10 03:00:00,-53.968660725238806,
2021-11-10 18:30:00,-52.43872050589056,
2021-11-10 20:00:00,-53.59294846446022,
2021-11-10 23:00:00,-52.4472192533529,
2021-11-10 23:59:59,-51.7527510852413,c
2021-11-11 00:00:00,-56.17692157572628,
2021-11-11 01:00:00,-54.790416247997314,
2021-11-11 02:30:00,-53.617691393895086,
2021-11-11 03:00:00,-54.48637364955016,
2021-11-11 18:30:00,-51.125239876917306,
2021-11-11 20:00:00,-70.57246825726662,
2021-11-11 23:00:00,-61.81351633631209,
2021-11-11 23:59:59,-62.961142586938934,c
2021-11-12 00:00:00,-56.157860423666705,
2021-11-12 01:00:00,-65.17664560426948,
2021-11-12 02:30:00,-66.28697713165315,
2021-11-12 03:00:00,-66.06464862301698,
2021-11-12 18:30:00,-66.06464862301698,
2021-11-12 20:00:00,-66.06464862301698,
2021-11-12 23:00:00,-66.06464862301698,
2021-11-12 23:59:59,-66.83809046170745,w
2021-11-15 00:00:00,-70.71651719980287,
2021-11-15 01:00:00,-70.45658679521807,
2021-11-15 02:30:00,-68.8674153073427,
2021-11-15 03:00:00,-68.47383495448258,
2021-11-15 18:30:00,-65.3386821019763,
2021-11-15 20:00:00,-62.81051976883788,
2021-11-15 23:00:00,-45.087917131574784,
2021-11-15 23:59:59,-52.31015324257055,c
2021-11-16 00:00:00,-57.57340728198329,
2021-11-16 01:00:00,-57.69037777230204,
2021-11-16 02:30:00,-57.01090306662121,
2021-11-16 03:00:00,-57.286377330327525,
2021-11-16 18:30:00,-61.37565208950076,
2021-11-16 20:00:00,-49.051079051329054,
2021-11-16 23:00:00,-50.61289634497081,
2021-11-16 23:59:59,-49.33252063697046,c
2021-11-17 00:00:00,-51.32422725277786,
2021-11-17 01:00:00,-49.70000624142949,
2021-11-17 02:30:00,-51.100270418924424,
2021-11-17 03:00:00,-50.91173527791932,
2021-11-17 18:30:00,-47.35213240939487,
2021-11-17 20:00:00,-47.28143323081764,
2021-11-17 23:00:00,-47.97154038577338,
2021-11-17 23:59:59,-53.126353757362494,c
2021-11-18 00:00:00,-54.19166311080954,
2021-11-18 01:00:00,-52.930516654265375,
2021-11-18 02:30:00,-53.4308628349371,
2021-11-18 03:00:00,-52.89707270674552,
2021-11-18 18:30:00,-55.2679646913536,
2021-11-18 20:00:00,-46.593799325351426,
2021-11-18 23:00:00,-5.866697334800392,
2021-11-18 23:59:59,0.0,a
2021-11-19 00:00:00,1.8424805739037424,
2021-11-19 01:00:00,8.090337510424945,
2021-11-19 02:30:00,9.446934842150938,
2021-11-19 03:00:00,9.64149153297717,
2021-11-19 18:30:00,9.64149153297717,
2021-11-19 20:00:00,9.64149153297717,
2021-11-19 23:00:00,9.64149153297717,
2021-11-19 23:59:59,9.285834175785737,w
2021-11-22 00:00:00,12.411972169673447,
2021-11-22 01:00:00,10.138553936392725,
2021-11-22 02:30:00,9.266434548971802,
2021-11-22 03:00:00,7.603528548133795,
2021-11-22 18:30:00,8.211046846296767,
2021-11-22 20:00:00,7.310100859465251,
2021-11-22 23:00:00,11.898735925289202,
2021-11-22 23:59:59,11.006072581850049,c
2021-11-23 00:00:00,15.32514574501431,
2021-11-23 01:00:00,13.110310693692043,
2021-11-23 02:30:00,12.201522023779148,
2021-11-23 03:00:00,13.346602589832116,
