date,MSCI_FACT_MTUM_HEDGED_2021_Q4,meta
2021-11-03 23:59:59,-132.9046236105561,c
2021-11-04 00:00:00,-133.1229893848831,
2021-11-04 10:00:00,-109.36176258731659,
2021-11-04 10:30:00,-103.53578764456014,
2021-11-04 12:00:00,-84.87497722306732,
2021-11-04 13:30:00,-94.71855313527334,
2021-11-04 15:00:00,-85.14537579800633,
2021-11-04 15:30:30,-85.14537579800633,
2021-11-04 23:59:59,-95.65480310274742,c
2021-11-05 00:00:00,-88.57906622402487,
2021-11-05 10:00:00,-112.97927769173454,
2021-11-05 10:30:00,-110.96300015509846,
2021-11-05 12:00:00,-108.70944759384997,
2021-11-05 13:30:00,-109.11290933049473,
2021-11-05 15:00:00,-101.47797436929308,
2021-11-05 15:30:30,-101.47797436929308,
2021-11-05 23:59:59,-106.79445807976063,w
2021-11-08 00:00:00,-100.56927751194243,
2021-11-08 10:00:00,-119.98546941505705,
2021-11-08 10:30:00,-117.55705348528708,
2021-11-08 12:00:00,-116.14306337463606,
2021-11-08 13:30:00,-110.91185362453919,
2021-11-08 15:00:00,-108.14071667758512,
2021-11-08 15:30:30,-108.14071667758512,
2021-11-08 23:59:59,-104.73462770896012,c
2021-11-09 00:00:00,-86.31753256756441,
2021-11-09 10:00:00,-57.48425510929442,
2021-11-09 10:30:00,-66.76274609868103,
2021-11-09 12:00:00,-50.883049009311925,
2021-11-09 13:30:00,-59.49908069036168,
2021-11-09 15:00:00,-57.04761475737516,
2021-11-09 15:30:30,-57.04761475737516,
2021-11-09 23:59:59,-56.55609705037381,c
2021-11-10 00:00:00,-74.6637189267879,
2021-11-10 10:00:00,-82.13649030282517,
2021-11-10 10:30:00,-81.5529361422151,
2021-11-10 12:00:00,-91.02816831919763,
2021-11-10 13:30:00,-89.11719498663064,
2021-11-10 15:00:00,-79.92828872707726,
2021-11-10 15:30:30,-79.92828872707726,
2021-11-10 23:59:59,-91.38916394924694,c
2021-11-11 00:00:00,-75.90992653054607,
2021-11-11 10:00:00,-70.41732339720447,
2021-11-11 10:30:00,-69.24519247556911,
2021-11-11 12:00:00,-68.97537839190372,
2021-11-11 13:30:00,-64.80606780754212,
2021-11-11 15:00:00,-66.0685786941192,
2021-11-11 15:30:30,-66.0685786941192,
2021-11-11 23:59:59,-65.24821528180686,c
