date,EU_FTSEUK_STAY_2022_Q3,meta
2022-08-10 00:00:00,-20.62952140364881,
2022-08-10 03:30:00,-28.080766656765164,
2022-08-10 04:00:00,-32.588160082832445,
2022-08-10 06:00:00,-24.493635120315716,
2022-08-10 08:00:00,-17.873566451694273,
2022-08-10 10:30:00,10.628020283868075,
2022-08-10 11:00:00,-0.309360663188329,
2022-08-10 23:59:59,4.102364279844309,c
2022-08-11 00:00:00,6.0028262178744995,
2022-08-11 03:30:00,-8.891737140535582,
2022-08-11 04:00:00,-9.45334246239156,
2022-08-11 06:00:00,-17.262960540029894,
2022-08-11 08:00:00,-11.530151384759378,
2022-08-11 10:30:00,-13.948988898013269,
2022-08-11 11:00:00,-13.14017646111256,
2022-08-11 23:59:59,-11.856926996016725,c
2022-08-12 00:00:00,-3.4709326771217093,
2022-08-12 03:30:00,-13.165931947789346,
2022-08-12 04:00:00,-24.7006111274777,
2022-08-12 06:00:00,-32.695753661546206,
2022-08-12 08:00:00,-22.465766484306485,
2022-08-12 10:30:00,-44.55114841032791,
2022-08-12 11:00:00,-42.2005809915311,
2022-08-12 23:59:59,-39.669974503906545,w
2022-08-15 00:00:00,-58.71669113247174,
2022-08-15 03:30:00,-78.9528776359015,
2022-08-15 04:00:00,-65.23386406431383,
2022-08-15 06:00:00,-59.497707491624794,
2022-08-15 08:00:00,-47.045539309816974,
2022-08-15 10:30:00,-39.09228671430273,
2022-08-15 11:00:00,-49.5791437258072,
2022-08-15 23:59:59,-49.54386667274332,c
2022-08-16 00:00:00,-54.33451366524028,
2022-08-16 03:30:00,-43.92090431906685,
2022-08-16 04:00:00,-51.157930087931234,
2022-08-16 06:00:00,-48.70990246891236,
2022-08-16 08:00:00,-39.04973991075914,
2022-08-16 10:30:00,-35.84211393649015,
2022-08-16 11:00:00,-36.22759562911732,
2022-08-16 23:59:59,-31.288726616366247,c
2022-08-17 00:00:00,-40.37434244914766,
2022-08-17 03:30:00,-21.41768752211486,
2022-08-17 04:00:00,-29.12244878701584,
2022-08-17 06:00:00,-26.602827480751927,
2022-08-17 08:00:00,-35.37544502402248,
2022-08-17 10:30:00,-38.294540211605806,
2022-08-17 11:00:00,-39.042869209507344,
2022-08-17 23:59:59,-23.73831039831478,c
2022-08-18 00:00:00,-22.521271458725934,
2022-08-18 03:30:00,-28.89436999564623,
2022-08-18 04:00:00,-35.186124234189464,
2022-08-18 06:00:00,-27.856816849937843,
2022-08-18 08:00:00,-29.50373971461771,
2022-08-18 10:30:00,-39.86281475050971,
2022-08-18 11:00:00,-38.0124053804649,
2022-08-18 23:59:59,-43.619370473964366,c
2022-08-19 00:00:00,-53.25483342725255,
2022-08-19 03:30:00,-54.612839680038874,
2022-08-19 04:00:00,-64.68129549343398,
2022-08-19 06:00:00,-61.618389942958004,
2022-08-19 08:00:00,-51.751358960312004,
2022-08-19 10:30:00,-60.82214628733364,
