date,WT_2021_Q4,meta
2021-12-10 15:00:00,51.34947502535693,
2021-12-10 15:30:30,51.34947502535693,
2021-12-10 23:59:59,52.44668421207154,w
2021-12-13 00:00:00,34.36127960719771,
2021-12-13 10:00:00,29.212524709162473,
2021-12-13 10:30:00,23.52895902801965,
2021-12-13 12:00:00,7.500077925420669,
2021-12-13 13:30:00,6.3390997522613475,
2021-12-13 15:00:00,6.425749576906995,
2021-12-13 15:30:30,6.425749576906995,
2021-12-13 23:59:59,8.848856722973537,c
2021-12-14 00:00:00,3.112931650652655,
2021-12-14 10:00:00,12.9716886196195,
2021-12-14 10:30:00,16.734162107691432,
2021-12-14 12:00:00,13.734339147057398,
2021-12-14 13:30:00,22.224599680228337,
2021-12-14 15:00:00,26.461287948855762,
2021-12-14 15:30:30,26.461287948855762,
2021-12-14 23:59:59,21.601748420299188,e
2021-12-15 00:00:00,7.702598511627215,
2021-12-15 10:00:00,-16.989688172610627,
2021-12-15 10:30:00,-24.470302096709545,
2021-12-15 12:00:00,-17.84435719292928,
2021-12-15 13:30:00,-19.60215382937197,
2021-12-15 15:00:00,-26.266017236668603,
2021-12-15 15:30:30,-26.266017236668603,
2021-12-15 23:59:59,-23.916125731565543,c
2021-12-16 00:00:00,-15.122501645314145,
2021-12-16 10:00:00,-23.38409462347252,
2021-12-16 10:30:00,-23.314908442570186,
2021-12-16 12:00:00,-31.799602942679428,
2021-12-16 13:30:00,-37.073283062750704,
2021-12-16 15:00:00,-45.23059820730653,
2021-12-16 15:30:30,-45.23059820730653,
2021-12-16 23:59:59,-49.0396724419941,c
2021-12-17 00:00:00,-48.76395166200611,
2021-12-17 10:00:00,-57.24581206856902,
2021-12-17 10:30:00,-60.52893268489254,
2021-12-17 12:00:00,-42.52443104882079,
2021-12-17 13:30:00,-48.29226399630451,
2021-12-17 15:00:00,-53.57350656006929,
2021-12-17 15:30:30,-53.57350656006929,q
2021-12-17 23:59:59,-54.89786869940255,w
2021-12-20 00:00:00,-77.05610124080394,
2021-12-20 10:00:00,-77.90286697415007,
2021-12-20 10:30:00,-69.94316921701952,
2021-12-20 12:00:00,-81.22379441656605,
2021-12-20 13:30:00,-79.67760695819214,
2021-12-20 15:00:00,-78.82731078528974,
2021-12-20 15:30:30,-78.82731078528974,
2021-12-20 23:59:59,-75.6400274425136,c
2021-12-21 00:00:00,-62.28433091309233,
2021-12-21 10:00:00,-39.86111365482094,
2021-12-21 10:30:00,-34.49688583092214,
2021-12-21 12:00:00,-33.39166215300112,
2021-12-21 13:30:00,-34.077261195918055,
2021-12-21 15:00:00,-38.32443804936291,
2021-12-21 15:30:30,-38.32443804936291,
2021-12-21 23:59:59,-41.01982310207447,c
2021-12-22 00:00:00,-41.177597016788866,
2021-12-22 10:00:00,-31.77335132278533,
2021-12-22 10:30:00,-32.171268997389674,
2021-12-22 12:00:00,-29.702795878895188,
2021-12-22 13:30:00,-35.52819938771941,
2021-12-22 15:00:00,-33.72188412933818,
2021-12-22 15:30:30,-33.72188412933818,
2021-12-22 23:59:59,-39.220342285874764,c
2021-12-23 00:00:00,-36.87318382659987,
2021-12-23 10:00:00,-37.03408566634647,
2021-12-23 10:30:00,-31.693513866290957,
2021-12-23 12:00:00,-27.512643179827407,
2021-12-23 13:30:00,-21.611132171339833,
2021-12-23 15:00:00,-25.628653844302363,
2021-12-23 15:30:30,-25.628653844302363,
2021-12-23 23:59:59,-23.4091979639379,c
2021-12-24 00:00:00,-23.4091979639379,
2021-12-24 10:00:00,-23.4091979639379,
2021-12-24 10:30:00,-23.4091979639379,
2021-12-24 12:00:00,-23.4091979639379,
2021-12-24 13:30:00,-23.4091979639379,
2021-12-24 15:00:00,-23.4091979639379,
2021-12-24 15:30:30,-23.4091979639379,
2021-12-24 23:59:59,-23.4091979639379,w
2021-12-27 00:00:00,-29.6854167943072,
2021-12-27 10:00:00,-32.788449336878855,
2021-12-27 10:30:00,-29.05413596277124,
2021-12-27 12:00:00,-24.319993984038973,
2021-12-27 13:30:00,-25.85226456369763,
2021-12-27 15:00:00,-23.315178361443586,
2021-12-27 15:30:30,-23.315178361443586,
2021-12-27 23:59:59,-25.630610754390474,c
2021-12-28 00:00:00,-27.977624979541815,
2021-12-28 10:00:00,-14.74591620213738,
2021-12-28 10:30:00,-11.20244986481653,
2021-12-28 12:00:00,-11.219512611786143,
2021-12-28 13:30:00,-12.849655360951843,
2021-12-28 15:00:00,-17.35434495541061,
2021-12-28 15:30:30,-17.35434495541061,
2021-12-28 23:59:59,-15.174304858321406,c
