date,AS_FTSE_AS_DM_SC_2021_Q4,meta
2021-10-08 00:00:00,-258.13292118391576,
2021-10-08 01:00:00,-247.88659166786442,
2021-10-08 02:30:00,-251.6506826545754,
2021-10-08 03:00:00,-252.2657295055163,
2021-10-08 18:30:00,-252.2657295055163,
2021-10-08 20:00:00,-252.2657295055163,
2021-10-08 23:00:00,-252.2657295055163,
2021-10-08 23:59:59,-252.2049100880938,w
2021-10-11 00:00:00,-216.95526426958097,
2021-10-11 01:00:00,-218.03035088219147,
2021-10-11 02:30:00,-226.2652558690663,
2021-10-11 03:00:00,-227.05201548566959,
2021-10-11 18:30:00,-227.05201548566959,
2021-10-11 20:00:00,-279.2201394266605,
2021-10-11 23:00:00,-266.15525448966946,
2021-10-11 23:59:59,-283.41166395081484,c
2021-10-12 00:00:00,-273.3972575619197,
2021-10-12 01:00:00,-274.2709606886017,
2021-10-12 02:30:00,-282.4998246384397,
2021-10-12 03:00:00,-283.0289806404269,
2021-10-12 18:30:00,-283.0289806404269,
2021-10-12 20:00:00,-277.1921042935357,
2021-10-12 23:00:00,-273.5112472432771,
2021-10-12 23:59:59,-282.2429546243338,c
2021-10-13 00:00:00,-270.107040725857,
2021-10-13 01:00:00,-273.7099262649301,
2021-10-13 02:30:00,-270.1753720570354,
2021-10-13 03:00:00,-269.4951955676811,
2021-10-13 18:30:00,-269.4951955676811,
2021-10-13 20:00:00,-240.0030717824006,
2021-10-13 23:00:00,-207.8089371925004,
2021-10-13 23:59:59,-202.75513686299212,c
2021-10-14 00:00:00,-198.3494739892072,
2021-10-14 01:00:00,-201.36178830405873,
2021-10-14 02:30:00,-194.23185658223161,
2021-10-14 03:00:00,-193.507081434938,
2021-10-14 18:30:00,-193.507081434938,
2021-10-14 20:00:00,-197.56030006807615,
2021-10-14 23:00:00,-180.49708825607902,
2021-10-14 23:59:59,-179.52012798156335,c
2021-10-15 00:00:00,-175.4785607491411,
2021-10-15 01:00:00,-175.17863122002026,
2021-10-15 02:30:00,-179.93527861769596,
2021-10-15 03:00:00,-180.1740476637045,
2021-10-15 18:30:00,-180.1740476637045,
2021-10-15 20:00:00,-180.1740476637045,
2021-10-15 23:00:00,-180.1740476637045,
2021-10-15 23:59:59,-181.17209188604872,w
2021-10-18 00:00:00,-169.03913525114996,
2021-10-18 01:00:00,-180.71923000891675,
2021-10-18 02:30:00,-164.8964200815625,
2021-10-18 03:00:00,-173.28472698920163,
2021-10-18 18:30:00,-173.28472698920163,
2021-10-18 20:00:00,-186.0257105922948,
2021-10-18 23:00:00,-162.82818604682782,
2021-10-18 23:59:59,-159.89680635467877,c
2021-10-19 00:00:00,-156.06038333831697,
2021-10-19 01:00:00,-152.95346000516474,
2021-10-19 02:30:00,-145.8224245682964,
2021-10-19 03:00:00,-145.7334393684825,
2021-10-19 18:30:00,-145.7334393684825,
2021-10-19 20:00:00,-141.50556738008663,
2021-10-19 23:00:00,-154.62399726631307,
2021-10-19 23:59:59,-168.98283032544003,c
2021-10-20 00:00:00,-182.19108837404934,
2021-10-20 01:00:00,-168.1775147605998,
2021-10-20 02:30:00,-168.04644371638307,
2021-10-20 03:00:00,-169.44357186390025,
2021-10-20 18:30:00,-169.44357186390025,
2021-10-20 20:00:00,-163.2685174083649,
2021-10-20 23:00:00,-185.01783994738645,
2021-10-20 23:59:59,-200.6262320407461,c
2021-10-21 00:00:00,-191.71296596146584,
2021-10-21 01:00:00,-191.25742763537846,
2021-10-21 02:30:00,-189.2452335486292,
2021-10-21 03:00:00,-189.82512328316852,
2021-10-21 18:30:00,-189.82512328316852,
2021-10-21 20:00:00,-173.95017602619373,
2021-10-21 23:00:00,-218.8003802064034,
2021-10-21 23:59:59,-220.86410869123276,c
2021-10-22 00:00:00,-220.04194884238012,
2021-10-22 01:00:00,-217.37306629902224,
2021-10-22 02:30:00,-212.5447652630248,
2021-10-22 03:00:00,-219.1940723958024,
2021-10-22 18:30:00,-219.1940723958024,
2021-10-22 20:00:00,-219.1940723958024,
2021-10-22 23:00:00,-219.1940723958024,
2021-10-22 23:59:59,-220.3462678447407,w
2021-10-25 00:00:00,-209.00354535244998,
2021-10-25 01:00:00,-202.46232195896516,
2021-10-25 02:30:00,-197.7231939297556,
2021-10-25 03:00:00,-196.9580259005457,
2021-10-25 18:30:00,-196.9580259005457,
2021-10-25 20:00:00,-183.71980914710633,
2021-10-25 23:00:00,-157.8289570234985,
2021-10-25 23:59:59,-172.15094698383115,c
2021-10-26 00:00:00,-169.6436331358505,
2021-10-26 01:00:00,-169.8018546715458,
2021-10-26 02:30:00,-166.6750555896301,
2021-10-26 03:00:00,-166.8158454421657,
2021-10-26 18:30:00,-166.8158454421657,
2021-10-26 20:00:00,-161.70118352280036,
2021-10-26 23:00:00,-173.70922994796757,
2021-10-26 23:59:59,-175.23221440250586,c
2021-10-27 00:00:00,-171.35518997812147,
2021-10-27 01:00:00,-178.45561219430144,
2021-10-27 02:30:00,-169.80502622809567,
2021-10-27 03:00:00,-177.36707852040593,
2021-10-27 18:30:00,-177.36707852040593,
2021-10-27 20:00:00,-180.58921754060844,
2021-10-27 23:00:00,-182.68719024680337,
2021-10-27 23:59:59,-199.17650243393925,c
2021-10-28 00:00:00,-190.457202654694,
