date,NUFAM_2022_Q4,meta
2022-12-06 00:00:00,-2.266819232573212,
2022-12-06 10:00:00,3.5233830654197362,
2022-12-06 10:30:00,4.464543979914211,
2022-12-06 12:00:00,1.760923629043944,
2022-12-06 13:30:00,1.7665512495488827,
2022-12-06 15:00:00,7.799923578425577,
2022-12-06 15:30:30,7.799923578425577,
2022-12-06 23:59:59,12.071206435162907,c
2022-12-07 00:00:00,11.623651744285183,
2022-12-07 10:00:00,7.347578344189003,
2022-12-07 10:30:00,7.240368504168529,
2022-12-07 12:00:00,13.205352252689934,
2022-12-07 13:30:00,14.56615801426102,
2022-12-07 15:00:00,10.961167226722779,
2022-12-07 15:30:30,10.961167226722779,
2022-12-07 23:59:59,15.59890062000747,c
2022-12-08 00:00:00,15.744545533910056,
2022-12-08 10:00:00,12.667514932533535,
2022-12-08 10:30:00,12.759034189872821,
2022-12-08 12:00:00,24.576296224321766,
2022-12-08 13:30:00,17.929547293568945,
2022-12-08 15:00:00,23.843908234010527,
2022-12-08 15:30:30,23.843908234010527,
2022-12-08 23:59:59,32.293753833937984,c
2022-12-09 00:00:00,31.715073605408293,
2022-12-09 10:00:00,40.774994192504124,
2022-12-09 10:30:00,41.64470475324427,
2022-12-09 12:00:00,44.01283675171821,
2022-12-09 13:30:00,48.396574843202615,
2022-12-09 15:00:00,44.018648856058604,
2022-12-09 15:30:30,44.018648856058604,
2022-12-09 23:59:59,42.98365819277706,w
2022-12-12 00:00:00,33.910775465070245,
2022-12-12 10:00:00,40.096084708912485,
2022-12-12 10:30:00,40.59935920393346,
2022-12-12 12:00:00,43.01870381190602,
2022-12-12 13:30:00,44.12429893225253,
2022-12-12 15:00:00,47.16378382280422,
2022-12-12 15:30:30,47.16378382280422,
2022-12-12 23:59:59,47.42504266422975,c
2022-12-13 00:00:00,30.30677132936205,
2022-12-13 10:00:00,25.74016250153116,
2022-12-13 10:30:00,21.84100995746121,
2022-12-13 12:00:00,12.396374152198035,
2022-12-13 13:30:00,21.52447644105338,
2022-12-13 15:00:00,18.647741476982077,
2022-12-13 15:30:30,18.647741476982077,
2022-12-13 23:59:59,14.21710985104859,c
2022-12-14 00:00:00,9.84379285895082,
2022-12-14 10:00:00,5.3882854468615164,
2022-12-14 10:30:00,6.8760221894308415,
2022-12-14 12:00:00,1.718638283436519,
2022-12-14 13:30:00,5.487639604343286,
2022-12-14 15:00:00,1.972663324349739,
2022-12-14 15:30:30,1.972663324349739,
2022-12-14 23:59:59,1.41108062388939,c
