date,SPX_EW_2022_Q2,meta
2022-05-20 13:30:00,391.44660832061294,
2022-05-20 15:00:00,403.1944350874266,
2022-05-20 15:30:30,403.1944350874266,
2022-05-20 23:59:59,439.57157387962417,w
2022-05-23 00:00:00,453.7407782975666,
2022-05-23 10:00:00,356.09782065953965,
2022-05-23 10:30:00,366.1345647400041,
2022-05-23 12:00:00,390.9204564317011,
2022-05-23 13:30:00,405.38465789369155,
2022-05-23 15:00:00,396.71830875392556,
2022-05-23 15:30:30,396.71830875392556,
2022-05-23 23:59:59,399.2849430671819,c
2022-05-24 00:00:00,358.5093929250458,
2022-05-24 10:00:00,254.07656509635945,
2022-05-24 10:30:00,249.85190643064243,
2022-05-24 12:00:00,252.75828579530355,
2022-05-24 13:30:00,226.31095339926497,
2022-05-24 15:00:00,204.65952269127598,
2022-05-24 15:30:30,204.65952269127598,
2022-05-24 23:59:59,217.59839418768757,c
2022-05-25 00:00:00,200.96643769353477,
2022-05-25 10:00:00,218.26834674831184,
2022-05-25 10:30:00,270.37192689300207,
2022-05-25 12:00:00,254.2654049493038,
2022-05-25 13:30:00,246.01871497853415,
2022-05-25 15:00:00,267.748053214446,
2022-05-25 15:30:30,267.748053214446,
2022-05-25 23:59:59,266.1254721674143,c
2022-05-26 00:00:00,247.93836864491414,
2022-05-26 10:00:00,286.11480928015834,
2022-05-26 10:30:00,296.9272219863132,
2022-05-26 12:00:00,299.57072160539934,
2022-05-26 13:30:00,334.46766031529586,
2022-05-26 15:00:00,332.9687093806735,
2022-05-26 15:30:30,332.9687093806735,
2022-05-26 23:59:59,337.7121347676876,c
2022-05-27 00:00:00,364.9325301559871,
2022-05-27 10:00:00,385.0109601095308,
2022-05-27 10:30:00,394.12510031707114,
2022-05-27 12:00:00,375.4534707606312,
2022-05-27 13:30:00,375.5142962484036,
2022-05-27 15:00:00,381.5410787077946,
2022-05-27 15:30:30,381.5410787077946,
2022-05-27 23:59:59,386.6074407801602,w
2022-05-30 00:00:00,386.6074407801602,
2022-05-30 10:00:00,386.6074407801602,
2022-05-30 10:30:00,386.6074407801602,
2022-05-30 12:00:00,386.6074407801602,
2022-05-30 13:30:00,386.6074407801602,
2022-05-30 15:00:00,386.6074407801602,
2022-05-30 15:30:30,386.6074407801602,
2022-05-30 23:59:59,386.6074407801602,c
2022-05-31 00:00:00,358.1604748027856,
2022-05-31 10:00:00,349.9480895803485,
2022-05-31 10:30:00,348.84680597150276,
2022-05-31 12:00:00,371.9304576603394,
2022-05-31 13:30:00,358.3073178590968,
2022-05-31 15:00:00,372.03553250233136,
2022-05-31 15:30:30,372.03553250233136,m
2022-05-31 23:59:59,391.36300681850304,c
2022-06-01 00:00:00,390.30853217544615,
2022-06-01 10:00:00,378.4034973820888,
2022-06-01 10:30:00,332.3439407514806,
2022-06-01 12:00:00,296.07963134114453,
2022-06-01 13:30:00,288.64579055128223,
2022-06-01 15:00:00,312.9569658610663,
2022-06-01 15:30:30,312.9569658610663,
2022-06-01 23:59:59,304.60031235201023,c
2022-06-02 00:00:00,317.7258327674369,
2022-06-02 10:00:00,367.02428382783154,
2022-06-02 10:30:00,365.43824517417744,
2022-06-02 12:00:00,396.85897737949364,
2022-06-02 13:30:00,439.67339695665527,
2022-06-02 15:00:00,461.6187536542872,
2022-06-02 15:30:30,461.6187536542872,
2022-06-02 23:59:59,457.5601811327604,c
2022-06-03 00:00:00,396.3492607604001,
2022-06-03 10:00:00,387.5971321200722,
2022-06-03 10:30:00,367.24904478439106,
2022-06-03 12:00:00,349.2126146696558,
2022-06-03 13:30:00,349.98126331104226,
2022-06-03 15:00:00,330.1283609500046,
2022-06-03 15:30:30,330.1283609500046,
2022-06-03 23:59:59,325.519045707505,w
2022-06-06 00:00:00,368.92267917810324,
2022-06-06 10:00:00,350.54881932850634,
2022-06-06 10:30:00,368.238608920687,
2022-06-06 12:00:00,336.2238798282853,
2022-06-06 13:30:00,306.6376313894921,
2022-06-06 15:00:00,303.69311506997684,
2022-06-06 15:30:30,303.69311506997684,
2022-06-06 23:59:59,301.9601197122974,c
2022-06-07 00:00:00,266.5179172100077,
2022-06-07 10:00:00,246.1918270215367,
2022-06-07 10:30:00,271.59956456557853,
2022-06-07 12:00:00,269.5365055767568,
2022-06-07 13:30:00,260.04206934677717,
2022-06-07 15:00:00,256.7012044661371,
2022-06-07 15:30:30,256.7012044661371,u
2022-06-07 23:59:59,273.6143675508094,c
2022-06-08 00:00:00,241.55017044117045,
2022-06-08 10:00:00,286.87430987384306,
2022-06-08 10:30:00,245.0978849300364,
2022-06-08 12:00:00,250.66471659389669,
2022-06-08 13:30:00,242.25199323062395,
2022-06-08 15:00:00,246.3693471006904,
2022-06-08 15:30:30,246.3693471006904,
2022-06-08 23:59:59,235.3192653748498,c
2022-06-09 00:00:00,220.7142560839746,
2022-06-09 10:00:00,171.4739284727243,
2022-06-09 10:30:00,185.4945255833931,
2022-06-09 12:00:00,158.56928476700585,
2022-06-09 13:30:00,138.28370917595817,
2022-06-09 15:00:00,110.60538633242857,
2022-06-09 15:30:30,110.60538633242857,
2022-06-09 23:59:59,112.67460152086232,c
2022-06-10 00:00:00,61.22529538104817,
2022-06-10 10:00:00,25.816946911633266,
2022-06-10 10:30:00,17.13435454567957,
2022-06-10 12:00:00,19.87637324980389,
2022-06-10 13:30:00,12.863735418991979,
2022-06-10 15:00:00,5.55833181891208,
2022-06-10 15:30:30,5.55833181891208,
2022-06-10 23:59:59,0.0,a
2022-06-13 00:00:00,-47.32689931431287,
2022-06-13 10:00:00,-70.57252185173857,
2022-06-13 10:30:00,-57.63285327445658,
2022-06-13 12:00:00,-88.15960919285132,
2022-06-13 13:30:00,-91.42960326730352,
2022-06-13 15:00:00,-91.9247494398106,
2022-06-13 15:30:30,-91.9247494398106,
2022-06-13 23:59:59,-90.04448427983533,c
2022-06-14 00:00:00,-109.61047641234454,
2022-06-14 10:00:00,-128.18409265352778,
2022-06-14 10:30:00,-158.7654452370557,
2022-06-14 12:00:00,-113.14164552747457,
2022-06-14 13:30:00,-97.60195742928107,
