date,XT_2022_Q4,meta
2022-11-18 00:00:00,94.34770710472526,
2022-11-18 10:00:00,26.445358498929295,
2022-11-18 10:30:00,5.179844616136052,
2022-11-18 12:00:00,-18.937328444310765,
2022-11-18 13:30:00,-26.416930522552548,
2022-11-18 15:00:00,-21.486801217008633,
2022-11-18 15:30:30,-21.486801217008633,
2022-11-18 23:59:59,-24.39700280579325,w
2022-11-21 00:00:00,-50.037540877152196,
2022-11-21 10:00:00,-89.19203895881913,
2022-11-21 10:30:00,-77.43398636127341,
2022-11-21 12:00:00,-96.59716688543097,
2022-11-21 13:30:00,-99.88698895613413,
2022-11-21 15:00:00,-98.45405556812551,
2022-11-21 15:30:30,-98.45405556812551,
2022-11-21 23:59:59,-83.12949909707811,c
2022-11-22 00:00:00,-96.56926498055634,
2022-11-22 10:00:00,-121.98430193334605,
2022-11-22 10:30:00,-92.54292509264519,
2022-11-22 12:00:00,-115.36225149896734,
2022-11-22 13:30:00,-115.31470807580348,
2022-11-22 15:00:00,-122.40930645594443,
2022-11-22 15:30:30,-122.40930645594443,
2022-11-22 23:59:59,-114.43753783788719,c
2022-11-23 00:00:00,-103.0102448478363,
2022-11-23 10:00:00,-103.07783311214183,
2022-11-23 10:30:00,-78.32051317371042,
2022-11-23 12:00:00,-72.14750744927068,
2022-11-23 13:30:00,-60.30290530836419,
2022-11-23 15:00:00,-28.58707287097991,
2022-11-23 15:30:30,-28.58707287097991,
2022-11-23 23:59:59,-20.19544737967567,c
2022-11-24 00:00:00,-19.317687113582565,
2022-11-24 10:00:00,-18.516316350422244,
2022-11-24 10:30:00,-17.759710488997598,
2022-11-24 12:00:00,-18.659601165996946,
2022-11-24 13:30:00,-18.0951306223659,
2022-11-24 15:00:00,-19.7997589543171,
2022-11-24 15:30:30,-19.7997589543171,
2022-11-24 23:59:59,-19.06139044022791,c
2022-11-25 00:00:00,-17.445579414599592,
2022-11-25 10:00:00,-52.00324678702913,
2022-11-25 10:30:00,-47.220347923963686,
2022-11-25 12:00:00,-30.31139567967398,
2022-11-25 13:30:00,-26.24167464136474,
2022-11-25 15:00:00,-26.011420352157756,
2022-11-25 15:30:30,-26.011420352157756,
2022-11-25 23:59:59,-25.221060839040888,w
2022-11-28 00:00:00,-34.46294611445251,
2022-11-28 10:00:00,-14.25504042866487,
2022-11-28 10:30:00,-27.929899510707173,
2022-11-28 12:00:00,-23.500589550615132,
2022-11-28 13:30:00,-38.420398909226265,
2022-11-28 15:00:00,-40.84032380559404,
2022-11-28 15:30:30,-40.84032380559404,
2022-11-28 23:59:59,-40.75655578852866,c
2022-11-29 00:00:00,-27.482706880423507,
2022-11-29 10:00:00,-3.46999065716966,
2022-11-29 10:30:00,3.4064120894415737,
2022-11-29 12:00:00,2.639201780116764,
2022-11-29 13:30:00,-14.382491418549876,
2022-11-29 15:00:00,-17.81054589435655,
2022-11-29 15:30:30,-17.81054589435655,
2022-11-29 23:59:59,-17.181380234808785,c
2022-11-30 00:00:00,-42.829340919112155,
2022-11-30 10:00:00,-23.842357728191587,
2022-11-30 10:30:00,-8.168307071227332,
2022-11-30 12:00:00,-49.60139613148715,
2022-11-30 13:30:00,-53.369300989015926,
2022-11-30 15:00:00,-5.615497624810246,
2022-11-30 15:30:30,-5.615497624810246,m
2022-11-30 23:59:59,30.522663465709456,c
2022-12-01 00:00:00,47.27217510942171,
2022-12-01 10:00:00,86.0823279900942,
2022-12-01 10:30:00,37.47602052045568,
2022-12-01 12:00:00,66.66350116442004,
2022-12-01 13:30:00,61.03901315782946,
2022-12-01 15:00:00,69.29627783235719,
2022-12-01 15:30:30,69.29627783235719,
2022-12-01 23:59:59,92.27058702075533,c
2022-12-02 00:00:00,42.66917972293231,
2022-12-02 10:00:00,32.44739276035,
2022-12-02 10:30:00,63.49628764134127,
2022-12-02 12:00:00,59.349115004820305,
2022-12-02 13:30:00,63.73769998911928,
2022-12-02 15:00:00,59.544151754174095,
2022-12-02 15:30:30,59.544151754174095,
2022-12-02 23:59:59,61.529601070108924,w
2022-12-05 00:00:00,55.02157675633316,
2022-12-05 10:00:00,6.9447857068942085,
2022-12-05 10:30:00,2.378493985557043,
2022-12-05 12:00:00,-4.107323658819951,
2022-12-05 13:30:00,-29.425858856763284,
2022-12-05 15:00:00,-51.30356161830673,
2022-12-05 15:30:30,-51.30356161830673,
2022-12-05 23:59:59,-50.46294449438119,c
2022-12-06 00:00:00,-45.4644868857614,
2022-12-06 10:00:00,-95.2387018068518,
2022-12-06 10:30:00,-108.66554905069614,
2022-12-06 12:00:00,-102.0507925141564,
2022-12-06 13:30:00,-111.12767219729102,
2022-12-06 15:00:00,-91.97167225935368,
2022-12-06 15:30:30,-91.97167225935368,
2022-12-06 23:59:59,-91.49528860252644,c
2022-12-07 00:00:00,-71.82832579198902,
2022-12-07 10:00:00,-82.2855110559342,
2022-12-07 10:30:00,-95.59652355166031,
2022-12-07 12:00:00,-75.74792244194947,
2022-12-07 13:30:00,-78.6712986227758,
2022-12-07 15:00:00,-86.25674670897399,
2022-12-07 15:30:30,-86.25674670897399,
2022-12-07 23:59:59,-86.88697852873833,c
2022-12-08 00:00:00,-72.16142050778626,
2022-12-08 10:00:00,-25.531448327780936,
2022-12-08 10:30:00,-21.826090932031207,
2022-12-08 12:00:00,-17.168192640004236,
2022-12-08 13:30:00,-11.794740610350345,
2022-12-08 15:00:00,-10.277960401037149,
2022-12-08 15:30:30,-10.277960401037149,
2022-12-08 23:59:59,-14.477646076419774,c
2022-12-09 00:00:00,-20.667286129896752,
2022-12-09 10:00:00,27.458551558535078,
2022-12-09 10:30:00,20.28389389814049,
2022-12-09 12:00:00,2.6245330051825704,
2022-12-09 13:30:00,-5.769111819244813,
2022-12-09 15:00:00,2.604060551904695,
