date,SPYD_2022_Q3,meta
2022-07-01 00:00:00,-331.7772714238265,
2022-07-01 10:00:00,-289.8158410138908,
2022-07-01 10:30:00,-311.44204352020665,
2022-07-01 12:00:00,-316.9542058955933,
2022-07-01 13:30:00,-323.35578204782223,
2022-07-01 15:00:00,-332.7701637798573,
2022-07-01 15:30:30,-332.7701637798573,
2022-07-01 23:59:59,-342.92375586196226,w
2022-07-04 00:00:00,-342.92375586196226,
2022-07-04 10:00:00,-342.92375586196226,
2022-07-04 10:30:00,-342.92375586196226,
2022-07-04 12:00:00,-342.92375586196226,
2022-07-04 13:30:00,-342.92375586196226,
2022-07-04 15:00:00,-342.92375586196226,
2022-07-04 15:30:30,-342.92375586196226,
2022-07-04 23:59:59,-342.92375586196226,c
2022-07-05 00:00:00,-361.1044796592155,
2022-07-05 10:00:00,-340.2593795177959,
2022-07-05 10:30:00,-307.9675021705011,
2022-07-05 12:00:00,-252.27475994425572,
2022-07-05 13:30:00,-209.25042123473986,
2022-07-05 15:00:00,-214.37644472364263,
2022-07-05 15:30:30,-214.37644472364263,
2022-07-05 23:59:59,-202.50261824236486,c
2022-07-06 00:00:00,-204.91899624341113,
2022-07-06 10:00:00,-230.8539810841744,
2022-07-06 10:30:00,-246.9906368955983,
2022-07-06 12:00:00,-239.06109464007113,
2022-07-06 13:30:00,-238.41554383703942,
2022-07-06 15:00:00,-237.62888959142288,
2022-07-06 15:30:30,-237.62888959142288,
2022-07-06 23:59:59,-240.03468756286657,c
2022-07-07 00:00:00,-242.77400076340382,
2022-07-07 10:00:00,-230.01469036903927,
2022-07-07 10:30:00,-231.0638253359391,
2022-07-07 12:00:00,-204.6928884711624,
2022-07-07 13:30:00,-177.19268728820134,
2022-07-07 15:00:00,-168.22061445582062,
2022-07-07 15:30:30,-168.22061445582062,
2022-07-07 23:59:59,-169.20145708076734,c
2022-07-08 00:00:00,-169.9111430264959,
2022-07-08 10:00:00,-213.22061722176613,
2022-07-08 10:30:00,-189.25500541059182,
2022-07-08 12:00:00,-175.26101068788444,
2022-07-08 13:30:00,-184.9015934366289,
2022-07-08 15:00:00,-193.1290010465907,
2022-07-08 15:30:30,-193.1290010465907,
2022-07-08 23:59:59,-189.58013154339687,w
2022-07-11 00:00:00,-205.98059160130174,
2022-07-11 10:00:00,-248.77733561269315,
2022-07-11 10:30:00,-220.62710235779332,
2022-07-11 12:00:00,-242.4752213570871,
2022-07-11 13:30:00,-245.46061472650058,
2022-07-11 15:00:00,-256.8184188405319,
2022-07-11 15:30:30,-256.8184188405319,
2022-07-11 23:59:59,-264.050061560966,c
2022-07-12 00:00:00,-236.47571893615077,
2022-07-12 10:00:00,-218.45292149834086,
2022-07-12 10:30:00,-204.106530861804,
2022-07-12 12:00:00,-190.65414332861928,
2022-07-12 13:30:00,-203.43045397853712,
2022-07-12 15:00:00,-208.97414275568917,
2022-07-12 15:30:30,-208.97414275568917,
2022-07-12 23:59:59,-204.25586259196257,c
2022-07-13 00:00:00,-238.90827027565706,
2022-07-13 10:00:00,-233.68888752631528,
2022-07-13 10:30:00,-215.49670338140186,
2022-07-13 12:00:00,-212.80682356838065,
2022-07-13 13:30:00,-218.7491189346465,
2022-07-13 15:00:00,-218.51762006510853,
2022-07-13 15:30:30,-218.51762006510853,
2022-07-13 23:59:59,-203.14745724220938,c
2022-07-14 00:00:00,-183.29771533138978,
2022-07-14 10:00:00,-200.86200760427982,
2022-07-14 10:30:00,-197.9428930615386,
