date,URNM_2022_Q3,meta
2022-09-15 00:00:00,-871.0128198973316,
2022-09-15 10:00:00,-913.36007242504,
2022-09-15 10:30:00,-849.5247757246261,
2022-09-15 12:00:00,-751.3524796943329,
2022-09-15 13:30:00,-703.7726149948958,
2022-09-15 15:00:00,-567.4886022354458,
2022-09-15 15:30:30,-567.4886022354458,
2022-09-15 23:59:59,-515.1587997115548,c
2022-09-16 00:00:00,-373.26377176562073,
2022-09-16 10:00:00,-159.3161233312485,
2022-09-16 10:30:00,-192.05014253485479,
2022-09-16 12:00:00,-299.9943616335959,
2022-09-16 13:30:00,-178.5896598710424,
2022-09-16 15:00:00,-299.8083348629698,
2022-09-16 15:30:30,-299.8083348629698,q
2022-09-16 23:59:59,-302.7220600411365,w
2022-09-19 00:00:00,-98.34528069043245,
2022-09-19 10:00:00,-360.41630921967044,
2022-09-19 10:30:00,-371.1188433510415,
2022-09-19 12:00:00,-366.81059391129565,
2022-09-19 13:30:00,-398.8054732350183,
2022-09-19 15:00:00,-452.55980986812847,
2022-09-19 15:30:30,-452.55980986812847,
2022-09-19 23:59:59,-404.88153676491675,c
2022-09-20 00:00:00,-302.55930209456346,
2022-09-20 10:00:00,-244.42429020669442,
2022-09-20 10:30:00,-293.4345012332933,
2022-09-20 12:00:00,-377.10899977171994,
2022-09-20 13:30:00,-497.85873395863746,
2022-09-20 15:00:00,-487.6549868767934,
2022-09-20 15:30:30,-487.6549868767934,
2022-09-20 23:59:59,-430.57452919320895,c
2022-09-21 00:00:00,-495.93547147210575,
2022-09-21 10:00:00,-194.11136979617459,
2022-09-21 10:30:00,-312.21620301922576,
2022-09-21 12:00:00,-309.67144816459586,
2022-09-21 13:30:00,-272.6148889987371,
2022-09-21 15:00:00,-420.7213787194596,
2022-09-21 15:30:30,-420.7213787194596,
2022-09-21 23:59:59,-130.4200960870876,c
2022-09-22 00:00:00,-217.02744631779387,
2022-09-22 10:00:00,-55.02895485089903,
2022-09-22 10:30:00,-121.01390373302002,
2022-09-22 12:00:00,-87.23210060309884,
2022-09-22 13:30:00,-10.945285439150211,
2022-09-22 15:00:00,-84.39023918756448,
2022-09-22 15:30:30,-84.39023918756448,
2022-09-22 23:59:59,-88.27315017736146,c
2022-09-23 00:00:00,108.2630971868357,
2022-09-23 10:00:00,326.55687309221594,
2022-09-23 10:30:00,216.93616882154492,
2022-09-23 12:00:00,425.25198712340807,
2022-09-23 13:30:00,390.3736122969858,
2022-09-23 15:00:00,441.3164967762141,
2022-09-23 15:30:30,441.3164967762141,
2022-09-23 23:59:59,369.04221173282804,w
2022-09-26 00:00:00,433.3673375294593,
2022-09-26 10:00:00,271.2748296559794,
2022-09-26 10:30:00,209.99486913958026,
2022-09-26 12:00:00,334.74039780119256,
2022-09-26 13:30:00,376.4761149877486,
2022-09-26 15:00:00,353.39165779998166,
2022-09-26 15:30:30,353.39165779998166,
2022-09-26 23:59:59,383.53490742991926,c
2022-09-27 00:00:00,220.98744376071772,
2022-09-27 10:00:00,179.91072076316323,
2022-09-27 10:30:00,123.5352843856981,
2022-09-27 12:00:00,176.0395679396197,
2022-09-27 13:30:00,160.3631837642124,
2022-09-27 15:00:00,2.258300835310365,
2022-09-27 15:30:30,2.258300835310365,
2022-09-27 23:59:59,127.7957588881618,c
2022-09-28 00:00:00,76.99208262346929,
2022-09-28 10:00:00,40.324941600893,
2022-09-28 10:30:00,38.911733891979566,
2022-09-28 12:00:00,-44.31606095067582,
2022-09-28 13:30:00,-47.31637225517534,
2022-09-28 15:00:00,-136.7176345363996,
2022-09-28 15:30:30,-136.7176345363996,
2022-09-28 23:59:59,-45.76291083860542,c
2022-09-29 00:00:00,-82.61863251875911,
2022-09-29 10:00:00,-60.39430938953865,
2022-09-29 10:30:00,-81.31093188476643,
2022-09-29 12:00:00,-65.95339230951686,
2022-09-29 13:30:00,-33.15768178761573,
2022-09-29 15:00:00,112.14034558499225,
2022-09-29 15:30:30,112.14034558499225,
2022-09-29 23:59:59,0.0,a
2022-09-30 00:00:00,101.65739357248003,
2022-09-30 10:00:00,88.4905965918033,
2022-09-30 10:30:00,-38.20881546196415,
