date,AS_KOSPI200_2022_Q2,meta
2022-05-09 00:00:00,-18.81205310792376,
2022-05-09 01:00:00,-13.012861984344397,
2022-05-09 02:30:00,-13.012861984344397,
2022-05-09 03:00:00,-13.012861984344397,
2022-05-09 18:30:00,-13.012861984344397,
2022-05-09 20:00:00,-13.012861984344397,
2022-05-09 23:00:00,-10.647733388289225,
2022-05-09 23:59:59,-14.882110013389706,c
2022-05-10 00:00:00,-38.582358289736305,
2022-05-10 01:00:00,-49.807769307297576,
2022-05-10 02:30:00,-49.807769307297576,
2022-05-10 03:00:00,-49.807769307297576,
2022-05-10 18:30:00,-49.807769307297576,
2022-05-10 20:00:00,-49.807769307297576,
2022-05-10 23:00:00,-95.45628441974509,
2022-05-10 23:59:59,-74.70424589821653,c
2022-05-11 00:00:00,-74.72303974106194,
2022-05-11 01:00:00,-56.24388044726612,
2022-05-11 02:30:00,-56.24388044726612,
2022-05-11 03:00:00,-56.24388044726612,
2022-05-11 18:30:00,-56.24388044726612,
2022-05-11 20:00:00,-56.24388044726612,
2022-05-11 23:00:00,-64.82188086086501,
2022-05-11 23:59:59,-67.95300556281734,c
2022-05-12 00:00:00,-66.91940677130839,
2022-05-12 01:00:00,-129.25510860653395,
2022-05-12 02:30:00,-129.25510860653395,
2022-05-12 03:00:00,-129.25510860653395,
2022-05-12 18:30:00,-129.25510860653395,
2022-05-12 20:00:00,-129.25510860653395,
2022-05-12 23:00:00,-174.69275184591135,
2022-05-12 23:59:59,-174.87070460741535,c
2022-05-13 00:00:00,-177.0959085555324,
2022-05-13 01:00:00,-171.28671834857528,
2022-05-13 02:30:00,-171.28671834857528,
2022-05-13 03:00:00,-171.28671834857528,
2022-05-13 18:30:00,-171.28671834857528,
2022-05-13 20:00:00,-171.28671834857528,
2022-05-13 23:00:00,-171.28671834857528,
2022-05-13 23:59:59,-166.4385995839325,w
2022-05-16 00:00:00,-127.0322933054336,
2022-05-16 01:00:00,-127.48943251648802,
2022-05-16 02:30:00,-127.48943251648802,
2022-05-16 03:00:00,-127.48943251648802,
2022-05-16 18:30:00,-127.48943251648802,
2022-05-16 20:00:00,-127.48943251648802,
2022-05-16 23:00:00,-50.26971421078571,
2022-05-16 23:59:59,-65.96135738234557,c
2022-05-17 00:00:00,-84.44811453056673,
2022-05-17 01:00:00,-102.00067553804661,
2022-05-17 02:30:00,-102.00067553804661,
2022-05-17 03:00:00,-102.00067553804661,
2022-05-17 18:30:00,-102.00067553804661,
2022-05-17 20:00:00,-102.00067553804661,
2022-05-17 23:00:00,-87.61813428863127,
2022-05-17 23:59:59,-91.05748540532215,c
2022-05-18 00:00:00,-90.17261844591735,
2022-05-18 01:00:00,-96.83791505008656,
2022-05-18 02:30:00,-96.83791505008656,
2022-05-18 03:00:00,-96.83791505008656,
2022-05-18 18:30:00,-96.83791505008656,
2022-05-18 20:00:00,-96.83791505008656,
2022-05-18 23:00:00,-116.93763837268597,
2022-05-18 23:59:59,-107.65404045299852,c
2022-05-19 00:00:00,-113.88897634592536,
2022-05-19 01:00:00,-116.86754819038617,
2022-05-19 02:30:00,-116.86754819038617,
2022-05-19 03:00:00,-116.86754819038617,
2022-05-19 18:30:00,-116.86754819038617,
2022-05-19 20:00:00,-116.86754819038617,
2022-05-19 23:00:00,-84.51449145147978,
2022-05-19 23:59:59,-72.2607773436535,c
2022-05-20 00:00:00,-78.58516964134253,
2022-05-20 01:00:00,-59.45509525688897,
2022-05-20 02:30:00,-59.45509525688897,
2022-05-20 03:00:00,-59.45509525688897,
2022-05-20 18:30:00,-59.45509525688897,
2022-05-20 20:00:00,-59.45509525688897,
2022-05-20 23:00:00,-59.45509525688897,
2022-05-20 23:59:59,-45.699630554102384,w
2022-05-23 00:00:00,-43.42094692470238,
2022-05-23 01:00:00,-43.80919785944519,
2022-05-23 02:30:00,-43.80919785944519,
2022-05-23 03:00:00,-43.80919785944519,
2022-05-23 18:30:00,-43.80919785944519,
2022-05-23 20:00:00,-43.80919785944519,
2022-05-23 23:00:00,7.93887389921224,
2022-05-23 23:59:59,0.0,a
2022-05-24 00:00:00,11.879546497302016,
2022-05-24 01:00:00,6.352935772671827,
2022-05-24 02:30:00,6.352935772671827,
2022-05-24 03:00:00,6.352935772671827,
2022-05-24 18:30:00,6.352935772671827,
2022-05-24 20:00:00,6.352935772671827,
2022-05-24 23:00:00,75.63322408038576,
2022-05-24 23:59:59,63.93399846333256,c
2022-05-25 00:00:00,76.74074165894353,
2022-05-25 01:00:00,87.48391268269029,
2022-05-25 02:30:00,87.48391268269029,
2022-05-25 03:00:00,87.48391268269029,
2022-05-25 18:30:00,87.48391268269029,
2022-05-25 20:00:00,87.48391268269029,
2022-05-25 23:00:00,121.8273158076479,
2022-05-25 23:59:59,118.74040416619687,c
2022-05-26 00:00:00,121.05401111627614,
2022-05-26 01:00:00,108.9976263782444,
2022-05-26 02:30:00,108.9976263782444,
2022-05-26 03:00:00,108.9976263782444,
2022-05-26 18:30:00,108.9976263782444,
2022-05-26 20:00:00,108.9976263782444,
2022-05-26 23:00:00,84.86719245411629,
2022-05-26 23:59:59,92.05678935361036,c
2022-05-27 00:00:00,93.43045014515181,
2022-05-27 01:00:00,103.36535968272281,
2022-05-27 02:30:00,103.36535968272281,
2022-05-27 03:00:00,103.36535968272281,
2022-05-27 18:30:00,103.36535968272281,
2022-05-27 20:00:00,103.36535968272281,
2022-05-27 23:00:00,103.36535968272281,
2022-05-27 23:59:59,100.84599621564021,w
2022-05-30 00:00:00,71.31852154403751,
2022-05-30 01:00:00,77.5747183982688,
2022-05-30 02:30:00,77.5747183982688,
2022-05-30 03:00:00,77.5747183982688,
2022-05-30 18:30:00,77.5747183982688,
2022-05-30 20:00:00,77.5747183982688,
2022-05-30 23:00:00,0.8600150847996986,
2022-05-30 23:59:59,23.30570199913018,c
2022-05-31 00:00:00,39.37511293540706,
2022-05-31 01:00:00,24.504180835904094,
2022-05-31 02:30:00,24.504180835904094,
2022-05-31 03:00:00,24.504180835904094,
2022-05-31 18:30:00,24.504180835904094,
2022-05-31 20:00:00,24.504180835904094,
2022-05-31 23:00:00,24.504180835904094,
2022-05-31 23:59:59,17.721957944449088,c
2022-06-01 00:00:00,17.721957944449088,
2022-06-01 01:00:00,17.721957944449088,
2022-06-01 02:30:00,17.721957944449088,
2022-06-01 03:00:00,17.721957944449088,
2022-06-01 18:30:00,17.721957944449088,
2022-06-01 20:00:00,17.721957944449088,
2022-06-01 23:00:00,-7.235671846013332,
2022-06-01 23:59:59,-7.235671846013332,c
2022-06-02 00:00:00,2.2379164740382578,
2022-06-02 01:00:00,-5.990302063637245,
2022-06-02 02:30:00,-5.990302063637245,
2022-06-02 03:00:00,-5.990302063637245,
2022-06-02 18:30:00,-5.990302063637245,
2022-06-02 20:00:00,-5.990302063637245,
2022-06-02 23:00:00,23.39957404546041,
2022-06-02 23:59:59,16.93364047069329,c
2022-06-03 00:00:00,21.529397219665412,
2022-06-03 01:00:00,34.088023619657406,
2022-06-03 02:30:00,34.088023619657406,
2022-06-03 03:00:00,34.088023619657406,
2022-06-03 18:30:00,34.088023619657406,
2022-06-03 20:00:00,34.088023619657406,
2022-06-03 23:00:00,34.088023619657406,
2022-06-03 23:59:59,48.59954432719675,w
2022-06-06 00:00:00,48.59954432719675,
2022-06-06 01:00:00,48.59954432719675,
2022-06-06 02:30:00,48.59954432719675,
2022-06-06 03:00:00,48.59954432719675,
2022-06-06 18:30:00,48.59954432719675,
2022-06-06 20:00:00,48.59954432719675,
2022-06-06 23:00:00,94.75481907850687,
2022-06-06 23:59:59,94.75481907850687,c
2022-06-07 00:00:00,100.43292861475115,
2022-06-07 01:00:00,111.64989760326208,
2022-06-07 02:30:00,111.64989760326208,
2022-06-07 03:00:00,111.64989760326208,
2022-06-07 18:30:00,111.64989760326208,
2022-06-07 20:00:00,111.64989760326208,
2022-06-07 23:00:00,9.181536931851554,
2022-06-07 23:59:59,10.959376067677681,c
2022-06-08 00:00:00,-9.712267611639078,
2022-06-08 01:00:00,-2.366274396377719,
2022-06-08 02:30:00,-2.366274396377719,
2022-06-08 03:00:00,-2.366274396377719,
2022-06-08 18:30:00,-2.366274396377719,
2022-06-08 20:00:00,-2.366274396377719,
2022-06-08 23:00:00,76.1491110257538,
2022-06-08 23:59:59,88.84861416881489,c
2022-06-09 00:00:00,82.84857824350425,
2022-06-09 01:00:00,63.91713458721256,
2022-06-09 02:30:00,63.91713458721256,
2022-06-09 03:00:00,63.91713458721256,
2022-06-09 18:30:00,63.91713458721256,
2022-06-09 20:00:00,63.91713458721256,
2022-06-09 23:00:00,-32.58560587542945,
2022-06-09 23:59:59,-58.38506665055172,e
2022-06-10 00:00:00,-57.31482886772767,
2022-06-10 01:00:00,-54.107852240609475,
2022-06-10 02:30:00,-54.107852240609475,
2022-06-10 03:00:00,-54.107852240609475,
2022-06-10 18:30:00,-54.107852240609475,
2022-06-10 20:00:00,-54.107852240609475,
2022-06-10 23:00:00,-54.107852240609475,
2022-06-10 23:59:59,-72.76516109975722,w
2022-06-13 00:00:00,-162.05081674513553,
2022-06-13 01:00:00,-182.38199690644132,
2022-06-13 02:30:00,-182.38199690644132,
2022-06-13 03:00:00,-182.38199690644132,
2022-06-13 18:30:00,-182.38199690644132,
2022-06-13 20:00:00,-182.38199690644132,
2022-06-13 23:00:00,-212.6212360708397,
2022-06-13 23:59:59,-216.5675997691029,c
2022-06-14 00:00:00,-213.48273387056594,
2022-06-14 01:00:00,-217.67277957516916,
2022-06-14 02:30:00,-217.67277957516916,
2022-06-14 03:00:00,-217.67277957516916,
2022-06-14 18:30:00,-217.67277957516916,
2022-06-14 20:00:00,-217.67277957516916,
2022-06-14 23:00:00,-111.75778241967129,
2022-06-14 23:59:59,-103.99536067683096,c
2022-06-15 00:00:00,-105.62997181183516,
2022-06-15 01:00:00,-114.798142402932,
2022-06-15 02:30:00,-114.798142402932,
2022-06-15 03:00:00,-114.798142402932,
2022-06-15 18:30:00,-114.798142402932,
2022-06-15 20:00:00,-114.798142402932,
2022-06-15 23:00:00,-62.79754435575114,
2022-06-15 23:59:59,-61.22704959097234,c
2022-06-16 00:00:00,-54.03342078075832,
2022-06-16 01:00:00,-68.71180657406751,
2022-06-16 02:30:00,-68.71180657406751,
2022-06-16 03:00:00,-68.71180657406751,
2022-06-16 18:30:00,-68.71180657406751,
2022-06-16 20:00:00,-68.71180657406751,
2022-06-16 23:00:00,-58.057612349274734,
2022-06-16 23:59:59,-37.77195426213939,c
2022-06-17 00:00:00,-35.856670155634845,
2022-06-17 01:00:00,-35.63765040238957,
2022-06-17 02:30:00,-35.63765040238957,
2022-06-17 03:00:00,-35.63765040238957,
2022-06-17 18:30:00,-35.63765040238957,
2022-06-17 20:00:00,-35.63765040238957,
2022-06-17 23:00:00,-35.63765040238957,
2022-06-17 23:59:59,-26.131862445047318,w
2022-06-20 00:00:00,-20.126475004872873,
2022-06-20 01:00:00,-19.960093702774543,
2022-06-20 02:30:00,-19.960093702774543,
2022-06-20 03:00:00,-19.960093702774543,
2022-06-20 18:30:00,-19.960093702774543,
2022-06-20 20:00:00,-19.960093702774543,
2022-06-20 23:00:00,3.602748295826501,
2022-06-20 23:59:59,-10.182918577140953,c
2022-06-21 00:00:00,11.322702742986365,
2022-06-21 01:00:00,-3.0919135720462805,
2022-06-21 02:30:00,-3.0919135720462805,
2022-06-21 03:00:00,-3.0919135720462805,
2022-06-21 18:30:00,-3.0919135720462805,
2022-06-21 20:00:00,-3.0919135720462805,
2022-06-21 23:00:00,-81.39145798492683,
2022-06-21 23:59:59,-88.39526726691747,c
2022-06-22 00:00:00,-85.48184400072466,
2022-06-22 01:00:00,-75.3851799983101,
2022-06-22 02:30:00,-75.3851799983101,
2022-06-22 03:00:00,-75.3851799983101,
2022-06-22 18:30:00,-75.3851799983101,
2022-06-22 20:00:00,-75.3851799983101,
2022-06-22 23:00:00,-65.46319530087521,
2022-06-22 23:59:59,-67.5412565622185,c
2022-06-23 00:00:00,-57.59142904800774,
2022-06-23 01:00:00,-69.05929295130426,
2022-06-23 02:30:00,-69.05929295130426,
2022-06-23 03:00:00,-69.05929295130426,
2022-06-23 18:30:00,-69.05929295130426,
2022-06-23 20:00:00,-69.05929295130426,
2022-06-23 23:00:00,-69.05929295130426,
2022-06-23 23:59:59,-80.63179221541378,c
