date,EU_FTSE_EU_DM_AW_ADDSDELS_2021_Q4,meta
2021-10-29 10:30:00,19.92733860566662,
2021-10-29 11:00:00,15.40277139429486,
2021-10-29 23:59:59,3.189639912027218,w
2021-11-01 00:00:00,24.86691456911882,
2021-11-01 03:30:00,24.86691456911882,
2021-11-01 04:00:00,24.86691456911882,
2021-11-01 06:00:00,60.88279441520095,
2021-11-01 08:00:00,61.11967199394732,
2021-11-01 10:30:00,55.03062287399669,
2021-11-01 11:00:00,74.54000887515377,
2021-11-01 23:59:59,86.13013509674951,c
2021-11-02 00:00:00,125.7070709077835,
2021-11-02 03:30:00,125.7070709077835,
2021-11-02 04:00:00,125.7070709077835,
2021-11-02 06:00:00,82.25506922380933,
2021-11-02 08:00:00,54.042525031885475,
2021-11-02 10:30:00,22.99199272923923,
2021-11-02 11:00:00,10.166467454866819,
2021-11-02 23:59:59,35.71043308685441,c
2021-11-03 00:00:00,48.34606181229884,
2021-11-03 03:30:00,48.34606181229884,
2021-11-03 04:00:00,48.34606181229884,
2021-11-03 06:00:00,80.00141221176472,
2021-11-03 08:00:00,15.421175730801565,
2021-11-03 10:30:00,2.4086581697009706,
2021-11-03 11:00:00,9.046019632742201,
2021-11-03 23:59:59,21.181705928264222,c
2021-11-04 00:00:00,2.3202782683238183,
2021-11-04 03:30:00,2.3202782683238183,
2021-11-04 04:00:00,2.3202782683238183,
2021-11-04 06:00:00,72.150613339627,
2021-11-04 08:00:00,87.36729002918639,
2021-11-04 10:30:00,106.49981623439089,
2021-11-04 11:00:00,124.82521062290607,
2021-11-04 23:59:59,136.43775349158906,c
2021-11-05 00:00:00,149.3413676203639,
2021-11-05 03:30:00,149.3413676203639,
2021-11-05 04:00:00,149.3413676203639,
2021-11-05 06:00:00,137.26058621320212,
2021-11-05 08:00:00,60.89095791680137,
2021-11-05 10:30:00,49.10123316969762,
2021-11-05 11:00:00,19.730712715140328,
2021-11-05 23:59:59,12.671352087199011,w
2021-11-08 00:00:00,12.697300337396598,
2021-11-08 03:30:00,7.517785536731395,
2021-11-08 04:00:00,7.596621814353568,
2021-11-08 06:00:00,33.97080778631587,
2021-11-08 08:00:00,43.77432381468216,
2021-11-08 10:30:00,44.58940836134187,
2021-11-08 11:00:00,35.42396910779402,
2021-11-08 23:59:59,48.23897709077514,c
2021-11-09 00:00:00,83.34500301102915,
2021-11-09 03:30:00,68.74628219712409,
2021-11-09 04:00:00,72.37866847166617,
2021-11-09 06:00:00,65.81176363533598,
2021-11-09 08:00:00,76.57358248209914,
2021-11-09 10:30:00,77.83839336695968,
2021-11-09 11:00:00,83.32922045900841,
2021-11-09 23:59:59,79.1517784375919,c
2021-11-10 00:00:00,90.57950826990054,
2021-11-10 03:30:00,59.53445930424775,
2021-11-10 04:00:00,43.198113243958204,
2021-11-10 06:00:00,-7.2102701916968215,
2021-11-10 08:00:00,28.849338432562774,
2021-11-10 10:30:00,72.36622408202643,
2021-11-10 11:00:00,64.47484814169908,
2021-11-10 23:59:59,38.99164008859992,c
2021-11-11 00:00:00,32.32190712775835,
2021-11-11 03:30:00,2.2286584088364236,
2021-11-11 04:00:00,20.317353365170305,
2021-11-11 06:00:00,47.7341035357299,
2021-11-11 08:00:00,63.42173045428669,
2021-11-11 10:30:00,72.98615360964595,
2021-11-11 11:00:00,60.8216785889806,
2021-11-11 23:59:59,47.09651408274249,c
2021-11-12 00:00:00,-64.89383927230605,
2021-11-12 03:30:00,-106.91556510195836,
2021-11-12 04:00:00,-123.69807642704873,
2021-11-12 06:00:00,-70.97081820858337,
2021-11-12 08:00:00,-39.228651755568734,
2021-11-12 10:30:00,0.27515605825144007,
2021-11-12 11:00:00,-10.005685055369511,
2021-11-12 23:59:59,-16.677563324402485,w
2021-11-15 00:00:00,-29.671232732355747,
2021-11-15 03:30:00,-8.759400656702184,
2021-11-15 04:00:00,-30.923537860543036,
2021-11-15 06:00:00,-18.13813250506054,
2021-11-15 08:00:00,-10.34219636095196,
2021-11-15 10:30:00,-34.8275709523774,
2021-11-15 11:00:00,-32.53175283399533,
2021-11-15 23:59:59,-30.13240159793044,c
2021-11-16 00:00:00,-24.961803420181724,
2021-11-16 03:30:00,-57.98659589508863,
2021-11-16 04:00:00,-39.94898897489064,
2021-11-16 06:00:00,-46.279272429033995,
2021-11-16 08:00:00,-41.31026582242488,
2021-11-16 10:30:00,-39.49783718901975,
2021-11-16 11:00:00,-37.45110999646927,
2021-11-16 23:59:59,-70.40885392337665,c
2021-11-17 00:00:00,-69.33090218585176,
2021-11-17 03:30:00,-66.43369122770704,
2021-11-17 04:00:00,-82.36696173265938,
2021-11-17 06:00:00,-32.640996554475976,
2021-11-17 08:00:00,-70.21476219690722,
2021-11-17 10:30:00,-112.58806298992327,
2021-11-17 11:00:00,-119.51647638502781,
2021-11-17 23:59:59,-129.1401802771032,c
2021-11-18 00:00:00,-140.64413104942798,
2021-11-18 03:30:00,-171.49169525165368,
2021-11-18 04:00:00,-188.77552314012146,
2021-11-18 06:00:00,-161.6124443471346,
2021-11-18 08:00:00,-183.42401648755657,
2021-11-18 10:30:00,-137.92978622231036,
2021-11-18 11:00:00,-121.62875391044432,
2021-11-18 23:59:59,-120.58696738485722,c
2021-11-19 00:00:00,-145.61751919396067,
2021-11-19 03:30:00,-118.9565572748321,
2021-11-19 04:00:00,-102.43921659204491,
2021-11-19 06:00:00,-57.55959500082406,
2021-11-19 08:00:00,-33.40611232603577,
2021-11-19 10:30:00,-32.90380952392067,
2021-11-19 11:00:00,-3.6831977794290367,
