date,BIZD_2022_Q2,meta
2022-06-27 15:00:00,-84.37576130897034,
2022-06-27 15:30:30,-84.37576130897034,
2022-06-27 23:59:59,-80.68568400754535,c
2022-06-28 00:00:00,-81.94637346693204,
2022-06-28 10:00:00,-108.21535852353179,
2022-06-28 10:30:00,-90.95142948664892,
2022-06-28 12:00:00,-104.71338961136003,
2022-06-28 13:30:00,-121.43436503492629,
2022-06-28 15:00:00,-134.67778446160975,
2022-06-28 15:30:30,-134.67778446160975,
2022-06-28 23:59:59,-141.4566517972217,c
2022-06-29 00:00:00,-128.66202282466764,
2022-06-29 10:00:00,-106.18708042618906,
2022-06-29 10:30:00,-106.43678058190572,
2022-06-29 12:00:00,-119.0860313321048,
2022-06-29 13:30:00,-109.14258269356431,
2022-06-29 15:00:00,-102.5027494130072,
2022-06-29 15:30:30,-102.5027494130072,
2022-06-29 23:59:59,-111.40844910662643,c
2022-06-30 00:00:00,-95.72646172613776,
2022-06-30 10:00:00,-110.04417234652709,
2022-06-30 10:30:00,-93.69192541441865,
2022-06-30 12:00:00,-79.59507594436468,
2022-06-30 13:30:00,-71.30098752615817,
2022-06-30 15:00:00,-74.70524271965627,
2022-06-30 15:30:30,-74.70524271965627,
2022-06-30 23:59:59,-97.12045535962349,c
2022-07-01 00:00:00,-117.33847779549802,
2022-07-01 10:00:00,-92.22108140868896,
2022-07-01 10:30:00,-87.07687521302844,
2022-07-01 12:00:00,-55.87064145973565,
2022-07-01 13:30:00,-65.297407417102,
2022-07-01 15:00:00,-51.48633377590728,
2022-07-01 15:30:30,-51.48633377590728,
2022-07-01 23:59:59,-55.82073547809117,w
