date,BIZD_2022_Q2,meta
2022-06-02 00:00:00,-270.89127413929515,
2022-06-02 10:00:00,-275.515808420221,
2022-06-02 10:30:00,-246.65914133941703,
2022-06-02 12:00:00,-220.14493428511076,
2022-06-02 13:30:00,-200.05604385955883,
2022-06-02 15:00:00,-204.8733644857473,
2022-06-02 15:30:30,-204.8733644857473,
2022-06-02 23:59:59,-191.320992335786,c
2022-06-03 00:00:00,-240.76459289010984,
2022-06-03 10:00:00,-203.11921304100326,
2022-06-03 10:30:00,-195.7380685716035,
2022-06-03 12:00:00,-191.6854394450471,
2022-06-03 13:30:00,-209.44823084968067,
2022-06-03 15:00:00,-195.8044122773549,
2022-06-03 15:30:30,-195.8044122773549,s
2022-06-03 23:59:59,-206.12040058620806,w
2022-06-06 00:00:00,-204.253222736343,
2022-06-06 10:00:00,-190.84367151211876,
2022-06-06 10:30:00,-177.11366450339824,
2022-06-06 12:00:00,-204.53322762927297,
2022-06-06 13:30:00,-214.41139141098853,
2022-06-06 15:00:00,-213.1666241271933,
2022-06-06 15:30:30,-213.1666241271933,
2022-06-06 23:59:59,-213.89421222979325,c
2022-06-07 00:00:00,-215.14583125497842,
2022-06-07 10:00:00,-203.03990982218085,
2022-06-07 10:30:00,-203.07658678580339,
2022-06-07 12:00:00,-189.60223425095535,
2022-06-07 13:30:00,-192.0024150920683,
2022-06-07 15:00:00,-193.09572533621332,
2022-06-07 15:30:30,-193.09572533621332,u
2022-06-07 23:59:59,-184.9049845334349,c
2022-06-08 00:00:00,-210.93146083016927,
2022-06-08 10:00:00,-179.5639637999608,
2022-06-08 10:30:00,-165.71543318380327,
2022-06-08 12:00:00,-161.2676591893204,
2022-06-08 13:30:00,-169.76729164823593,
2022-06-08 15:00:00,-161.95963077917304,
2022-06-08 15:30:30,-161.95963077917304,
2022-06-08 23:59:59,-164.94506802537097,c
2022-06-09 00:00:00,-186.0439931649944,
2022-06-09 10:00:00,-201.9195887671081,
2022-06-09 10:30:00,-189.19340118682294,
2022-06-09 12:00:00,-196.63068049170948,
2022-06-09 13:30:00,-206.87446684179457,
2022-06-09 15:00:00,-211.58030230161512,
2022-06-09 15:30:30,-211.58030230161512,
2022-06-09 23:59:59,-213.39398980119654,c
2022-06-10 00:00:00,-238.4537135683742,
2022-06-10 10:00:00,-188.6909612919659,
2022-06-10 10:30:00,-206.8221269665437,
2022-06-10 12:00:00,-238.39489849817437,
2022-06-10 13:30:00,-231.15820408529413,
2022-06-10 15:00:00,-221.57433394517363,
2022-06-10 15:30:30,-221.57433394517363,
2022-06-10 23:59:59,-229.29553320467107,w
2022-06-13 00:00:00,-232.7356133370746,
2022-06-13 10:00:00,-137.6914168261357,
2022-06-13 10:30:00,-144.74136295581002,
2022-06-13 12:00:00,-112.13324084593265,
2022-06-13 13:30:00,-103.02623386095566,
2022-06-13 15:00:00,-87.76178344118728,
2022-06-13 15:30:30,-87.76178344118728,
2022-06-13 23:59:59,-101.04695222912349,c
2022-06-14 00:00:00,-86.07018938736724,
2022-06-14 10:00:00,-83.3888958899901,
2022-06-14 10:30:00,-82.94793662019501,
2022-06-14 12:00:00,-59.68232612005481,
2022-06-14 13:30:00,-85.37817472744133,
2022-06-14 15:00:00,-96.72420846954998,
2022-06-14 15:30:30,-96.72420846954998,
2022-06-14 23:59:59,-109.17809470738617,c
2022-06-15 00:00:00,-117.22047485361382,
2022-06-15 10:00:00,-76.28124202691362,
2022-06-15 10:30:00,-87.11179782384664,
2022-06-15 12:00:00,-75.05073147213666,
2022-06-15 13:30:00,-88.80635474374026,
2022-06-15 15:00:00,-77.57836572517968,
2022-06-15 15:30:30,-77.57836572517968,
2022-06-15 23:59:59,-77.43143393993577,c
2022-06-16 00:00:00,-98.2021296814403,
2022-06-16 10:00:00,-21.798209853398184,
2022-06-16 10:30:00,-13.689438476775212,
2022-06-16 12:00:00,-3.114546955361778,
2022-06-16 13:30:00,-11.310277543155397,
2022-06-16 15:00:00,-8.99300733958254,
2022-06-16 15:30:30,-8.99300733958254,
2022-06-16 23:59:59,0.0,a
2022-06-17 00:00:00,-22.162969302627687,
2022-06-17 10:00:00,-48.85239578952259,
2022-06-17 10:30:00,-77.82964765126769,
2022-06-17 12:00:00,-94.17084833277622,
2022-06-17 13:30:00,-73.12366492318552,
2022-06-17 15:00:00,-117.44266322425158,
2022-06-17 15:30:30,-117.44266322425158,
2022-06-17 23:59:59,-60.33236473487847,e
2022-06-20 00:00:00,-60.33236473487847,
2022-06-20 10:00:00,-60.33236473487847,
2022-06-20 10:30:00,-60.33236473487847,
2022-06-20 12:00:00,-60.33236473487847,
2022-06-20 13:30:00,-60.33236473487847,
2022-06-20 15:00:00,-60.33236473487847,
2022-06-20 15:30:30,-60.33236473487847,
2022-06-20 23:59:59,-60.33236473487847,c
2022-06-21 00:00:00,-104.68218495891182,
2022-06-21 10:00:00,-59.82027539218477,
2022-06-21 10:30:00,-68.13694046554744,
2022-06-21 12:00:00,-41.93246305832944,
2022-06-21 13:30:00,-41.41096463479207,
2022-06-21 15:00:00,-43.534003988185326,
2022-06-21 15:30:30,-43.534003988185326,
2022-06-21 23:59:59,-51.0205442184176,c
2022-06-22 00:00:00,-39.67635987631655,
2022-06-22 10:00:00,-76.17017138838791,
2022-06-22 10:30:00,-71.68981192301197,
2022-06-22 12:00:00,-58.184513650666446,
2022-06-22 13:30:00,-64.60442183700962,
2022-06-22 15:00:00,-81.06730355622767,
2022-06-22 15:30:30,-81.06730355622767,
2022-06-22 23:59:59,-83.15620429027241,c
2022-06-23 00:00:00,-81.83342215957822,
2022-06-23 10:00:00,-105.26573428630721,
2022-06-23 10:30:00,-114.84585699516526,
2022-06-23 12:00:00,-93.1168343891919,
2022-06-23 13:30:00,-78.73670683221181,
2022-06-23 15:00:00,-93.2231342791748,
2022-06-23 15:30:30,-93.2231342791748,
2022-06-23 23:59:59,-84.59391404819888,c
2022-06-24 00:00:00,-100.51522734014628,
2022-06-24 10:00:00,-108.47015425041043,
2022-06-24 10:30:00,-79.54947768213069,
2022-06-24 12:00:00,-85.6021782172997,
2022-06-24 13:30:00,-94.05834171356716,
2022-06-24 15:00:00,-86.01801432541811,
2022-06-24 15:30:30,-86.01801432541811,
2022-06-24 23:59:59,-66.00759974297884,w
2022-06-27 00:00:00,-94.4349944031255,
2022-06-27 10:00:00,-70.71681017863885,
2022-06-27 10:30:00,-67.92755318681168,
2022-06-27 12:00:00,-68.81909503862241,
2022-06-27 13:30:00,-74.21920235427856,
