date,SCHH_2021_Q2,meta
2021-05-21 00:00:00,-660.5669766276486,
2021-05-21 10:00:00,-634.4903256284742,
2021-05-21 10:30:00,-644.2791200393075,
2021-05-21 12:00:00,-632.005627711736,
2021-05-21 13:30:00,-645.4432034307306,
2021-05-21 15:00:00,-628.5111040855961,
2021-05-21 15:30:30,-628.5111040855961,
2021-05-21 23:59:59,-638.3046713136034,w
2021-05-24 00:00:00,-636.66372028138,
2021-05-24 10:00:00,-610.3745393615565,
2021-05-24 10:30:00,-602.2014081574996,
2021-05-24 12:00:00,-580.3808941955548,
2021-05-24 13:30:00,-588.117800617371,
2021-05-24 15:00:00,-597.2532182877867,
2021-05-24 15:30:30,-597.2532182877867,
2021-05-24 23:59:59,-595.6955755578613,c
2021-05-25 00:00:00,-580.7527857495264,
2021-05-25 10:00:00,-557.2320884465747,
2021-05-25 10:30:00,-541.4012379057649,
2021-05-25 12:00:00,-582.5841286661464,
2021-05-25 13:30:00,-557.9334293328875,
2021-05-25 15:00:00,-553.9454608971859,
2021-05-25 15:30:30,-553.9454608971859,
2021-05-25 23:59:59,-568.905355323099,c
2021-05-26 00:00:00,-562.7503399161402,
2021-05-26 10:00:00,-549.216514428578,
2021-05-26 10:30:00,-548.5717290009876,
2021-05-26 12:00:00,-564.0990920174985,
2021-05-26 13:30:00,-570.3649197208666,
2021-05-26 15:00:00,-534.4007752261056,
2021-05-26 15:30:30,-534.4007752261056,
2021-05-26 23:59:59,-551.7523543799863,c
2021-05-27 00:00:00,-531.0201230547975,
2021-05-27 10:00:00,-565.8128584737224,
2021-05-27 10:30:00,-573.8869887127581,
2021-05-27 12:00:00,-588.1582389564878,
2021-05-27 13:30:00,-546.1600149356428,
2021-05-27 15:00:00,-531.8973309650739,
2021-05-27 15:30:30,-531.8973309650739,m
2021-05-27 23:59:59,-510.23383995238896,c
2021-05-28 00:00:00,-513.2686710374115,
2021-05-28 10:00:00,-489.0672426822281,
2021-05-28 10:30:00,-528.8295323360572,
2021-05-28 12:00:00,-521.9385032448989,
2021-05-28 13:30:00,-528.9538108579052,
