date,AS_FTSE_AS_DM_MIGRATION_2021_Q4,meta
2021-10-08 00:00:00,113.34146370086091,
2021-10-08 01:00:00,113.34146370086091,
2021-10-08 02:30:00,113.34146370086091,
2021-10-08 03:00:00,113.34146370086091,
2021-10-08 18:30:00,113.34146370086091,
2021-10-08 20:00:00,113.34146370086091,
2021-10-08 23:00:00,113.34146370086091,
2021-10-08 23:59:59,113.34146370086091,w
2021-10-11 00:00:00,113.34146370086091,
2021-10-11 01:00:00,113.34146370086091,
2021-10-11 02:30:00,113.34146370086091,
2021-10-11 03:00:00,113.34146370086091,
2021-10-11 18:30:00,113.34146370086091,
2021-10-11 20:00:00,113.34146370086091,
2021-10-11 23:00:00,113.34146370086091,
2021-10-11 23:59:59,113.34146370086091,c
2021-10-12 00:00:00,113.34146370086091,
2021-10-12 01:00:00,113.34146370086091,
2021-10-12 02:30:00,113.34146370086091,
2021-10-12 03:00:00,113.34146370086091,
2021-10-12 18:30:00,113.34146370086091,
2021-10-12 20:00:00,113.34146370086091,
2021-10-12 23:00:00,113.34146370086091,
2021-10-12 23:59:59,113.34146370086091,c
2021-10-13 00:00:00,113.34146370086091,
2021-10-13 01:00:00,113.34146370086091,
2021-10-13 02:30:00,113.34146370086091,
2021-10-13 03:00:00,113.34146370086091,
2021-10-13 18:30:00,113.34146370086091,
2021-10-13 20:00:00,113.34146370086091,
2021-10-13 23:00:00,113.34146370086091,
2021-10-13 23:59:59,113.34146370086091,c
2021-10-14 00:00:00,113.34146370086091,
2021-10-14 01:00:00,113.34146370086091,
2021-10-14 02:30:00,113.34146370086091,
2021-10-14 03:00:00,113.34146370086091,
2021-10-14 18:30:00,113.34146370086091,
2021-10-14 20:00:00,113.34146370086091,
2021-10-14 23:00:00,113.34146370086091,
2021-10-14 23:59:59,113.34146370086091,c
2021-10-15 00:00:00,113.34146370086091,
2021-10-15 01:00:00,113.34146370086091,
2021-10-15 02:30:00,113.34146370086091,
2021-10-15 03:00:00,113.34146370086091,
2021-10-15 18:30:00,113.34146370086091,
2021-10-15 20:00:00,113.34146370086091,
2021-10-15 23:00:00,113.34146370086091,
2021-10-15 23:59:59,113.34146370086091,w
2021-10-18 00:00:00,113.34146370086091,
2021-10-18 01:00:00,113.34146370086091,
2021-10-18 02:30:00,113.34146370086091,
2021-10-18 03:00:00,113.34146370086091,
2021-10-18 18:30:00,113.34146370086091,
2021-10-18 20:00:00,113.34146370086091,
2021-10-18 23:00:00,113.34146370086091,
2021-10-18 23:59:59,113.34146370086091,c
2021-10-19 00:00:00,113.34146370086091,
2021-10-19 01:00:00,113.34146370086091,
2021-10-19 02:30:00,113.34146370086091,
2021-10-19 03:00:00,113.34146370086091,
2021-10-19 18:30:00,113.34146370086091,
2021-10-19 20:00:00,113.34146370086091,
2021-10-19 23:00:00,7.738056556907395,
2021-10-19 23:59:59,7.738056556907395,c
2021-10-20 00:00:00,11.634594018247299,
2021-10-20 01:00:00,-10.798936145602056,
2021-10-20 02:30:00,-10.798936145602056,
2021-10-20 03:00:00,-10.798936145602056,
2021-10-20 18:30:00,-10.798936145602056,
2021-10-20 20:00:00,-10.798936145602056,
2021-10-20 23:00:00,189.5636500858909,
2021-10-20 23:59:59,134.3666540683871,c
2021-10-21 00:00:00,195.14167014337545,
2021-10-21 01:00:00,145.4285533518023,
2021-10-21 02:30:00,145.4285533518023,
2021-10-21 03:00:00,145.4285533518023,
2021-10-21 18:30:00,145.4285533518023,
2021-10-21 20:00:00,145.4285533518023,
2021-10-21 23:00:00,154.46173494153481,
2021-10-21 23:59:59,190.58187746449676,c
2021-10-22 00:00:00,211.24549798249154,
2021-10-22 01:00:00,169.8772387832705,
2021-10-22 02:30:00,169.8772387832705,
2021-10-22 03:00:00,169.8772387832705,
2021-10-22 18:30:00,169.8772387832705,
2021-10-22 20:00:00,169.8772387832705,
2021-10-22 23:00:00,169.8772387832705,
2021-10-22 23:59:59,188.5092014312704,w
2021-10-25 00:00:00,-15.786295458731729,
2021-10-25 01:00:00,-48.48412899536288,
2021-10-25 02:30:00,-48.48412899536288,
2021-10-25 03:00:00,-48.48412899536288,
2021-10-25 18:30:00,-48.48412899536288,
2021-10-25 20:00:00,-48.48412899536288,
2021-10-25 23:00:00,-73.08286179350762,
2021-10-25 23:59:59,-120.97294593541028,c
2021-10-26 00:00:00,-122.39658879065519,
2021-10-26 01:00:00,-145.73900031536778,
2021-10-26 02:30:00,-145.73900031536778,
2021-10-26 03:00:00,-145.73900031536778,
2021-10-26 18:30:00,-145.73900031536778,
2021-10-26 20:00:00,-145.73900031536778,
2021-10-26 23:00:00,-47.344674364439925,
2021-10-26 23:59:59,-58.01822909940984,c
2021-10-27 00:00:00,-53.86909403280424,
2021-10-27 01:00:00,-151.49811746162322,
2021-10-27 02:30:00,-151.49811746162322,
2021-10-27 03:00:00,-151.49811746162322,
2021-10-27 18:30:00,-151.49811746162322,
2021-10-27 20:00:00,-151.49811746162322,
2021-10-27 23:00:00,36.20716893643839,
2021-10-27 23:59:59,16.256576260834663,c
2021-10-28 00:00:00,15.616762669066702,
2021-10-28 01:00:00,-32.81041329732125,
2021-10-28 02:30:00,-32.81041329732125,
2021-10-28 03:00:00,-32.81041329732125,
2021-10-28 18:30:00,-32.81041329732125,
2021-10-28 20:00:00,-32.81041329732125,
2021-10-28 23:00:00,61.496164235879405,
2021-10-28 23:59:59,58.39261035757863,c
2021-10-29 00:00:00,64.61821910652816,
2021-10-29 01:00:00,39.59402110097926,
2021-10-29 02:30:00,39.59402110097926,
