date,SPHB_2023_Q1,meta
2023-01-27 00:00:00,-53.017902265007336,
2023-01-27 10:00:00,-32.80490119943315,
2023-01-27 10:30:00,-32.70276193944321,
2023-01-27 12:00:00,-35.05026553389911,
2023-01-27 13:30:00,-21.673864004036176,
2023-01-27 15:00:00,-9.049027800402598,
2023-01-27 15:30:30,-9.049027800402598,
2023-01-27 23:59:59,-4.316933627922367,w
2023-01-30 00:00:00,-15.73687293128026,
2023-01-30 10:00:00,-2.3493248214212343,
2023-01-30 10:30:00,4.4317418938334185,
2023-01-30 12:00:00,17.20993404901536,
2023-01-30 13:30:00,12.799252096245766,
2023-01-30 15:00:00,8.075209377457796,
2023-01-30 15:30:30,8.075209377457796,
2023-01-30 23:59:59,-1.035413016566082,c
2023-01-31 00:00:00,-8.218107194797966,
2023-01-31 10:00:00,-7.529603330915933,
2023-01-31 10:30:00,-11.249529294919498,
2023-01-31 12:00:00,2.8242309502548295,
2023-01-31 13:30:00,8.635697322931975,
2023-01-31 15:00:00,8.097056066470543,
2023-01-31 15:30:30,8.097056066470543,s
2023-01-31 23:59:59,6.467669254578155,c
2023-02-01 00:00:00,-18.627004456561238,
2023-02-01 10:00:00,-6.745876021421722,
2023-02-01 10:30:00,2.4339835100158353,
2023-02-01 12:00:00,25.742691871938845,
2023-02-01 13:30:00,23.80943114496945,
2023-02-01 15:00:00,26.487830135091173,
2023-02-01 15:30:30,26.487830135091173,
2023-02-01 23:59:59,20.911908359934174,c
2023-02-02 00:00:00,-40.06661403031978,
2023-02-02 10:00:00,1.2076004868536785,
2023-02-02 10:30:00,16.068483936875367,
2023-02-02 12:00:00,33.646153048986605,
2023-02-02 13:30:00,35.66492910946812,
2023-02-02 15:00:00,45.532014882154805,
2023-02-02 15:30:30,45.532014882154805,
2023-02-02 23:59:59,42.94790349128201,c
2023-02-03 00:00:00,34.10156839631679,
2023-02-03 10:00:00,29.704733264171438,
2023-02-03 10:30:00,33.66373590347091,
2023-02-03 12:00:00,38.52930889851658,
2023-02-03 13:30:00,35.404875363703766,
2023-02-03 15:00:00,32.52185309042761,
2023-02-03 15:30:30,32.52185309042761,
2023-02-03 23:59:59,38.020427832326256,w
2023-02-06 00:00:00,97.40440862915376,
2023-02-06 10:00:00,50.58388695711383,
2023-02-06 10:30:00,51.05926676663818,
2023-02-06 12:00:00,25.25294437020682,
2023-02-06 13:30:00,32.42591697794988,
2023-02-06 15:00:00,31.20333468329011,
2023-02-06 15:30:30,31.20333468329011,
2023-02-06 23:59:59,32.15843334998425,c
2023-02-07 00:00:00,25.262642283961696,
2023-02-07 10:00:00,33.11034890911634,
2023-02-07 10:30:00,32.334497804343485,
2023-02-07 12:00:00,34.66023362753451,
2023-02-07 13:30:00,40.10869741469242,
2023-02-07 15:00:00,23.397146695466034,
2023-02-07 15:30:30,23.397146695466034,
2023-02-07 23:59:59,7.610034124168948,c
2023-02-08 00:00:00,8.533048533009847,
2023-02-08 10:00:00,-11.97491737601733,
2023-02-08 10:30:00,-16.080362723534066,
