date,MTECH_HEDGED_2020_Q4,meta
2020-12-11 10:30:00,-23.430367057258877,
2020-12-11 12:00:00,-24.225935880554403,
2020-12-11 13:30:00,-18.57640914410024,
2020-12-11 15:00:00,-9.925879970103892,
2020-12-11 15:30:30,-9.925879970103892,
2020-12-11 23:59:59,0.0,a
2020-12-14 00:00:00,14.995842238637579,
2020-12-14 10:00:00,19.96245271857572,
2020-12-14 10:30:00,24.692397559405435,
2020-12-14 12:00:00,37.60897430453531,
2020-12-14 13:30:00,50.105386628940664,
2020-12-14 15:00:00,42.404831956368184,
2020-12-14 15:30:30,42.404831956368184,
2020-12-14 23:59:59,28.25407266978948,c
2020-12-15 00:00:00,38.529667705913084,
2020-12-15 10:00:00,42.03392403944861,
2020-12-15 10:30:00,69.70324906398207,
2020-12-15 12:00:00,66.29839914242928,
2020-12-15 13:30:00,54.47302261614675,
2020-12-15 15:00:00,48.2408458432177,
2020-12-15 15:30:30,48.2408458432177,
2020-12-15 23:59:59,58.416186981571514,c
2020-12-16 00:00:00,63.736262193929065,
2020-12-16 10:00:00,65.04203228195468,
2020-12-16 10:30:00,63.359690297450356,
2020-12-16 12:00:00,80.52131684084145,
2020-12-16 13:30:00,79.91844255768103,
2020-12-16 15:00:00,74.15725615681879,
2020-12-16 15:30:30,74.15725615681879,
2020-12-16 23:59:59,74.4461699172258,c
2020-12-17 00:00:00,80.27985962763489,
2020-12-17 10:00:00,89.8831674259194,
2020-12-17 10:30:00,106.89675517011312,
2020-12-17 12:00:00,101.47729675030916,
2020-12-17 13:30:00,102.21006365623441,
2020-12-17 15:00:00,106.02802870469543,
2020-12-17 15:30:30,106.02802870469543,
2020-12-17 23:59:59,89.06528368593092,c
2020-12-18 00:00:00,110.64132858963546,
2020-12-18 10:00:00,140.3093965492227,
2020-12-18 10:30:00,148.72484350794628,
2020-12-18 12:00:00,126.61166314532977,
2020-12-18 13:30:00,150.59993376617956,
2020-12-18 15:00:00,154.44096073663025,
2020-12-18 15:30:30,154.44096073663025,
2020-12-18 23:59:59,143.14251801177363,e
2020-12-21 00:00:00,156.59261187989694,
2020-12-21 10:00:00,173.07057725138304,
2020-12-21 10:30:00,141.6523339304814,
2020-12-21 12:00:00,163.1774066974125,
2020-12-21 13:30:00,187.0456907295562,
2020-12-21 15:00:00,188.23156162733846,
2020-12-21 15:30:30,188.23156162733846,
2020-12-21 23:59:59,196.80369971962602,c
2020-12-22 00:00:00,210.49709390260352,
2020-12-22 10:00:00,226.89391960675096,
2020-12-22 10:30:00,232.1787289977043,
2020-12-22 12:00:00,214.24821091429783,
2020-12-22 13:30:00,228.83043984276003,
2020-12-22 15:00:00,221.11306102126184,
2020-12-22 15:30:30,221.11306102126184,
2020-12-22 23:59:59,247.13542993282056,c
2020-12-23 00:00:00,247.64665030198614,
2020-12-23 10:00:00,169.84016062638636,
2020-12-23 10:30:00,172.33164998891687,
2020-12-23 12:00:00,181.38852701084022,
2020-12-23 13:30:00,178.86234895786913,
2020-12-23 15:00:00,174.9199483941635,
2020-12-23 15:30:30,174.9199483941635,
2020-12-23 23:59:59,166.7153664270853,c
2020-12-24 00:00:00,184.18203320404052,
2020-12-24 10:00:00,174.1171886905537,
2020-12-24 10:30:00,155.64955703156954,
2020-12-24 12:00:00,164.83451570413752,
2020-12-24 13:30:00,164.83451570413752,
2020-12-24 15:00:00,164.83451570413752,
2020-12-24 15:30:30,164.83451570413752,
2020-12-24 23:59:59,144.97797787685715,c
2020-12-25 00:00:00,144.97797787685715,
2020-12-25 10:00:00,144.97797787685715,
2020-12-25 10:30:00,144.97797787685715,
2020-12-25 12:00:00,144.97797787685715,
2020-12-25 13:30:00,144.97797787685715,
2020-12-25 15:00:00,144.97797787685715,
2020-12-25 15:30:30,144.97797787685715,
2020-12-25 23:59:59,144.97797787685715,w
2020-12-28 00:00:00,171.75745134948409,
2020-12-28 10:00:00,129.16055544599214,
2020-12-28 10:30:00,108.03597825926511,
2020-12-28 12:00:00,86.86029441288667,
2020-12-28 13:30:00,87.70570035147364,
2020-12-28 15:00:00,63.194142185317446,
2020-12-28 15:30:30,63.194142185317446,
2020-12-28 23:59:59,70.59867460395856,c
2020-12-29 00:00:00,51.32627528813589,
2020-12-29 10:00:00,25.247228558433335,
2020-12-29 10:30:00,26.632210443793724,
2020-12-29 12:00:00,7.578832142709075,
2020-12-29 13:30:00,0.23587153119672166,
2020-12-29 15:00:00,4.163259657674985,
2020-12-29 15:30:30,4.163259657674985,
2020-12-29 23:59:59,7.786156374227858,c
2020-12-30 00:00:00,22.017042209110627,
2020-12-30 10:00:00,5.897131022193776,
2020-12-30 10:30:00,4.963560861907922,
2020-12-30 12:00:00,-5.108048079136779,
2020-12-30 13:30:00,-0.5686467781191595,
2020-12-30 15:00:00,5.634419580905501,
2020-12-30 15:30:30,5.634419580905501,
2020-12-30 23:59:59,1.1455508193567994,c
2020-12-31 00:00:00,3.737153115885576,
2020-12-31 10:00:00,-5.195233831056157,
2020-12-31 10:30:00,-3.1616273711024405,
2020-12-31 12:00:00,-15.023056387043766,
2020-12-31 13:30:00,-10.893261044930568,
2020-12-31 15:00:00,-21.104051236909868,
2020-12-31 15:30:30,-21.104051236909868,
2020-12-31 23:59:59,-26.189149001883493,c
2021-01-01 00:00:00,-26.189149001883493,
2021-01-01 10:00:00,-26.189149001883493,
2021-01-01 10:30:00,-26.189149001883493,
2021-01-01 12:00:00,-26.189149001883493,
2021-01-01 13:30:00,-26.189149001883493,
2021-01-01 15:00:00,-26.189149001883493,
2021-01-01 15:30:30,-26.189149001883493,
2021-01-01 23:59:59,-26.189149001883493,w
