date,SML_PURE_2021_Q4,meta
2021-11-26 00:00:00,-80.0757486653074,
2021-11-26 10:00:00,-85.21922201822576,
2021-11-26 10:30:00,-95.54990216635792,
2021-11-26 12:00:00,-72.62305114481796,
2021-11-26 13:30:00,-72.62305114481796,
2021-11-26 15:00:00,-72.62305114481796,
2021-11-26 15:30:30,-72.62305114481796,
2021-11-26 23:59:59,-80.53512511473923,w
2021-11-29 00:00:00,-162.78671295426852,
2021-11-29 10:00:00,-135.51458006597295,
2021-11-29 10:30:00,-126.806839826952,
2021-11-29 12:00:00,-139.7027611755252,
2021-11-29 13:30:00,-163.1521951372547,
2021-11-29 15:00:00,-143.98592890728355,
2021-11-29 15:30:30,-143.98592890728355,
2021-11-29 23:59:59,-152.69010171205605,c
2021-11-30 00:00:00,-139.69358468132896,
2021-11-30 10:00:00,-104.64964914011489,
2021-11-30 10:30:00,-135.16735997172668,
2021-11-30 12:00:00,-113.93336545263196,
2021-11-30 13:30:00,-86.05366388838411,
2021-11-30 15:00:00,-102.19774460141298,
2021-11-30 15:30:30,-102.19774460141298,s
2021-11-30 23:59:59,-88.0352046837877,c
2021-12-01 00:00:00,-130.98357039649886,
2021-12-01 10:00:00,-150.97673234835906,
2021-12-01 10:30:00,-140.7256383335,
2021-12-01 12:00:00,-107.55567629398661,
2021-12-01 13:30:00,-93.36125145662754,
2021-12-01 15:00:00,-58.175669809490046,
2021-12-01 15:30:30,-58.175669809490046,
2021-12-01 23:59:59,-11.369115278367872,c
2021-12-02 00:00:00,-13.772224237347245,
2021-12-02 10:00:00,-90.32210648160344,
2021-12-02 10:30:00,-97.69927607825844,
2021-12-02 12:00:00,-113.82410729847743,
2021-12-02 13:30:00,-83.55343266597674,
2021-12-02 15:00:00,-89.32364679229931,
2021-12-02 15:30:30,-89.32364679229931,
2021-12-02 23:59:59,-87.62280451649826,c
2021-12-03 00:00:00,-103.85291902425706,
2021-12-03 10:00:00,-82.01251170363162,
2021-12-03 10:30:00,-84.41303428617516,
2021-12-03 12:00:00,-6.746195685823295,
2021-12-03 13:30:00,-19.04849989389936,
2021-12-03 15:00:00,3.8675309750856286,
2021-12-03 15:30:30,3.8675309750856286,
2021-12-03 23:59:59,-5.368557341520955,w
2021-12-06 00:00:00,-5.924165679678708,
2021-12-06 10:00:00,30.594377192149523,
2021-12-06 10:30:00,43.299707955417944,
2021-12-06 12:00:00,80.11971573165692,
2021-12-06 13:30:00,51.48260739281568,
2021-12-06 15:00:00,48.789130474121066,
2021-12-06 15:30:30,48.789130474121066,
2021-12-06 23:59:59,54.33847415262244,c
2021-12-07 00:00:00,17.674288032467757,
2021-12-07 10:00:00,-21.71265950959264,
2021-12-07 10:30:00,-17.123214937935472,
2021-12-07 12:00:00,-16.043683797421636,
2021-12-07 13:30:00,-21.914155397508694,
2021-12-07 15:00:00,-36.19403829463181,
2021-12-07 15:30:30,-36.19403829463181,
2021-12-07 23:59:59,-37.93376344615854,c
2021-12-08 00:00:00,-45.35577145755542,
2021-12-08 10:00:00,-13.735430328685197,
2021-12-08 10:30:00,22.97414869350996,
2021-12-08 12:00:00,8.785226670429438,
2021-12-08 13:30:00,12.787463984449232,
2021-12-08 15:00:00,12.640295572638934,
2021-12-08 15:30:30,12.640295572638934,
2021-12-08 23:59:59,4.535740536367257,c
2021-12-09 00:00:00,6.485354798373464,
2021-12-09 10:00:00,18.838932691648324,
2021-12-09 10:30:00,22.706330434297797,
2021-12-09 12:00:00,28.360460857117687,
2021-12-09 13:30:00,13.98343287726675,
2021-12-09 15:00:00,29.835329016950254,
2021-12-09 15:30:30,29.835329016950254,
2021-12-09 23:59:59,48.4431168620456,c
2021-12-10 00:00:00,28.149732117568192,
2021-12-10 10:00:00,76.96739880276755,
2021-12-10 10:30:00,39.80155512820056,
2021-12-10 12:00:00,48.15592326922433,
2021-12-10 13:30:00,35.659965839790175,
2021-12-10 15:00:00,32.49129471527203,
2021-12-10 15:30:30,32.49129471527203,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,7.362344623134277,
2021-12-13 10:00:00,139.60217256540318,
2021-12-13 10:30:00,161.3601309844987,
2021-12-13 12:00:00,194.7310518439333,
2021-12-13 13:30:00,221.11783207624444,
2021-12-13 15:00:00,216.5256691721761,
2021-12-13 15:30:30,216.5256691721761,
2021-12-13 23:59:59,242.34576314474998,c
2021-12-14 00:00:00,244.56318012691918,
2021-12-14 10:00:00,250.81150571664944,
2021-12-14 10:30:00,227.10798336375933,
2021-12-14 12:00:00,238.11215644561275,
2021-12-14 13:30:00,235.57843728960256,
2021-12-14 15:00:00,234.59949620906127,
2021-12-14 15:30:30,234.59949620906127,
2021-12-14 23:59:59,224.57641559186368,c
2021-12-15 00:00:00,211.27469960401254,
2021-12-15 10:00:00,235.43810172514873,
2021-12-15 10:30:00,227.5477671331082,
2021-12-15 12:00:00,227.39196434173095,
2021-12-15 13:30:00,202.60121963097959,
2021-12-15 15:00:00,200.1531918198973,
2021-12-15 15:30:30,200.1531918198973,
2021-12-15 23:59:59,185.17417973337615,c
2021-12-16 00:00:00,180.85393591755542,
2021-12-16 10:00:00,157.89836590948153,
2021-12-16 10:30:00,137.93560349573704,
2021-12-16 12:00:00,193.3906859528406,
2021-12-16 13:30:00,196.6459777726932,
2021-12-16 15:00:00,201.13897585753102,
2021-12-16 15:30:30,201.13897585753102,
2021-12-16 23:59:59,205.50162943610303,c
