date,EU_FTSE_DM_AD_2022_Q1,meta
2022-01-28 06:00:00,-414.4223312782576,
2022-01-28 08:00:00,-378.1658733090019,
2022-01-28 10:30:00,-346.1792833770976,
2022-01-28 11:00:00,-379.1672086536114,
2022-01-28 23:59:59,-327.3300240742551,w
2022-01-31 00:00:00,-277.01003180626435,
2022-01-31 03:30:00,-281.70761608267276,
2022-01-31 04:00:00,-273.3643156223741,
2022-01-31 06:00:00,-264.7138470482289,
2022-01-31 08:00:00,-250.39236363610212,
2022-01-31 10:30:00,-184.6654403772061,
2022-01-31 11:00:00,-166.62924132789453,
2022-01-31 23:59:59,-169.48442225450685,c
2022-02-01 00:00:00,-186.98975069505195,
2022-02-01 03:30:00,-164.07366708373593,
2022-02-01 04:00:00,-120.04339351571161,
2022-02-01 06:00:00,-80.45277491423633,
2022-02-01 08:00:00,-138.2582947971473,
2022-02-01 10:30:00,-208.38288468776773,
2022-02-01 11:00:00,-184.82395695871492,
2022-02-01 23:59:59,-163.69599757736114,c
2022-02-02 00:00:00,-125.74667934454669,
2022-02-02 03:30:00,-101.66384069152605,
2022-02-02 04:00:00,-101.04717487333562,
2022-02-02 06:00:00,-22.09502706973251,
2022-02-02 08:00:00,-43.412652624702105,
2022-02-02 10:30:00,-73.22476772836023,
2022-02-02 11:00:00,-74.62086422735035,
2022-02-02 23:59:59,-94.83002451763127,c
2022-02-03 00:00:00,-31.995599423482986,
2022-02-03 03:30:00,-51.18354774529348,
2022-02-03 04:00:00,-33.604951839037085,
2022-02-03 06:00:00,-79.44180428745517,
2022-02-03 08:00:00,-103.91080620634546,
2022-02-03 10:30:00,-103.95699736206893,
2022-02-03 11:00:00,-90.87504101985053,
2022-02-03 23:59:59,-94.11174937834016,c
2022-02-04 00:00:00,-93.8223768671902,
2022-02-04 03:30:00,-23.493297115163955,
2022-02-04 04:00:00,-68.26236425236573,
2022-02-04 06:00:00,13.585086151417045,
2022-02-04 08:00:00,19.042167784352614,
2022-02-04 10:30:00,-61.19554441018022,
2022-02-04 11:00:00,-61.60654712883752,
2022-02-04 23:59:59,-59.724388101483214,w
2022-02-07 00:00:00,-55.30456795066789,
2022-02-07 03:30:00,-149.14239038666005,
2022-02-07 04:00:00,-156.37082480906156,
2022-02-07 06:00:00,-122.10134509124441,
2022-02-07 08:00:00,-83.8437883021387,
2022-02-07 10:30:00,-6.462709104880105,
2022-02-07 11:00:00,-35.32560064463564,
2022-02-07 23:59:59,-49.77511725880356,c
2022-02-08 00:00:00,-49.426617841898974,
2022-02-08 03:30:00,-66.47235403763352,
2022-02-08 04:00:00,-47.561685708035725,
2022-02-08 06:00:00,6.238444961212622,
2022-02-08 08:00:00,-124.3682122849948,
2022-02-08 10:30:00,-159.97156240580557,
2022-02-08 11:00:00,-149.0352350797823,
2022-02-08 23:59:59,-102.09733894009435,c
2022-02-09 00:00:00,-144.64534948254845,
2022-02-09 03:30:00,-105.1094860274676,
2022-02-09 04:00:00,-104.44859772330904,
2022-02-09 06:00:00,-36.42375640336695,
2022-02-09 08:00:00,-68.48463633125527,
2022-02-09 10:30:00,-28.48883274775767,
2022-02-09 11:00:00,-43.89800922973723,
2022-02-09 23:59:59,-29.01183855919544,c
2022-02-10 00:00:00,-39.22294642404381,
2022-02-10 03:30:00,-45.56084384824851,
2022-02-10 04:00:00,-90.705361855712,
2022-02-10 06:00:00,0.8621140188352001,
2022-02-10 08:00:00,41.73278192779571,
2022-02-10 10:30:00,-15.141743968126207,
2022-02-10 11:00:00,21.243235270912123,
2022-02-10 23:59:59,17.13252255084842,c
2022-02-11 00:00:00,17.13252255084842,
2022-02-11 03:30:00,17.13252255084842,
2022-02-11 04:00:00,17.13252255084842,
2022-02-11 06:00:00,17.13252255084842,
2022-02-11 08:00:00,17.13252255084842,
2022-02-11 10:30:00,17.13252255084842,
2022-02-11 11:00:00,17.13252255084842,
2022-02-11 23:59:59,17.13252255084842,w
2022-02-14 00:00:00,93.51129977334847,
2022-02-14 03:30:00,-4.787177767459298,
2022-02-14 04:00:00,98.54048338905704,
2022-02-14 06:00:00,30.335161472356504,
2022-02-14 08:00:00,43.0699380765393,
2022-02-14 10:30:00,123.21048032580768,
2022-02-14 11:00:00,146.66048668836697,
2022-02-14 23:59:59,111.61683368296099,c
2022-02-15 00:00:00,63.53787905055583,
2022-02-15 03:30:00,61.77599084331632,
2022-02-15 04:00:00,82.54251109859013,
2022-02-15 06:00:00,95.26605370837706,
2022-02-15 08:00:00,121.99831452346655,
2022-02-15 10:30:00,145.08131212023716,
2022-02-15 11:00:00,167.47164827180086,
2022-02-15 23:59:59,100.2853944595555,c
2022-02-16 00:00:00,128.09588449612738,
2022-02-16 03:30:00,82.0153240948739,
2022-02-16 04:00:00,80.72750629420489,
2022-02-16 06:00:00,110.38610194511375,
2022-02-16 08:00:00,197.000011309073,
2022-02-16 10:30:00,197.4431923120061,
2022-02-16 11:00:00,217.6556721337471,
2022-02-16 23:59:59,215.11396691043922,c
2022-02-17 00:00:00,233.25431844091474,
2022-02-17 03:30:00,259.752147162366,
2022-02-17 04:00:00,249.50604404732223,
2022-02-17 06:00:00,290.92338915327673,
2022-02-17 08:00:00,240.8709139278177,
2022-02-17 10:30:00,265.7940159204651,
2022-02-17 11:00:00,233.24105964582498,
2022-02-17 23:59:59,228.88176209539438,c
2022-02-18 00:00:00,236.13891465370716,
2022-02-18 03:30:00,222.64476249194547,
2022-02-18 04:00:00,204.12010211552592,
2022-02-18 06:00:00,179.04794023081536,
2022-02-18 08:00:00,105.03398310311525,
2022-02-18 10:30:00,44.97993458387509,
2022-02-18 11:00:00,15.935731096315294,
2022-02-18 23:59:59,0.0,a
