date,EU_FTFAM_2021_Q4,meta
2021-12-10 10:30:00,-1.3349356793771676,
2021-12-10 11:00:00,-0.16249399181197077,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,-0.4254937426755987,
2021-12-13 03:30:00,23.050977781762867,
2021-12-13 04:00:00,45.00354042518961,
2021-12-13 06:00:00,44.21196771590189,
2021-12-13 08:00:00,68.84196714306086,
2021-12-13 10:30:00,43.35148870945477,
2021-12-13 11:00:00,33.72708871699297,
2021-12-13 23:59:59,19.4720162285887,c
2021-12-14 00:00:00,-10.33188393948626,
2021-12-14 03:30:00,-46.85702436368456,
2021-12-14 04:00:00,-51.41631217402596,
2021-12-14 06:00:00,-61.776641780770206,
2021-12-14 08:00:00,-78.60122590630817,
2021-12-14 10:30:00,-83.13576911680912,
2021-12-14 11:00:00,-75.01496720862156,
2021-12-14 23:59:59,-69.1263121410584,c
2021-12-15 00:00:00,-63.62535913302236,
2021-12-15 03:30:00,-68.985115555432,
2021-12-15 04:00:00,-106.62527461357672,
2021-12-15 06:00:00,-102.09361336333768,
2021-12-15 08:00:00,-130.78595429691336,
2021-12-15 10:30:00,-145.78915730795643,
2021-12-15 11:00:00,-148.61745711115282,
2021-12-15 23:59:59,-183.6968714880561,c
2021-12-16 00:00:00,-162.86508502858806,
2021-12-16 03:30:00,-163.39332935226548,
2021-12-16 04:00:00,-139.97661129436005,
2021-12-16 06:00:00,-87.51387126424333,
2021-12-16 08:00:00,-48.99107548565166,
2021-12-16 10:30:00,-88.93528505894255,
2021-12-16 11:00:00,-100.91375979344161,
2021-12-16 23:59:59,-101.97281755413678,c
2021-12-17 00:00:00,-118.34259317040664,
2021-12-17 03:30:00,-155.84973248505867,
2021-12-17 04:00:00,-168.5309723027001,
2021-12-17 06:00:00,-170.42772686218927,
2021-12-17 08:00:00,-218.71761233231996,
2021-12-17 10:30:00,-229.13911197431548,
2021-12-17 11:00:00,-208.9452534268487,
2021-12-17 23:59:59,-271.50824442371754,e
2021-12-20 00:00:00,-284.9406809467057,
2021-12-20 03:30:00,-306.6948381309405,
2021-12-20 04:00:00,-307.889799691852,
2021-12-20 06:00:00,-262.4885912371019,
2021-12-20 08:00:00,-270.294516179272,
2021-12-20 10:30:00,-235.84199576526794,
2021-12-20 11:00:00,-238.7815784153886,
2021-12-20 23:59:59,-217.69033229870274,c
2021-12-21 00:00:00,-191.21714380226695,
2021-12-21 03:30:00,-204.91738250111075,
2021-12-21 04:00:00,-181.4491876854156,
2021-12-21 06:00:00,-169.83266235553083,
2021-12-21 08:00:00,-173.11840014225777,
2021-12-21 10:30:00,-172.69170798420464,
2021-12-21 11:00:00,-168.99662006748213,
2021-12-21 23:59:59,-179.223077863586,c
2021-12-22 00:00:00,-174.88924563003366,
2021-12-22 03:30:00,-175.1645530748283,
2021-12-22 04:00:00,-178.65539918222817,
2021-12-22 06:00:00,-139.62039899699334,
2021-12-22 08:00:00,-132.51152971547867,
2021-12-22 10:30:00,-118.58010195996962,
2021-12-22 11:00:00,-122.26311482490632,
2021-12-22 23:59:59,-155.3741151725128,c
2021-12-23 00:00:00,-159.74234100809463,
2021-12-23 03:30:00,-124.63121263318953,
2021-12-23 04:00:00,-133.1854163000719,
2021-12-23 06:00:00,-128.32676570643616,
2021-12-23 08:00:00,-115.28508026864074,
2021-12-23 10:30:00,-133.7016133230684,
2021-12-23 11:00:00,-116.78553740734992,
2021-12-23 23:59:59,-131.05685672992877,c
2021-12-24 00:00:00,-112.9321248674114,
2021-12-24 03:30:00,-145.80937739244314,
2021-12-24 04:00:00,-135.46360405369296,
2021-12-24 06:00:00,-118.79880642844614,
2021-12-24 08:00:00,-118.79880642844614,
2021-12-24 10:30:00,-118.79880642844614,
2021-12-24 11:00:00,-118.79880642844614,
2021-12-24 23:59:59,-69.48925267656045,w
2021-12-27 00:00:00,-82.46057129334349,
2021-12-27 03:30:00,-103.46582017197284,
2021-12-27 04:00:00,-101.75799606663168,
2021-12-27 06:00:00,-74.49643659631579,
2021-12-27 08:00:00,-79.62296118295762,
2021-12-27 10:30:00,-76.77205892975826,
2021-12-27 11:00:00,-70.9446706465892,
2021-12-27 23:59:59,-58.87691210043863,c
2021-12-28 00:00:00,-84.02854816764761,
