date,FVD_2022_Sep,meta
2022-09-12 00:00:00,99.74070874730342,
2022-09-12 10:00:00,113.05662756225581,
2022-09-12 10:30:00,109.4135464871809,
2022-09-12 12:00:00,101.79796207365143,
2022-09-12 13:30:00,107.27599465019205,
2022-09-12 15:00:00,107.54546801155652,
2022-09-12 15:30:30,107.54546801155652,
2022-09-12 23:59:59,107.57981268735801,c
2022-09-13 00:00:00,115.92149436891924,
2022-09-13 10:00:00,93.87979568518779,
2022-09-13 10:30:00,80.34705589996202,
2022-09-13 12:00:00,72.17546487983088,
2022-09-13 13:30:00,70.42318021900797,
2022-09-13 15:00:00,63.27010789079998,
2022-09-13 15:30:30,63.27010789079998,
2022-09-13 23:59:59,59.03224930316833,c
2022-09-14 00:00:00,58.63359222332963,
2022-09-14 10:00:00,31.85984807778982,
2022-09-14 10:30:00,19.3203090375967,
2022-09-14 12:00:00,7.545902647501009,
2022-09-14 13:30:00,17.527824776846217,
2022-09-14 15:00:00,3.785879560147862,
2022-09-14 15:30:30,3.785879560147862,
2022-09-14 23:59:59,7.287682739362197,c
2022-09-15 00:00:00,12.543691509878784,
2022-09-15 10:00:00,15.010773829407299,
2022-09-15 10:30:00,8.839793347717716,
2022-09-15 12:00:00,-14.492558284499239,
2022-09-15 13:30:00,-8.577360383955977,
2022-09-15 15:00:00,-14.5764099980467,
2022-09-15 15:30:30,-14.5764099980467,
2022-09-15 23:59:59,-29.299235923909805,c
2022-09-16 00:00:00,46.233770087457515,
2022-09-16 10:00:00,55.75401328126583,
2022-09-16 10:30:00,64.19486410573046,
2022-09-16 12:00:00,54.64552542195423,
2022-09-16 13:30:00,45.012517244766116,
2022-09-16 15:00:00,57.12537153175924,
2022-09-16 15:30:30,57.12537153175924,q
2022-09-16 23:59:59,53.28407256281292,w
2022-09-19 00:00:00,43.190298356262076,
2022-09-19 10:00:00,38.84929476019812,
2022-09-19 10:30:00,36.749753573252065,
2022-09-19 12:00:00,29.556195191343647,
2022-09-19 13:30:00,30.015996148355157,
2022-09-19 15:00:00,32.08985348583275,
2022-09-19 15:30:30,32.08985348583275,
2022-09-19 23:59:59,38.09458598946105,c
2022-09-20 00:00:00,43.01440761570689,
2022-09-20 10:00:00,19.232507621814193,
2022-09-20 10:30:00,13.812753097090763,
2022-09-20 12:00:00,14.186784342965439,
2022-09-20 13:30:00,10.444074063947767,
2022-09-20 15:00:00,12.596234604377344,
