date,DVY_HEDGED_2022_Q1,meta
2022-02-11 00:00:00,381.6242743049104,
2022-02-11 10:00:00,383.7092731622613,
2022-02-11 10:30:00,398.7650673524157,
2022-02-11 12:00:00,393.5192051344202,
2022-02-11 13:30:00,390.42571911258165,
2022-02-11 15:00:00,375.97998859882705,
2022-02-11 15:30:30,375.97998859882705,
2022-02-11 23:59:59,363.62219686989295,w
2022-02-14 00:00:00,373.1328865457141,
2022-02-14 10:00:00,372.31546220570635,
2022-02-14 10:30:00,375.48704797908886,
2022-02-14 12:00:00,382.421941413785,
2022-02-14 13:30:00,387.44732034903814,
2022-02-14 15:00:00,370.48636375168644,
2022-02-14 15:30:30,370.48636375168644,
2022-02-14 23:59:59,375.13507910862256,c
2022-02-15 00:00:00,384.23648096809904,
2022-02-15 10:00:00,374.86821169061477,
2022-02-15 10:30:00,369.33896822150587,
2022-02-15 12:00:00,378.0113410118048,
2022-02-15 13:30:00,383.93942539613624,
2022-02-15 15:00:00,377.4839961087372,
2022-02-15 15:30:30,377.4839961087372,
2022-02-15 23:59:59,386.03931994426466,c
2022-02-16 00:00:00,402.1781809201959,
2022-02-16 10:00:00,396.62642748356836,
2022-02-16 10:30:00,382.5855672090713,
2022-02-16 12:00:00,383.49317922915884,
2022-02-16 13:30:00,383.5998120756732,
2022-02-16 15:00:00,382.5150995412748,
2022-02-16 15:30:30,382.5150995412748,
2022-02-16 23:59:59,379.93803739120096,c
2022-02-17 00:00:00,369.1917262314631,
2022-02-17 10:00:00,368.70232299702263,
2022-02-17 10:30:00,363.2289247143933,
2022-02-17 12:00:00,362.4791314464502,
2022-02-17 13:30:00,368.8263188476516,
2022-02-17 15:00:00,361.3704878086131,
2022-02-17 15:30:30,361.3704878086131,
2022-02-17 23:59:59,359.7004521982516,c
2022-02-18 00:00:00,373.9960604866509,
2022-02-18 10:00:00,366.23465764988464,
2022-02-18 10:30:00,381.5897527951719,
2022-02-18 12:00:00,381.1192697656452,
2022-02-18 13:30:00,388.783321464358,
2022-02-18 15:00:00,392.1749411995452,
2022-02-18 15:30:30,392.1749411995452,
2022-02-18 23:59:59,391.75503717894253,w
2022-02-21 00:00:00,391.75503717894253,
2022-02-21 10:00:00,391.75503717894253,
2022-02-21 10:30:00,391.75503717894253,
2022-02-21 12:00:00,391.75503717894253,
2022-02-21 13:30:00,391.75503717894253,
2022-02-21 15:00:00,391.75503717894253,
2022-02-21 15:30:30,391.75503717894253,
2022-02-21 23:59:59,391.75503717894253,c
2022-02-22 00:00:00,383.34313968713946,
2022-02-22 10:00:00,370.00654427010033,
2022-02-22 10:30:00,368.843967291427,
2022-02-22 12:00:00,379.50848715594,
2022-02-22 13:30:00,392.0989350300355,
2022-02-22 15:00:00,393.9031681290653,
2022-02-22 15:30:30,393.9031681290653,
2022-02-22 23:59:59,391.8848518767245,c
2022-02-23 00:00:00,395.28539643698696,
2022-02-23 10:00:00,389.3901717995601,
2022-02-23 10:30:00,377.0837487521733,
2022-02-23 12:00:00,379.0201479917048,
2022-02-23 13:30:00,369.67454073699605,
2022-02-23 15:00:00,369.3786616429136,
2022-02-23 15:30:30,369.3786616429136,
2022-02-23 23:59:59,366.11377289900327,c
2022-02-24 00:00:00,333.3426959033543,
2022-02-24 10:00:00,322.0780200570831,
2022-02-24 10:30:00,322.15365177465935,
2022-02-24 12:00:00,318.2035279528592,
2022-02-24 13:30:00,294.6960791034179,
2022-02-24 15:00:00,298.94464308959914,
2022-02-24 15:30:30,298.94464308959914,
2022-02-24 23:59:59,301.6486077720216,c
2022-02-25 00:00:00,313.4030124226623,
2022-02-25 10:00:00,325.5295146579407,
2022-02-25 10:30:00,320.2670983171996,
2022-02-25 12:00:00,324.39798676976454,
2022-02-25 13:30:00,326.87228083548484,
2022-02-25 15:00:00,315.79548230247417,
2022-02-25 15:30:30,315.79548230247417,
2022-02-25 23:59:59,315.4413772885681,w
2022-02-28 00:00:00,235.6977516176947,
2022-02-28 10:00:00,241.07275324330126,
2022-02-28 10:30:00,237.81506167224515,
2022-02-28 12:00:00,245.6487798513144,
2022-02-28 13:30:00,240.7041249037671,
2022-02-28 15:00:00,237.10438834544763,
2022-02-28 15:30:30,237.10438834544763,s
2022-02-28 23:59:59,232.40303467553733,c
2022-03-01 00:00:00,225.5117238355181,
2022-03-01 10:00:00,183.37084991515556,
2022-03-01 10:30:00,180.5338756257095,
2022-03-01 12:00:00,181.36407151319676,
2022-03-01 13:30:00,174.46430654099518,
2022-03-01 15:00:00,185.22333291772517,
2022-03-01 15:30:30,185.22333291772517,
2022-03-01 23:59:59,174.4354634736221,c
2022-03-02 00:00:00,176.7034071050737,
2022-03-02 10:00:00,149.25951506087418,
2022-03-02 10:30:00,148.45784061087275,
2022-03-02 12:00:00,158.27977713040676,
2022-03-02 13:30:00,152.3935245727785,
2022-03-02 15:00:00,163.33360061343026,
2022-03-02 15:30:30,163.33360061343026,
2022-03-02 23:59:59,156.44246394583465,c
2022-03-03 00:00:00,152.8801524878614,
2022-03-03 10:00:00,148.30360429464807,
2022-03-03 10:30:00,147.86796274606874,
2022-03-03 12:00:00,132.044413135341,
2022-03-03 13:30:00,139.96659356591633,
2022-03-03 15:00:00,132.2257220099224,
2022-03-03 15:30:30,132.2257220099224,
2022-03-03 23:59:59,134.35120675441723,c
2022-03-04 00:00:00,125.03429180562759,
2022-03-04 10:00:00,103.22752098557535,
2022-03-04 10:30:00,109.32412348518793,
2022-03-04 12:00:00,98.87564568168872,
2022-03-04 13:30:00,105.03723046401555,
